galaxyID,groupID,DistToHost,Mstar_r80star,sfr
128.0,7.0,254.23041486318618,19552377743.815086,1.2974515929818151
131.0,7.0,160.65802037222994,22712540564.93429,12.25723080523312
315.0,7.0,71.53562916374673,7173361786.5573015,0.7582797780632973
570.0,7.0,231.48104684939912,2650233943.449525,0.14780209958553314
1105.0,7.0,199.6173806560121,352434995.4356525,0.026417957618832588
1291.0,7.0,297.01715364495493,44338171.14846876,0.0
1343.0,7.0,256.61655234591075,199419290.99137223,0.0
2368.0,7.0,200.70253900033185,66836480.04786557,0.0
4739.0,7.0,183.4924596006801,196580323.32854745,0.0
6635.0,7.0,150.61243485872043,12530264.811462102,0.0
7368.0,7.0,192.9121822297939,7680983.695970744,0.0
11010.0,7.0,200.7120488290449,4784605.593210188,0.0
15000.0,7.0,239.35862549422933,6259396.03206124,0.0
23.0,8.0,495.9302906365191,85988573327.22064,6.4190860372036695
168.0,8.0,474.24768024870224,13386472702.516987,3.011257041245699
270.0,8.0,254.21818815257103,3828154786.781639,0.07437360659241676
332.0,8.0,255.1240164463784,5142022139.187632,0.8399221822619438
333.0,8.0,81.25248143694915,8709812127.893341,0.8866364546120167
786.0,8.0,162.6506069205024,903271858.3248756,0.12544236704707146
3243.0,8.0,114.55426927999528,5068487.796366512,0.0
3299.0,8.0,299.92536079975645,24916981.277453884,0.0
3468.0,8.0,213.8787220034473,38241259.875985056,0.0
6466.0,8.0,191.47167235483374,76397550.27323169,0.0
6815.0,8.0,131.13606691725994,18610529.38048322,0.0
9244.0,8.0,97.90577476391337,58259804.48757641,0.0
14240.0,8.0,112.88676421893759,13786757.342478415,0.0
89.0,9.0,316.27289508448484,25022294465.99733,3.041492449119687
259.0,9.0,202.35767705277317,9856243758.202707,0.6677017211914062
1117.0,9.0,382.9828755912584,412086906.7137977,0.0
1528.0,9.0,395.47426263520543,29115891.26073767,0.0
3117.0,9.0,240.1595475405645,179425966.98069283,0.0
3274.0,9.0,231.34214053536485,9485443.831028538,0.0
4661.0,9.0,234.21429888655342,145005390.91432247,0.0
6107.0,9.0,72.32788439714548,694334456.3868395,0.0
397.0,10.0,360.94830633858993,1141517886.004506,0.1429795529693365
482.0,10.0,393.13644735487287,2008512065.2615266,0.0
10928.0,10.0,36.2357363156242,262251697.68934733,0.0
338.0,11.0,367.04101777272797,3055657582.5565968,0.11349202319979668
707.0,11.0,344.0716741344445,1255146156.6677835,0.03574301674962044
890.0,11.0,168.28796191571269,961375499.9338976,0.0
1094.0,11.0,221.83900906153985,42235369.12334752,0.0
1446.0,11.0,316.30312781636525,512842809.4296878,0.0
1917.0,11.0,382.15899805416655,46247394.07035256,0.0
3934.0,11.0,395.70010593093764,5456831.259451686,0.0
