1957,13,projection_xy,650,3151249000.0,2351843800.0,2004708500.0,7040455.0
1957,13,projection_yz,650,3151005700.0,2351709400.0,2004631600.0,7040457.5
1957,13,projection_zx,650,3151376100.0,2351913700.0,2004751600.0,7040455.5
3683,14,projection_xy,700,3489665300.0,2634314800.0,2317755600.0,11955144.0
3683,14,projection_yz,700,3489693200.0,2634330000.0,2317765400.0,11955144.0
3683,14,projection_zx,700,3489677000.0,2634320600.0,2317758700.0,11955146.0
399,25,projection_xy,1250,4484664700000.0,2228881700000.0,1496179000000.0,1418707800.0
399,25,projection_yz,1250,4170504200000.0,2118976000000.0,1444233700000.0,1418708400.0
399,25,projection_zx,1250,4339887200000.0,2188614400000.0,1479751200000.0,1418708500.0
2361,36,projection_xy,1800,57525470000.0,53479764000.0,52778020000.0,295655700.0
2361,36,projection_yz,1800,57441653000.0,53422793000.0,52738953000.0,295655700.0
2361,36,projection_zx,1800,57430230000.0,53414060000.0,52732723000.0,295655800.0
1496,36,projection_xy,1800,89135890000.0,83237940000.0,80146990000.0,348919070.0
1496,36,projection_yz,1800,89272760000.0,83333650000.0,80213770000.0,348919140.0
1496,36,projection_zx,1800,89139520000.0,83242500000.0,80158350000.0,348919040.0
1502,33,projection_xy,1650,76173040000.0,64700887000.0,58075873000.0,189043230.0
1502,33,projection_yz,1650,76094710000.0,64652580000.0,58045567000.0,189043300.0
1502,33,projection_zx,1650,76055930000.0,64628322000.0,58030910000.0,189043280.0
500,29,projection_xy,1450,1709114700000.0,1178136700000.0,878210060000.0,1435121800.0
500,29,projection_yz,1450,1583776400000.0,1118015200000.0,846953800000.0,1435121900.0
500,29,projection_zx,1450,1651251900000.0,1150101100000.0,865008750000.0,1435121900.0
478,23,projection_xy,1150,297401700000.0,350845800000.0,406655270000.0,3309198300.0
478,23,projection_yz,1150,342340730000.0,393843930000.0,447417020000.0,3309199400.0
478,23,projection_zx,1150,263928140000.0,314019970000.0,366949960000.0,3309198800.0
248,29,projection_xy,1450,2812860200000.0,1869319900000.0,1579192300000.0,5055212000.0
248,29,projection_yz,1450,3249816200000.0,2089570000000.0,1727222100000.0,5055211500.0
248,29,projection_zx,1450,2938836000000.0,1925939700000.0,1611614000000.0,5055214600.0
615,52,projection_xy,2600,456257180000.0,567096600000.0,647591000000.0,5707548000.0
615,52,projection_yz,2600,432565500000.0,543705370000.0,627391300000.0,5707548700.0
615,52,projection_zx,2600,322155800000.0,402151080000.0,466345800000.0,5707548700.0
2909,11,projection_xy,550,1786521700.0,1335839700.0,1163556900.0,5957926.0
