galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat
0,29,1450,projection_xy,mockmass,0.6329307902138644,1.9176896951667712,1.2865989893535912,3.344343427104359,6.71995566618955,601228000000.0
0,29,1450,projection_yz,mockmass,0.7169291474658557,0.147626364580091,1.2768276578164843,3.076755878402431,6.726531084850964,601228000000.0
0,29,1450,projection_zx,mockmass,0.5560344591530059,0.7567030657056159,1.2368949905761093,3.8326308677578,6.667880300887269,601228000000.0
1,40,2000,projection_xy,mockmass,0.9772562359527848,2.195531716886148,1.134711004302937,2.0909913528659123,7.002943267147899,547181000000.0
1,40,2000,projection_yz,mockmass,0.5315546922085689,1.4748782861954648,0.9262282758416528,1.9505636458307716,7.335165106710955,547181000000.0
1,40,2000,projection_zx,mockmass,0.4743152054621984,0.1826347819075707,0.965302321049154,2.013906225097875,7.340123382935331,547181000000.0
2,126,6300,projection_xy,mockmass,0.6598487121730607,1.284590693219329,1.7033896735263867,4.824840872092889,6.398859845279064,643670000000.0
2,126,6300,projection_yz,mockmass,0.6110034957017685,0.5133121914251162,1.851784664656876,4.851794058721456,6.425507777596935,643670000000.0
2,126,6300,projection_zx,mockmass,0.8612280313108746,2.8151264130943416,1.677151812982986,4.763018437052422,6.301876660747789,643670000000.0
3,83,4150,projection_xy,mockmass,0.6229797523027426,0.0742616146327888,1.832478483123006,3.858850191799147,6.671302190290399,419125000000.0
3,83,4150,projection_yz,mockmass,0.6688530405712395,2.900077884926182,1.90747824056473,5.201636657229098,6.336535548378712,419125000000.0
3,83,4150,projection_zx,mockmass,0.3138719659691877,1.310871456072059,1.5034312288476448,5.545703333517024,6.725965195702492,419125000000.0
4,36,1800,projection_xy,mockmass,0.2697668254753898,2.6970868787134163,1.1976556411881814,3.4729775280987427,6.894236432175874,278360000000.0
4,36,1800,projection_yz,mockmass,0.726956651693202,2.042661399706491,1.322214942508392,2.9349835955005257,6.553345377009594,278360000000.0
4,36,1800,projection_zx,mockmass,0.7137338352440062,1.2866624063355858,1.2778905515846302,2.419909594121324,6.745504616928127,278360000000.0
5,25,1250,projection_xy,mockmass,0.8917159238079084,1.2694160174400284,1.0482343693984286,2.457970316901449,6.544965816627196,234994000000.0
5,25,1250,projection_yz,mockmass,0.5595499619591667,1.067796913607486,1.1271999807427622,2.608169821319553,6.701012812057866,234994000000.0
5,25,1250,projection_zx,mockmass,0.6506172808466661,0.3458238427271197,1.0712200658676865,2.631772414670978,6.636366130569061,234994000000.0
6,20,1000,projection_xy,mockmass,0.8950140634836851,0.9610506865162136,1.2361733130300792,2.3612407085318847,6.638222693856948,299638000000.0
6,20,1000,projection_yz,mockmass,0.5418981639499207,2.029029321558909,1.2102335995501632,2.249593491482067,6.868088606647337,299638000000.0
6,20,1000,projection_zx,mockmass,0.6370803522915874,0.3197371655010869,1.1859264588565148,2.229270279416071,6.816915897490296,299638000000.0
7,39,1950,projection_xy,mockmass,0.3428289600590691,2.055926385271252,0.964742122295978,2.9983545018360576,6.898068177981611,217648000000.0
7,39,1950,projection_yz,mockmass,0.8644794892697163,2.7531110001664376,1.107734060277907,1.9321763070033569,6.8106442469868735,217648000000.0
7,39,1950,projection_zx,mockmass,0.7414379848248619,0.0651595994693554,1.0855280042324162,2.493866302986378,6.64910407454119,217648000000.0
8,28,1400,projection_xy,mockmass,0.5973158074312905,0.2912354454826649,0.9608423248173285,1.5510510049213344,7.153625103317884,182877000000.0
8,28,1400,projection_yz,mockmass,0.4479549842605438,1.8747126027784409,0.8827961631761276,1.5764074846393417,7.293021191189941,182877000000.0
8,28,1400,projection_zx,mockmass,0.6735452326462112,2.605277562635316,0.951375012495518,1.0591905233346726,7.424188152587428,182877000000.0
9,74,3700,projection_xy,mockmass,0.8051516394186928,1.3892496840366126,0.9851067353461148,1.9830479640474008,6.714859706663939,205162000000.0
9,74,3700,projection_yz,mockmass,0.6364076884040237,2.3235202795648418,1.0891752714417198,2.01780445796924,6.807537491541228,205162000000.0
9,74,3700,projection_zx,mockmass,0.6454560687465242,0.4919649202463306,0.9999389284992124,2.1632025898215006,6.744581404576014,205162000000.0
10,64,3200,projection_xy,mockmass,0.460287929656095,0.6135685556059103,1.297081077116511,2.095034444690832,6.933240718587798,152778000000.0
