galaxyID,FOV,pixel,view,band,level,ncontour,cx,cy,a,b,theta,flag,lum_sum,b_a,b_a_std,lim,nrange
18,35,1750,projection_xy,band_g,1610716.7363811852,547,2.6379724644238145,-0.8023720228395438,17.68287253682654,16.85460836587017,1.927494116483975,none,1807851000.0,0.9388193952657486,0.020106765838423,0.5,12
18,35,1750,projection_xy,band_g,503225.3645980669,62,-0.2582410762941888,-0.2028630628971647,29.743181679034446,25.976297285765803,1.8402479734861823,none,3288934100.0,0.8748411691956366,0.0038647772117738,0.9,12
18,35,1750,projection_yz,band_g,1536777.5518625122,527,0.5590507050595819,1.51749530370805,19.175567804600085,16.3303904922279,2.33500597408758,none,1887862000.0,0.8622099806193148,0.0074797986469987,0.5,12
18,35,1750,projection_yz,band_g,527437.1140750152,104,-0.3521185847724875,-0.3206159800670671,29.342965868416854,28.669947415211904,1.5192455455871596,none,3459011600.0,0.9724687389619464,0.0040900660401582,0.9,12
18,35,1750,projection_zx,band_g,1573312.8496519227,546,-0.5603271538240117,1.3093328529824084,18.21194526474098,16.68391652525453,0.3565841674561323,none,1788862700.0,0.9181945622933828,0.0112266662241148,0.5,12
18,35,1750,projection_zx,band_g,491539.52058119443,94,-0.5475658905029234,-0.1476043218372549,30.442977457259413,26.24232381163153,2.9604383424399936,none,3256740400.0,0.8611340837985009,0.0010447580787994,0.9,12
23,33,1650,projection_xy,band_g,34701840.12674564,23,3.1679683523873527,1.421180255673257,17.17515649576188,14.32625809963486,1.5242124712179237,none,4018330400.0,0.8464529451481435,0.0149191135761522,0.5,12
23,33,1650,projection_xy,band_g,1190153.4735321468,13,1.3375334523924605,-1.2667470485786667,24.80079865753981,21.5445679087834,2.4642363746012745,none,7281478700.0,0.8673036659073464,0.0037138682315329,0.9,12
23,33,1650,projection_yz,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1
23,33,1650,projection_zx,band_g,98761742.68167385,3,2.6410135044111382,-5.456597790337115,0.3711568485822462,0.3291455911935432,2.238782801049709,none,64160564.0,0.8968809935205795,0.006123117429934,0.5,6
23,33,1650,projection_zx,band_g,801657.5152433261,3,-0.2873189148900729,0.5521227599780417,26.703618644634,14.148570114211203,1.3955855223591125,none,4489021000.0,0.5314082686819155,0.0098658422110583,0.9,12
26,35,1750,projection_xy,band_g,1190153.4735321468,519,-1.2087304877922298,0.2166637625217761,17.750877463306715,15.855925477145624,2.7949558020739254,none,1255727200.0,0.8830065377557799,0.0198342786028724,0.5,12
26,35,1750,projection_xy,band_g,354762.8679067579,48,-2.5459022330507217,0.4634793057585685,28.79973920630348,25.96729816553773,3.004135990549459,none,2285790200.0,0.9033121083805036,0.0044556834472876,0.9,12
26,35,1750,projection_yz,band_g,1218448.1421508412,579,1.4215580415379812,0.6372073544792223,17.326955712962796,15.82203328267542,1.7531672845408164,none,1260221600.0,0.911751200790982,0.0105342846074749,0.5,12
26,35,1750,projection_yz,band_g,347018.40126745566,51,0.4332272468904348,0.7302087162954721,27.49902149694874,26.3178910995729,1.517382995560825,none,2291651300.0,0.9580057085549504,0.0053526385722491,0.9,12
26,35,1750,projection_zx,band_g,1218448.1421508412,600,0.8083419322633384,1.004163688000597,17.378616271136295,16.297302401545668,2.0400925371828924,none,1298181800.0,0.9458115844223032,0.0187968473051014,0.5,12
26,35,1750,projection_zx,band_g,380671.5338137443,50,0.784260510848571,-2.7153218756789697,28.18071439957144,26.541650149719235,1.647798380463509,none,2404780800.0,0.9412254226584263,0.000995903725355,0.9,12
31,29,1450,projection_xy,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1
31,29,1450,projection_yz,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1
31,29,1450,projection_zx,band_g,4278205.045289821,86,8.382748122368223,1.3221783163835337,20.53348638784117,10.96616384453263,2.0609490053078448,none,3340512300.0,0.5533211484248539,0.0186683577886756,0.5,12
31,29,1450,projection_zx,band_g,801657.5152433261,12,4.419855771375147,2.693345713271284,26.529243331820076,19.308913499330924,2.133973737897044,none,6073339400.0,0.7304740041502993,0.0071569017631899,0.9,12
65,12,600,projection_xy,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1
65,12,600,projection_yz,band_g,2444662.5745077813,67,4.25892441294246,-2.6764928760796898,6.667136902299827,2.750249286735237,0.9008453973220956,none,147233380.0,0.7022795549631117,0.2050447827498855,0.5,3
65,12,600,projection_yz,band_g,1466232.5103882418,2,-0.0635332245355539,-0.3516384225458256,11.576270666997354,10.07467547287039,0.7646099458243613,none,775188300.0,0.8740291270603674,0.0147633538720932,0.9,12
65,12,600,projection_zx,band_g,2281524.3500090525,98,-2.1957648835568904,0.469876213691986,9.297820698859756,6.221897740946929,1.5024425380264006,none,417610530.0,0.7512327588173582,0.0762996324902331,0.5,12
65,12,600,projection_zx,band_g,1536777.5518625122,3,-0.3741124559507826,0.0387102276159868,11.366444369325173,10.46250997832442,1.1647319223960886,none,790998460.0,0.9165266747365448,0.0161923917542924,0.9,12
81,26,1300,projection_xy,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1
81,26,1300,projection_yz,band_g,3308530.3795973277,218,-1.7136541950898188,3.5396121307407498,11.618004825617184,9.885802440737486,1.3814802364205314,none,1503509400.0,0.8491559719187715,0.0021983681779476,0.5,6
81,26,1300,projection_yz,band_g,747096.3650407288,3,-0.9803521692992913,-0.7557980845683102,19.86103916420833,18.3514148937417,1.662784181523828,none,2840279300.0,0.9240564703104768,0.0033785736716424,0.9,12
81,26,1300,projection_zx,band_g,2881691.5654835124,42,2.208595950690407,1.0908935941589797,12.900075881214338,6.531166079921426,0.0193114947692212,none,997270000.0,0.495425550347523,0.0097591334285062,0.5,12
81,26,1300,projection_zx,band_g,592342.1882941212,1,-0.2178451928656553,0.3838421508264229,22.338082400310785,12.0162426334223,0.0517071102221272,none,1851848100.0,0.5384180764722077,0.0059408934552375,0.9,12
86,24,1200,projection_xy,band_g,40847233.39596975,2,2.5380984366007464,-6.461694201545774,0.3335239437332091,0.2936766964235099,2.710336324004041,none,15588434.0,0.8787280884751066,0.001494273354131,0.5,6
86,24,1200,projection_xy,band_g,408472.3339596967,2,0.0327499665133556,-0.1104384446125307,18.019400280019223,11.78877995464382,1.233940535562926,none,1297973400.0,0.6601379144454042,0.0094552418266461,0.9,12
86,24,1200,projection_yz,band_g,3998399.726071527,77,-0.6143913053620191,-0.2663558528283418,10.458323857493143,8.134700557616643,2.3930798569907425,none,810700600.0,0.7900626753251138,0.0095975916312811,0.5,10
86,24,1200,projection_yz,band_g,408472.3339596967,6,-1.1914185511211604,-1.1741385401290634,16.32027885057512,15.239035259090787,1.8601740465413992,none,1470075000.0,0.941214853022553,0.0385223394223223,0.9,12
86,24,1200,projection_zx,band_g,2623198.58159318,80,0.3089854235430387,-0.4947716918863513,10.581789076839009,6.20318552612506,0.62377510036562,none,710480640.0,0.5475526267476385,0.0226665359356609,0.5,9
86,24,1200,projection_zx,band_g,515189.0274772471,1,-0.4307311219230492,-0.1253812052725461,19.124300189148684,9.688166370612414,0.5366748740248211,none,1285332100.0,0.5072009040351577,0.0029879156574072,0.9,12
89,35,1750,projection_xy,band_g,9223678.216856327,32,-0.0532220951006205,0.2504244936645804,14.309545071947555,7.693796374671062,0.3083567383249765,none,1566866200.0,0.5172301731277281,0.0334399665757729,0.5,12
89,35,1750,projection_xy,band_g,515189.0274772471,1,1.0706748914639777,0.3846373440392139,20.062496489410677,16.09993518571722,0.6524779472085132,none,2827607300.0,0.8027774403298759,0.0007683870266553,0.9,12
89,35,1750,projection_yz,band_g,3894442.257801456,84,-0.4787662907065818,0.9876152206976314,13.153942502626522,6.332322363861805,2.388068604530516,none,1281166300.0,0.4835907169959166,0.0075514989318484,0.5,9
