object_id,object_Mstar,object_Mgas,object_Mvir,object_groupID
1974,6.648143297650229,8.019975716633494,9.715687530153758,-1
1508,6.851901973092191,8.267073120624193,9.853484661574102,-1
462,9.10325280938632,9.196507791939696,10.512607027286831,0
1810,7.460666357717986,8.16113731563272,9.746590611641071,-1
506,8.637730826103956,9.471712596629825,10.416012739589597,-1
6871,6.957002588835963,-inf,9.084972859667293,338
855,7.982782133208892,8.986984799697131,10.13748387386169,-1
429,9.155697293070782,9.225055869358957,10.559293634024131,-1
1543,6.613523645402933,7.996514298927376,9.86446954817942,-1
931,7.948002931310908,8.590096946177638,10.149650113098115,-1
175,10.136796641278325,9.577603231478868,10.85003325768977,58
2214,6.92233041804557,8.086505757579863,9.633460375607086,-1
69,10.344272384000949,10.36006489611281,11.355219655718246,-1
1130,6.857612284952984,8.656911382868433,10.004566401533477,-1
1054,7.8296722842007345,8.92969218978176,9.97408916696916,-1
3005,6.853649548603744,-inf,9.523088024788304,0
22,10.739041215438322,10.532776029497379,11.895101955985899,-1
9244,7.693364592684154,-inf,8.779450018421189,8
1311,7.616805179466244,8.625061269680502,9.886734876674842,467
80,10.228933915285236,10.09819016174736,11.37213841744643,-1
1192,7.177493212608342,8.635673709099525,9.976014153777692,-1
354,8.998387514866138,9.649600612348662,10.594983363457239,-1
230,9.648383432973077,9.63806973558436,10.859621578861859,-1
608,8.71361149028466,9.176814480674777,10.327448849582272,-1
10640,6.604051003616739,-inf,8.874352495817531,161
993,7.424015449821989,8.341224746290095,10.125513795904116,-1
727,8.224139248082075,9.077560478545466,10.247366793741293,-1
643,8.751393052833476,9.371396692720936,10.170311597707125,32
201,9.829066293597345,9.494185216267677,10.927985947099428,-1
365,9.773207731399983,8.755673662158777,10.419478257556856,3
1320,7.417516532001374,8.712871841982242,9.861168063102806,-1
1244,7.870827457710078,8.553030585216169,9.94002812721193,22
1718,6.650814389917296,7.823424667212321,9.81098683576035,-1
672,8.38105729132078,9.325515663363149,10.210125814092304,-1
716,8.236514588911174,8.982851262013027,10.282998021527405,-1
1883,8.431760881568263,8.045291677155458,9.587739019311863,16
595,8.579854449410234,9.194847219631445,10.350813783534747,5
639,8.5569257484788,9.231033547917306,10.272704692453397,-1
1753,7.012803491784894,7.831878728713589,9.799317110706205,-1
900,8.456577055045647,8.82278964347804,10.100246443250194,62
864,8.021569657150103,8.821442122687962,10.168126082530378,-1
418,8.770723912684502,9.128938570474512,10.632369209546846,-1
5718,7.0463819910996826,-inf,9.177262273997082,-1
12682,6.845606487232082,-inf,8.7616362072064,2
1821,6.586984288855895,7.965607574298766,9.770076951306619,-1
537,8.372727940885596,9.35675417213756,10.427010331826375,-1
453,8.758596271119295,9.269321438842574,10.552810524599002,115
1065,7.645997672088054,8.621553268578205,10.047041103415907,-1
1101,7.554304984942331,8.796396694030346,9.980265688071045,-1
13,10.917919651019753,10.987990524290842,12.188197016558755,-1
5320,7.481640380959792,-inf,9.18231477033948,-1
1382,7.117897421628228,8.30445390417479,9.904427723070043,-1
144,9.877746727362432,9.774899997782104,11.095127489705192,-1
58,10.483230586902103,10.405467597314903,11.438493300009391,-1
610,8.235634482614413,9.09370528490816,10.374152385789415,-1
774,8.464972159799839,8.918855132202735,10.22624923518772,-1
1655,8.698279796528599,-inf,9.58744716604536,0
493,8.905152324247862,9.261058166719483,10.489810878550774,-1
1309,7.3103533890449945,8.338751235691184,9.940820683334723,-1
263,9.576826060986274,9.54112474416267,10.782181563685214,-1
307,9.587297796015058,9.061983712399998,10.72244799154023,-1
228,9.64967553910988,9.269164902226544,10.914548882506812,-1
1226,6.742197846427247,8.534167038413353,9.976215588324871,-1
184,9.512688397683513,9.976553549817186,10.929896897461722,-1
8129,7.05032947883426,-inf,8.992474427505524,-1
98,10.579074432196862,9.761943616999154,10.919161803725968,5
71,10.3521690065173,10.229878855226827,11.394155629267182,-1
1007,7.604351353812848,8.769656425684953,10.05922251252969,-1
2368,7.7349989355542155,-inf,9.615884850011899,7
1163,7.770988903241101,8.762595297218057,9.956094920874285,-1
126,9.937761550117605,9.845170623169095,11.165288851643375,-1
3179,6.720669403139999,7.6340962136772825,9.467431984550393,108
2323,7.4670928614612935,7.053516360420291,9.640231919276081,-1
1128,7.316773152685659,8.463622776759218,10.032856389468785,-1
1284,7.018209351808092,8.5593175952312,9.927785977971814,-1
1474,7.250837017518506,8.4487511380194,9.838446079937517,-1
1808,7.678383608480662,-inf,9.783871434577094,1
962,6.802483642827951,8.714207335166522,10.11596645396742,-1
1510,7.6277385343610336,8.564158104275545,9.786528540670558,100
806,7.888757793476131,8.720831319234154,10.247727832909723,1
28102,6.645733631353125,-inf,8.333171092294863,-1
555,8.788479480483439,9.341703525759675,10.353668156593303,-1
929,8.28712737861481,8.654888547524308,10.123050887053067,0
431,8.9138059078998,9.460093126923397,10.532145175485084,-1
3380,6.936156710249774,-inf,9.459295967149455,-1
1119,6.834484921104332,8.85642072796775,9.95909579503543,-1
117,9.909468305733045,9.696957169382538,11.244611065056592,-1
40,10.445219550052396,10.336713831846467,11.73775225145068,-1
1036,7.592175646666871,8.82698974586881,10.028859873135648,-1
394,9.172804271085951,9.559891071511696,10.5269076243035,-1
400,9.13888032034428,9.423683225823567,10.574796110251132,-1
1916,7.398752247923199,8.161664419357251,9.71071801988542,154
564,8.474838113105411,9.307157883993177,10.381532019905476,117
918,7.8877843478178145,8.901466494992006,10.106799231476879,-1
2605,7.553646405144818,-inf,9.58076764366757,-1
1521,7.31021521917085,7.110653671442972,9.887528969807445,4
837,7.860538634224639,8.375939646081095,10.24687018178726,-1
1445,7.262524652510474,8.554398293912493,9.833497084917012,-1
953,7.628101689788852,8.927137239376387,10.06824524838401,-1
683,8.868685573948293,9.21722592298046,10.188768229048824,105
3635,6.905263070866139,-inf,9.421251742369975,-1
1700,7.523117975637954,8.293667448366927,9.765887509122809,16
745,8.627773328596385,9.104534908389228,10.189097109071419,-1
621,8.268386053689193,9.273038330278398,10.3098600271941,-1
895,7.428871497150765,8.995634755916033,10.109136266007377,-1
1217,7.402223541286915,8.60884254670131,9.963259744205264,-1
219,9.697108979418438,9.649304671275258,10.88031901508068,-1
336,9.351686173781388,9.468100569238732,10.650022758018187,-1
252,9.16851810760166,10.005352136486216,10.68599597269534,-1
2133,6.692022475281096,7.959584636389104,9.673326004763213,-1
8,11.26215908873946,11.306635153792026,12.453062887544034,-1
1094,7.535059816386243,6.34936107496911,10.093754283383056,11
2283,8.165196827207275,-inf,9.57241965441291,0
1088,7.210567304911969,8.513440019111108,10.049849616760437,-1
205,9.718084632408688,9.422351782555161,10.93851922483694,-1
361,9.106642981114103,9.541469408465625,10.606972205508573,-1
2000,7.163221026715578,7.83379902070436,9.716081843619243,-1
889,7.675457541641209,8.742191556007919,10.171035712732262,-1
591,8.703096977085265,9.187602495864219,10.351581811376683,-1
2920,7.272057538872303,8.411419345631048,9.361627747930736,220
2438,8.27345038978416,7.394222214662964,9.484954347420981,-1
759,8.500517769197414,9.022383000921083,10.213313178696675,-1
676,8.756693148433559,9.425739581489243,10.084422549802055,129
712,8.752662943120972,9.216788516552255,10.166737889055943,-1
6438,6.6832163980807735,-inf,9.129067645194983,11
2982,7.2591278014676455,-inf,9.51780928504771,-1
533,8.255831902012698,9.48016222580242,10.387469914247594,-1
1825,6.917587949410267,7.172950111242701,9.790759320790213,-1
457,9.460681392960444,9.356536379154969,10.345994827310298,14
578,8.853368412061572,9.163751566540794,10.37110482193151,-1
1412,6.655742375815129,8.332484916840436,9.892699409697553,-1
904,8.550277284887933,9.05846398560225,10.010448371774086,267
10454,7.838480098423555,-inf,8.534146726660133,2
388,9.720712366354723,9.041732091820572,10.38690186096243,3
140,9.864068254711675,9.692408880274193,11.136130540451719,-1
2345,7.625030376704807,8.78723228599518,9.21928843449207,37
17,11.052805482427246,10.0718525626143,12.181680696970092,-1
1061,7.840364585905585,8.657695344379077,10.03974318572829,-1
1105,8.47911298752122,8.932015382769448,9.8476750517355,7
781,8.735550198505514,8.982165813356055,10.165784260997587,15
851,8.682550288985661,8.48787477823408,10.154128662049795,-1
1423,7.545362791676708,8.160333449631985,9.894082788340654,-1
549,8.891334479320381,9.497881562351433,10.279947411350932,-1
935,7.53098174859763,9.114744387545127,10.015766192239647,-1
466,8.825464417087135,9.452065644677633,10.478807382857134,-1
26,11.084114930194717,9.73897547175081,11.689993953118046,2
296,9.669241546724264,9.665262892197873,10.594676461833956,69
1050,7.76988444537459,8.750882359594309,10.031077062049443,-1
2374,8.155478754157306,7.51542607779605,9.532791311556899,2
171,9.917420427813836,9.390580111685646,11.006607218491803,-1
198,9.598600119345567,9.774603086178844,10.93932652288344,-1
350,9.416359206418988,9.237050856024604,10.643219674226064,-1
234,9.64891496762961,9.507302535684804,10.873104854456317,-1
84,10.23910669470121,9.875418974687966,11.334666824868977,-1
1271,7.160537556546213,8.118753982640392,9.983063549677489,6
8546,6.95393501662489,-inf,8.97226117252592,114
997,7.438205224439906,8.842227191986082,10.047749799771594,-1
723,8.482709263495526,9.00440736417633,10.254161220847426,-1
647,9.029375659955475,9.182605791249317,10.197327431825766,6
768,8.153326961490906,9.073945516728688,10.21126474795336,-1
1032,6.961143816524274,8.338428602237686,10.10882876738258,-1
158,9.882985339971299,9.603927778349071,11.07956831941608,-1
2239,8.669244337099597,-inf,9.291517586381635,1
390,9.248073853999044,9.403597468142124,10.57480535879932,-1
44,10.585123315222638,10.424687303521937,11.640573851363328,-1
113,10.113180997878336,10.035069344421105,11.172506605219668,-1
833,8.127402868384827,8.861084351407149,10.18939204591257,-1
3908,6.784255586544951,5.9766300934306065,9.386051063553444,71
957,8.141104709327928,8.704247492724228,10.098311389367282,-1
687,8.33635765264231,9.182397531421053,10.260679451627176,-1
1689,6.896922302973567,7.911676320719026,9.81538512855105,-1
8705,7.157214922391151,7.03391407051661,8.922210433347189,243
878,7.819505110511887,8.949276294440043,10.13281661281925,-1
404,9.343575976650332,9.46957609152017,10.504392016276704,49
4796,7.1771178749792925,-inf,9.268641145903224,-1
560,8.616597330321161,9.37686152741413,10.349588320562463,-1
741,8.096698025571746,9.035581814691712,10.251246327093893,-1
625,9.10226901304307,9.274476522948294,10.174039445148717,141
2544,6.968637492530278,7.803195504185845,9.584025753655306,-1
589,8.770161007589829,9.120814042826398,10.36909705976681,-1
4734,7.072955374608179,-inf,9.279961088050657,4
5912,7.090910239503154,-inf,9.157154439906282,112
13781,6.701870935754698,-inf,8.729268489426287,28
3209,7.341359332692038,-inf,9.472073031327305,5
332,9.637657810975707,9.104347103890506,10.6118740637858,8
256,9.350538743201811,9.701198288903928,10.815857890782462,-1
1090,7.944080269869483,8.682797382321537,10.005056042692775,321
6272,6.653182594680477,-inf,9.142595925939956,3
3600,7.240911009637881,-inf,9.414821318295406,0
4661,8.098363333704414,-inf,9.08094019103675,9
497,8.974776425742723,9.353637377804425,10.443622794157005,4
2909,6.609494093755177,4.655091351662773,9.541602954779641,886
614,8.764887911342528,9.175720502885984,10.313377836393403,40
770,8.189846698779162,8.681618366914806,10.280589751101608,-1
1346,6.683286645017719,8.433835413038752,9.91294014813998,-1
1222,6.7762230517083495,8.534313001194523,9.978982604089461,-1
348,9.758051531112251,9.38929723921831,10.414662549196327,54
7019,7.154691710572038,-inf,9.061825540630647,17
180,9.782494123360959,9.557395305533852,10.998930754692449,74
7052,7.074677502679902,6.163149443646041,9.06351724766962,-1
4091,7.604478777817901,-inf,9.319605679131232,33
267,8.875118007496802,9.67475186474301,10.827625121211373,-1
3238,7.116242357963335,-inf,9.475746711232524,-1
303,9.750638740772771,9.571990507909215,10.54909035755242,76
1269,8.243184443292204,8.615058465355759,9.873313625141177,24
1048,7.486267499287289,8.75816371704455,10.037306950897092,-1
122,9.69269184934664,10.20542632808631,11.130443132593324,-1
2327,7.533789846559762,8.421087072212277,9.513080362645438,652
169,9.686748849534863,9.822926124640086,11.010372050325486,-1
1003,7.337477231725004,8.797653178218757,10.057464501892248,-1
1167,7.791948062338665,8.441233108488046,10.01123624236347,-1
75,10.347175788996184,10.211029719877963,11.342327915324088,-1
15529,6.94302336253899,-inf,8.640488393576886,-1
435,9.031949480251892,9.196087713754107,10.580057801286703,-1
2884,7.280002115565798,-inf,9.53292500664432,2
966,7.369475614018333,8.951822064824364,10.050228906514935,-1
802,7.648397095218509,9.146307920418616,10.15436005681992,-1
1968,7.0429021931876665,8.369846425586202,9.663951443863471,341
1514,7.065501288179665,8.299036358013696,9.845228308819484,-1
344,9.383172421600424,9.282302561218684,10.65696018274285,-1
220,9.558415742957024,9.798812871427591,10.854819602553956,-1
1182,6.80408761388988,8.593153099376849,9.991645100603687,-1
90,9.946117080455048,10.318618375960154,11.245001577666653,-1
1301,7.749754088822963,8.75506265171347,9.852090662043052,-1
11441,6.635590296741223,-inf,8.83167209012818,3
737,9.405511985548987,-inf,9.926975930832173,3
653,8.295688025892584,9.200053926108156,10.28929010508032,-1
1495,6.954309096155033,8.133982556198967,9.870347127221695,-1
618,8.270112603590778,9.301379462080545,10.30289778268509,-1
1772,6.862633987060209,8.181254605430409,9.76780570780262,-1
1553,7.927893152364482,8.69294028695831,9.712697673368101,85
439,8.872338113705533,9.539153913375719,10.48811761618261,-1
845,8.255045647633704,8.835894673631554,10.17015899847277,-1
1437,6.741912326882906,8.447567316078374,9.863817554990247,-1
921,8.791768520370297,8.839787788094265,10.0066542670429,22
795,7.902661996107137,8.947106161917871,10.228310513081142,-1
472,8.356830564850526,9.578709103983075,10.432059685950968,-1
1518,6.837347868423905,8.54867926056609,9.80293031664272,610
516,8.817759007181385,9.350575554468614,10.440622605007302,-1
2677,7.693238752694312,8.27147915619299,9.449745219321613,215
14650,6.704494554619988,-inf,8.696448131397878,-1
32,10.590852976108213,10.136444686703882,11.78942134761539,-1
1120,7.107650826146487,8.546240279403092,10.027198699908206,-1
1044,7.632484624543765,8.087493921911644,10.106870544478653,-1
79,10.39787399089331,9.935232091906462,11.339985781634109,-1
2204,7.471491205940444,8.427455272443664,9.554823383602326,-1
165,10.273556813529837,9.598554151254799,10.753323323692078,2
527,8.831742473442578,9.359939776350954,10.41131491957711,-1
3860,7.1901943833702715,-inf,9.380267334459607,-1
2646,7.149006533550211,7.804080113339494,9.554842750998061,-1
1529,7.965600052867686,8.457853144579621,9.78378641824861,-1
443,9.356207572368946,9.440584813706272,10.403099921739532,21
1685,7.109669648079123,7.5678823415253,9.827778816055016,-1
1406,7.152401490881022,8.175972535671026,9.908286592125503,-1
910,7.571614510969099,8.950191004416114,10.10488980780173,-1
408,8.8841635638691,9.596535520398273,10.522003194217616,-1
874,7.734603032810983,9.198555373172088,10.029253875797782,138
48,10.489786976547306,10.291386612643848,11.646693812540558,-1
154,9.561088259166953,9.497731108097367,11.157087899442732,-1
1392,6.753664242160107,8.267648017296743,9.907550549198936,-1
4045,7.212853189947111,-inf,9.35739545367443,12
1075,6.786597404801701,8.534021026558806,10.061331824972818,-1
1111,6.950817900683592,8.46399595382132,10.04311853309192,-1
1254,6.641886395350657,8.180455630163433,9.991661924027882,-1
0,11.77903919806645,11.978311105316617,13.077745704308567,-1
211,9.6687753023638,9.695520200904873,10.893179539381645,-1
12208,7.215359928024156,-inf,8.736048130133373,59
629,8.410503921351328,9.232340364258413,10.305770411891688,-1
3676,6.988282864739119,-inf,9.414562244061946,-1
585,9.437260516392213,8.488546486338786,10.190905708142735,2
1893,7.158697131799228,8.179304701540154,9.720636351620898,-1
1708,7.039187989215118,-inf,9.829807262462472,-1
706,8.269036359837239,9.099345642585707,10.267094252747397,-1
1294,6.948721459584691,8.021548994073298,9.975777268376673,-1
136,9.786365921193493,9.877903232368281,11.131788628188069,-1
8353,7.403473992561818,-inf,8.932773000051014,2
1017,8.11055604275538,8.724592051967246,10.046877393739317,108
3122,7.505274820038316,6.648837959790263,9.475284654047268,-1
61,10.45796209005275,10.128635093794761,11.456490533280279,-1
939,7.6029082081780075,8.929864232382165,10.081667688846304,217
545,8.138040463069192,9.469405187744236,10.37105677376043,-1
421,9.190555792335172,9.307756964080157,10.549927301009381,-1
972,7.565266797346852,8.71711438327517,10.098401422270078,-1
816,8.047909291667228,9.120277720339368,10.135053102977999,-1
1500,6.80880426088519,8.39759417260342,9.839465477163865,-1
4530,7.2070389247854685,-inf,9.296853782264433,-1
1995,6.7436782759194545,-inf,9.745084945830731,-1
483,8.875503439527105,9.381250494466153,10.472812012060118,-1
1645,6.764332330712141,7.881796499036505,9.83009700263379,-1
600,9.079528542732989,9.108960579168212,10.28566305696463,-1
2561,6.8446802960432525,-inf,9.61150557527321,-1
764,8.328960313272693,9.129496543016659,10.188621980169021,-1
2405,7.592355547728225,-inf,9.61814854839587,2
5818,6.912948108476762,-inf,9.17371060281591,15
88,10.223314189764135,9.578839695438267,11.327959378305213,-1
194,9.85328074787191,9.71512970062498,10.893898740118134,-1
1352,6.747689853789135,8.632682985673815,9.871432234032994,-1
238,9.53170111677791,9.712838191655488,10.836810683354356,-1
1236,7.700225037408459,8.407953168419482,9.976002220782325,-1
9084,6.7141477874519016,-inf,8.95194724033254,4
11061,6.683596316536349,-inf,8.84893816765547,-1
2112,7.078101406728111,7.604127731513192,9.696540728148321,-1
273,9.26071757626967,9.818024540231365,10.721892192282318,-1
317,9.198613105539437,9.61405838677323,10.673341668644966,-1
885,7.441016068975956,8.79241900716294,10.168762575622358,-1
755,8.101733330232639,9.098065435167946,10.218144096255516,-1
