galaxyID,groupID,NearestNeighborDist,NearestNeighborgalaxyID,NearestNeighborRvir,NearestNeighborR80
7274.0,12.0,56.878514092780144,12.0,354.9601417183348,8.122891197520484
7299.0,0.0,196.43986445,3828.0,40.507824033067614,5.310484996996496
7368.0,7.0,93.88812075,2368.0,46.54561558901683,9.375994204679373
7465.0,-1.0,-1.0,-1.0,-1.0,-1.0
7468.0,-1.0,-1.0,-1.0,-1.0,-1.0
7537.0,-1.0,-1.0,-1.0,-1.0,-1.0
7689.0,6.0,187.11473047,4063.0,39.489223501623854,4.109981140453221
8129.0,-1.0,-1.0,-1.0,-1.0,-1.0
8196.0,-1.0,-1.0,-1.0,-1.0,-1.0
8269.0,-1.0,-1.0,-1.0,-1.0,-1.0
8353.0,2.0,252.80879787,1555.0,51.57956894006495,13.24162597080484
8544.0,1.0,251.03830975,3452.0,41.526424564511366,25.581353784385186
8546.0,114.0,123.83261141957672,114.0,164.90994980808975,10.613185390488448
8604.0,6.0,208.9774773206956,6.0,469.79627989371124,10.721478930511527
8685.0,-1.0,-1.0,-1.0,-1.0,-1.0
8705.0,243.0,32.56176049748162,243.0,118.2167109536463,9.079416655497194
8710.0,-1.0,-1.0,-1.0,-1.0,-1.0
8723.0,2.0,128.84317154,1555.0,51.57956894006495,13.24162597080484
8968.0,111.0,116.64027970007123,111.0,156.22970180100384,16.177742853534486
9084.0,4.0,99.23219808,954.0,66.68142899320934,8.129031689312018
9224.0,1066.0,11.332934991811142,1066.0,70.50487156775908,3.57453265734898
9244.0,8.0,97.90577476391192,8.0,424.1068792441689,9.421478433736931
9293.0,2.0,164.33919377,1555.0,51.57956894006495,13.24162597080484
9378.0,108.0,63.56791005540178,108.0,166.9323885444346,5.79349391779793
9973.0,0.0,42.59474815,413.0,65.35281960436966,7.365345448804473
10159.0,5.0,175.17698486243438,5.0,491.21641570711546,10.266882742448566
10201.0,4.0,84.98503523,94.0,29.229406554472988,7.2963595443387135
10280.0,1.0,259.05386133,6278.0,33.303808680248004,5.412810466837925
10454.0,2.0,272.03508567,2585.0,47.54945379391792,5.369251864555777
10459.0,121.0,41.02152749507508,121.0,159.0493061706525,8.672669864130327
10473.0,5.0,155.01182433,96.0,162.57750221434898,10.523940204688603
10640.0,161.0,85.52100146559262,161.0,142.53026276941245,10.569613472329412
10691.0,-1.0,-1.0,-1.0,-1.0,-1.0
10928.0,10.0,36.235736315624436,10.0,391.91024505462065,21.52470264417007
11010.0,7.0,56.07506507,1343.0,60.54030115146147,7.39052078365525
11061.0,-1.0,-1.0,-1.0,-1.0,-1.0
11272.0,45.0,186.77923208760268,45.0,238.6625332152347,8.310366213094039
11441.0,3.0,115.48576477,1581.0,54.989666371420135,9.294989930780243
11777.0,4.0,358.45420259,954.0,66.68142899320934,8.129031689312018
11869.0,4.0,156.00570275017338,4.0,481.78328904635373,12.295552182929715
12140.0,0.0,125.28347620000001,1492.0,52.52435783879539,12.743886302449761
12208.0,59.0,116.28449985018234,59.0,195.89607322113963,18.197427773005142
12631.0,-1.0,-1.0,-1.0,-1.0,-1.0
12654.0,0.0,145.90475881,3526.0,41.51166223796871,7.985283219752942
12682.0,2.0,116.38420903,2405.0,48.139946855624444,8.74387355830429
12738.0,2.0,139.46009343,35974.0,16.710953646294655,4.160884759164869
13249.0,17.0,117.01714993,3018.0,44.68556244464128,6.228105628152416
