level,ncontour,cx,cy,a,b,theta,flag,sim,FOV,pixel,proj
144810.482305137,3,3.9079051769226028,1.6537003472639515,6.971737984841447,5.652666307055967,1.826280131349372,none,object_702,19,950,projection_xy
2295091.4760242226,7,3.2305183882523494,1.4717380373326658,2.9302776595290143,1.782136948437679,0.573624415538573,none,object_702,19,950,projection_xy
9136923.736814521,1,1.2139335340015274,-0.21473886309594317,0.29634433141923794,0.2674751260318056,0.33182354936270153,none,object_702,19,950,projection_xy
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_702,19,950,projection_xy
144810.482305137,1,-1.762109699096137,-1.701100760294789,8.06234202886034,3.1390342107377043,0.5102404477212197,none,object_702,19,950,projection_yz
2295091.4760242226,4,-1.4429625959357477,-1.6703713870197827,3.965711715773894,1.4014089212936274,0.5915944947265593,none,object_702,19,950,projection_yz
9136923.736814521,5,19.999999999994984,19.99999999999941,31.289374698733482,8.378187630634452,0.7547027570125252,center,object_702,19,950,projection_yz
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_702,19,950,projection_yz
144810.482305137,1,1.7048314187146283,-3.8501701065625693,6.442474221156556,4.375811887013085,1.9201065163859075,none,object_702,19,950,projection_zx
2295091.4760242226,2,1.6716468193256468,-3.266327550248166,3.318109751933841,1.783752233599808,2.2374344588637496,none,object_702,19,950,projection_zx
9136923.736814521,3,1.3033132514493388,-2.562900514755201,0.36534918711387065,0.30141785514651115,2.0101187463479953,none,object_702,19,950,projection_zx
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_702,19,950,projection_zx
144810.482305137,1,0.1658937090335409,0.12087142611762296,5.356489308854397,3.547249116335129,0.11326519223600995,none,object_811,17,850,projection_xy
2295091.4760242226,4,-0.6453353205994617,-0.3017394741962856,2.666516253033857,1.5178086058579285,3.1099400919550826,none,object_811,17,850,projection_xy
9136923.736814521,5,0.501711458912423,-0.7136058186291403,0.8532194725572417,0.5186489898749759,2.501847512032291,none,object_811,17,850,projection_xy
22950914.760242227,2,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_811,17,850,projection_xy
144810.482305137,1,-0.012296885915898677,0.6411114090236824,4.612880339424084,3.2455939955253315,2.546321626055389,none,object_811,17,850,projection_yz
2295091.4760242226,1,0.33966690887815804,0.1623399677925456,2.3357767627341564,1.4097712997096534,2.352049680193032,none,object_811,17,850,projection_yz
9136923.736814521,4,0.6927320832306562,-0.37624393168033715,0.955715077661394,0.6197065601912406,1.9676340316653496,none,object_811,17,850,projection_yz
22950914.760242227,2,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_811,17,850,projection_yz
144810.482305137,1,-0.5638971524132993,-0.07128205130016672,5.8230375477542,2.8735799322063262,1.1684715165387694,none,object_811,17,850,projection_zx
2295091.4760242226,2,-0.13369621994922642,0.4644277675984912,2.8991761215835017,1.5453659430954876,1.2878422770349456,none,object_811,17,850,projection_zx
9136923.736814521,3,-19.999999999999996,-19.999999999999996,28.073184911301606,13.136706603709891,0.7627377586168476,center,object_811,17,850,projection_zx
22950914.760242227,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_811,17,850,projection_zx
144810.482305137,1,0.3837599654083927,-0.21225313527410913,9.045344652925051,4.849592045720487,2.4251631797377184,none,object_592,20,1000,projection_xy
2295091.4760242226,5,1.3432951767381454,-0.977246487643295,3.458235888828605,2.2217596600608482,2.641838804730453,none,object_592,20,1000,projection_xy
9136923.736814521,17,1.2792809286916602,-0.6713392508224351,1.704265205109733,1.4143675338962867,0.08329344205005995,none,object_592,20,1000,projection_xy
22950914.760242227,8,1.3933843149794758,-0.6399437872134616,1.421378029447459,1.0564187221756671,2.74689727547068,none,object_592,20,1000,projection_xy
144810.482305137,1,0.345084652998183,-0.4920223021647713,7.387433331876024,6.700524947847844,1.051892083062055,none,object_592,20,1000,projection_yz
2295091.4760242226,13,0.8813951401757536,-0.17381167959142246,2.9279640286971795,2.4539790923932427,1.5267779675062272,none,object_592,20,1000,projection_yz
9136923.736814521,10,0.5682030975868758,-0.39871660009036863,2.2328684663480236,1.3315489018843043,1.3937361849897691,none,object_592,20,1000,projection_yz
22950914.760242227,8,0.2927255251893513,-0.25737725279614126,1.6311316854819677,0.8118598049579857,1.5520415580147238,none,object_592,20,1000,projection_yz
144810.482305137,1,0.4337960398238733,-0.5773193678592567,8.022838651338343,6.184522268599316,2.3177279637287413,none,object_592,20,1000,projection_zx
2295091.4760242226,9,0.19326664236693386,-1.0401458774239147,3.9532602627406486,2.3226162166284245,2.2900544483228775,none,object_592,20,1000,projection_zx
9136923.736814521,7,0.43164496401128205,-1.4061072945694264,2.4463234358053527,1.3003275648374066,2.587037078577712,none,object_592,20,1000,projection_zx
22950914.760242227,10,0.37093777369968,-1.1308994815366822,1.8465353882039182,0.8155388174222801,2.410582369238342,none,object_592,20,1000,projection_zx
144810.482305137,1,-0.09362020676098787,-0.3218243152213451,1.4065370710224618,1.3847365065292183,1.1485151815717163,none,object_1420,9,450,projection_xy
2295091.4760242226,1,-0.07674850557405523,-0.2624450950128297,0.47643563478967627,0.3317461916334723,0.6551095785239234,none,object_1420,9,450,projection_xy
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1420,9,450,projection_xy
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1420,9,450,projection_xy
144810.482305137,1,0.2705718357032687,-0.3621086405638654,1.5074594158310684,1.2240973537500532,1.9647696465633757,none,object_1420,9,450,projection_yz
2295091.4760242226,1,0.27715066391739257,-0.37253159434818467,0.4580719089246668,0.2822080861891091,1.1017550909664227,none,object_1420,9,450,projection_yz
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1420,9,450,projection_yz
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1420,9,450,projection_yz
144810.482305137,1,0.4253138724641383,0.06892779955667909,1.5447223255392752,1.278904762182961,0.14426580988905197,none,object_1420,9,450,projection_zx
2295091.4760242226,1,0.36531485767669264,0.07388368907250466,0.46177381050993593,0.37983801628063857,0.3350390069993443,none,object_1420,9,450,projection_zx
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1420,9,450,projection_zx
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1420,9,450,projection_zx
144810.482305137,1,-0.24203042479999828,-0.11440049999361906,2.215736775503927,1.2139015071491945,2.2532497862996927,none,object_1266,8,400,projection_xy
2295091.4760242226,1,-0.03113126199637176,-0.14500516191393276,0.4208591732056562,0.4023963578140337,1.8236056605289934,none,object_1266,8,400,projection_xy
9136923.736814521,1,-0.03215007059516942,-0.1434005441325882,0.3092981495764972,0.29503969719645257,1.7023356562400194,none,object_1266,8,400,projection_xy
22950914.760242227,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_1266,8,400,projection_xy
144810.482305137,1,0.10946578526690265,-0.020482851266144554,2.0179086177777594,1.4100915188173924,0.4557681283874877,none,object_1266,8,400,projection_yz
2295091.4760242226,1,0.14648736484098576,-0.09430865564593285,0.4311459436008882,0.3964800019258418,0.21757003694944776,none,object_1266,8,400,projection_yz
9136923.736814521,2,0.14772665759850814,-0.09804010373042621,0.3140190008382392,0.2957663974385925,0.1409614170028073,none,object_1266,8,400,projection_yz
22950914.760242227,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_1266,8,400,projection_yz
144810.482305137,1,-0.005796283648128358,0.27041407547101043,1.782817734425747,1.5294731794845413,0.9890687569142067,none,object_1266,8,400,projection_zx
2295091.4760242226,1,0.09115912146431386,0.025557189420191,0.4138451821653321,0.3987246233126637,1.2789788439403766,none,object_1266,8,400,projection_zx
9136923.736814521,1,0.0958264394101699,0.027273839868310428,0.30499589039346037,0.298175617628991,0.7619200803255044,none,object_1266,8,400,projection_zx
22950914.760242227,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_1266,8,400,projection_zx
144810.482305137,1,0.11211850169420277,0.363750973415118,1.877975158851608,1.2433584292610125,2.579689374516339,none,object_1467,11,550,projection_xy
2295091.4760242226,1,0.1557844562344132,0.2940583534277742,0.32155323178169803,0.2576448605252291,2.3485942358062433,none,object_1467,11,550,projection_xy
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1467,11,550,projection_xy
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1467,11,550,projection_xy
144810.482305137,1,-0.30673897711197695,0.09293733220061891,1.8682565601148684,1.5376979422823536,2.025610511101645,none,object_1467,11,550,projection_yz
2295091.4760242226,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_1467,11,550,projection_yz
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1467,11,550,projection_yz
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1467,11,550,projection_yz
144810.482305137,1,-0.2117105073036422,0.2530844236797131,1.911222428698333,1.6354233248261207,1.3294926991160918,none,object_1467,11,550,projection_zx
2295091.4760242226,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_1467,11,550,projection_zx
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1467,11,550,projection_zx
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1467,11,550,projection_zx
144810.482305137,1,0.5454674922319847,-0.05822478435909668,26.17946452464429,15.453035701108806,3.0614432833044862,none,object_47,30,1500,projection_xy
2295091.4760242226,54,-0.25683657684241035,-0.6058261205217903,10.438149220754743,5.403862456763293,0.3649702541293136,none,object_47,30,1500,projection_xy
9136923.736814521,37,-0.09462226331370827,-1.270615881308473,4.626915833530443,1.7629920323027142,0.20586977962867792,none,object_47,30,1500,projection_xy
22950914.760242227,24,-19.999999999999996,-19.999999999999996,29.712683721729654,4.939271511470462,0.712073710287755,center,object_47,30,1500,projection_xy
144810.482305137,1,0.4259900944889228,-0.779341906316266,23.171698121600624,15.918231997656653,1.4838083956458625,none,object_47,30,1500,projection_yz
2295091.4760242226,38,0.07077143815557739,0.6875967391175195,10.907887633508631,5.501960246061716,1.4664780447782597,none,object_47,30,1500,projection_yz
9136923.736814521,47,0.7371911648608196,-1.7670435510577782,2.7887091014990695,1.6384075862785439,1.5968004863564462,none,object_47,30,1500,projection_yz
22950914.760242227,16,-19.999999999999996,19.999999999999996,34.374012839888564,16.03150200990956,2.020672990445293,center,object_47,30,1500,projection_yz
144810.482305137,5,0.7721814952618693,-1.6324347777330794,25.460683373734643,20.79044456121148,1.290402688459429,none,object_47,30,1500,projection_zx
2295091.4760242226,158,0.2644131713957479,-0.06832251905007573,10.228288115923164,9.970849096198023,1.3256486269882894,none,object_47,30,1500,projection_zx
9136923.736814521,284,-0.3294476008700607,0.2712237517014935,5.092979633691194,4.939941222276778,2.7356169429581354,none,object_47,30,1500,projection_zx
22950914.760242227,212,1.332293921521891,0.40944617633651087,1.9906026968786612,1.2297932650659995,2.0827521204254973,none,object_47,30,1500,projection_zx
144810.482305137,1,0.3498583253143812,0.24706224111467412,1.8428568986900888,1.4057008892782927,2.3280056122042967,none,object_1006,7,350,projection_xy
2295091.4760242226,1,0.3068784490497081,0.3566597370800644,0.7462534165829942,0.4244654402473225,0.1546753392631233,none,object_1006,7,350,projection_xy
9136923.736814521,1,0.3311826563576919,0.3764480563039148,0.5417483013103848,0.31314872234782476,0.10012664778127833,none,object_1006,7,350,projection_xy
22950914.760242227,1,19.999999999999996,19.999999999999996,27.924300485901558,3.3757811540243767,0.7761216868799274,center,object_1006,7,350,projection_xy
144810.482305137,1,-0.2755713708807786,0.13832338281859344,1.7838102020078443,1.4362868396928816,2.366289069188829,none,object_1006,7,350,projection_yz
2295091.4760242226,1,-0.3687612972165034,0.0834877250002692,0.5676306842812955,0.47694168620321575,1.4598938410257958,none,object_1006,7,350,projection_yz
9136923.736814521,1,-0.3750743481476705,0.021442619060233325,0.4252245943906709,0.32898557591588945,1.524181285385436,none,object_1006,7,350,projection_yz
22950914.760242227,1,-0.37732916029514113,0.0006150821153624112,0.3343072580603582,0.25500546278895314,1.5517260901810441,none,object_1006,7,350,projection_yz
144810.482305137,1,-0.09723169710785527,-0.3893157883702716,1.7437678957209264,1.5775292830931644,2.029884416228896,none,object_1006,7,350,projection_zx
2295091.4760242226,1,-0.06461497143505499,-0.3315295287336839,0.7020113094507356,0.4636772301093548,1.188300694009329,none,object_1006,7,350,projection_zx
9136923.736814521,1,-0.025323596464354736,-0.33774501325290535,0.5664774866293731,0.3173754190151493,1.0930478299767428,none,object_1006,7,350,projection_zx
22950914.760242227,1,0.0037674469745455894,-0.30307647170863444,0.4769818763950592,0.22672763253230913,1.0834736367819533,none,object_1006,7,350,projection_zx
144810.482305137,1,0.6451882159332103,1.0695369145046212,4.3418826404151165,3.141214322068639,1.6172061765285146,none,object_916,16,800,projection_xy
2295091.4760242226,1,0.5369625403244018,0.08354083821675401,1.7039085471239808,0.719535352629665,1.6561053725370662,none,object_916,16,800,projection_xy
9136923.736814521,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_916,16,800,projection_xy
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_916,16,800,projection_xy
144810.482305137,2,-1.1419972030219048,0.920594489223791,5.134851349387729,2.827884872369396,2.3900609257534207,none,object_916,16,800,projection_yz
2295091.4760242226,3,-0.000595395994579209,0.2551340482131615,0.9889347010908762,0.7010476374511964,2.4014753668010154,none,object_916,16,800,projection_yz
9136923.736814521,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_916,16,800,projection_yz
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_916,16,800,projection_yz
144810.482305137,1,-1.082010353441548,-0.729111768549969,4.60325827761694,2.8040392153375877,0.4935431474656274,none,object_916,16,800,projection_zx
2295091.4760242226,1,-0.465237607833406,-0.4579376933967833,1.658410228074887,0.9533526336227529,2.933906274842646,none,object_916,16,800,projection_zx
9136923.736814521,1,19.999999999999996,19.99999999999997,28.975161500648316,5.37188089747898,0.7796302777989229,center,object_916,16,800,projection_zx
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_916,16,800,projection_zx
144810.482305137,1,0.03780401659353654,0.19921328719409945,1.4708846283718664,1.1301863616224195,1.746451651496312,none,object_1806,11,550,projection_xy
2295091.4760242226,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1806,11,550,projection_xy
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1806,11,550,projection_xy
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1806,11,550,projection_xy
144810.482305137,1,-0.09550186076245297,-0.06286026981351381,1.4370184958893357,1.2187630409921844,2.9745630494985127,none,object_1806,11,550,projection_yz
2295091.4760242226,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1806,11,550,projection_yz
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1806,11,550,projection_yz
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1806,11,550,projection_yz
144810.482305137,1,0.06412306169636528,0.0021589628397786923,1.4870377016566332,1.1440845394720782,0.8272122039037947,none,object_1806,11,550,projection_zx
2295091.4760242226,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1806,11,550,projection_zx
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1806,11,550,projection_zx
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1806,11,550,projection_zx
144810.482305137,1,-0.5430430766748515,-1.8817858129618945,7.69727265848788,5.356612868068884,1.8682810897488844,none,object_541,22,1100,projection_xy
2295091.4760242226,2,0.05206892653546876,-1.8772306370465572,3.9462411534744652,2.600935747826521,2.062272116005987,none,object_541,22,1100,projection_xy
9136923.736814521,7,-0.4061180106783184,-1.0571275823992532,1.999259688471868,1.5207545758480994,2.9257023175724504,none,object_541,22,1100,projection_xy
22950914.760242227,5,-19.999999999999996,-1.155009280946912,19.77646466263519,2.314138084924097,0.03373596610125329,center,object_541,22,1100,projection_xy
144810.482305137,1,1.9640940602151467,1.4805807682356806,9.17012421186158,5.680388635825961,0.9319962204580838,none,object_541,22,1100,projection_yz
2295091.4760242226,6,1.347478615254026,1.0512970451780692,4.028761102521241,2.724134524194473,1.0963635355091759,none,object_541,22,1100,projection_yz
9136923.736814521,11,1.1784223525288928,1.6625727763493416,1.878145407108046,1.5307242549619902,0.8335195282006775,none,object_541,22,1100,projection_yz
22950914.760242227,5,19.999999999999996,19.999999999999982,27.110345558655425,8.17164498259964,0.7704509116570017,center,object_541,22,1100,projection_yz
144810.482305137,1,-1.7956325963842832,0.5840702874240278,8.362433624245991,5.3245955463117705,2.888728815391516,none,object_541,22,1100,projection_zx
2295091.4760242226,4,-0.8855676872880411,0.08129771505221005,4.4460722117005345,2.2489498302628252,2.657982350926307,none,object_541,22,1100,projection_zx
9136923.736814521,3,-1.4270802238976172,0.32519785917815813,2.6247979158136543,1.3833215971747286,2.530031785865938,none,object_541,22,1100,projection_zx
22950914.760242227,6,-1.3190215776439673,0.6411588889495139,1.538286872343286,0.8394769733125451,2.325655542902669,none,object_541,22,1100,projection_zx
144810.482305137,3,0.1992466269808182,0.06418207242121837,9.71216424502488,8.071551084368057,0.39776689544592353,none,object_104,14,700,projection_xy
