galaxyID,Mstar_r80star,sfr
0,305767656754.63513,30.047107506543398
1,374378940598.22705,48.2309541888535
2,522752478213.5465,28.837597137317058
3,495567649401.139,33.61901005730033
4,213834369342.29852,16.53647256270051
5,156120157523.44406,6.671607842668892
6,187578361950.89648,20.517270114272836
7,183028242270.9327,18.658040318638086
8,178070470728.6079,16.943754313513633
9,204259088314.23065,7.5208935495465985
10,183816798627.7065,5.387938177213073
11,91385332766.59418,0.0
12,127463713052.80125,7.662938812747598
13,99530602327.0535,2.467621475458145
14,49087119286.10857,27.246801320463423
15,105472809826.59247,7.1950808595865965
16,131306419573.86896,4.984732681885363
17,135865897013.18346,0.14542661979794502
18,198001798285.1015,0.0
19,68742847787.26888,14.169209038838744
20,105541059127.87088,5.661168146878481
21,51850523239.6384,11.697378795593975
22,55270339569.12793,1.1835575085133314
23,85988573327.22064,6.4190860372036695
24,58738934687.273964,2.950635068118572
25,90065989173.67209,7.542424250394106
26,144442919088.4098,1.68220030143857
27,66625154583.84633,1.883870393037796
28,41599894585.91583,1.5954519547522068
29,65001747689.4025,1.3091859184205532
30,61204558401.731766,1.6619265228509903
31,122855459738.2677,28.1498272176832
32,47848378987.45178,0.9786774888634682
33,51677797766.19203,3.383839715272188
34,45737260174.94172,6.558947488665581
35,34979040042.80493,3.342683460563421
36,37971387752.37939,2.426571231335401
37,45994999985.26737,4.5948446840047845
38,30437352757.791424,4.693896979093552
39,47506054580.907265,13.965033229440449
40,34576349875.889565,3.5923480708152056
41,48412671014.28986,7.000757718458773
42,49696676007.40016,2.252651914954185
43,49881456412.62493,2.3766557648777957
44,46782633964.38508,3.3858183976262812
45,37438148082.08097,1.576804969459772
46,47351174178.650406,1.6283590365201237
47,38596143508.55443,2.2285451982170343
48,36976308569.82543,3.3119945544749503
49,40519233208.347534,5.097720723599196
50,30813112517.49825,0.7913847528398037
51,34575821119.3203,0.8913769498467445
52,11942190452.071363,4.996521754190327
53,34630504173.73417,2.1299212984740734
54,17878256209.640167,1.9265283718705175
55,34091066990.54965,5.731748541817068
56,28910800190.353127,5.56283905915916
57,13335359365.482864,1.5006827823817732
58,20449406994.9283,1.7015740070492031
59,32796237097.468044,12.604076674208045
60,25543050261.306103,1.553646020591259
61,36071774329.44759,2.9933437369763847
62,24365116476.857258,8.300758736208081
63,11388712427.107813,1.8421547263860705
64,22757202604.53801,2.22951721586287
65,69050006082.74303,1.5135013833642006
66,26819678461.101837,2.8065130580216646
67,9801383979.492704,0.1986977718770504
68,18290919854.09896,1.920490177348256
69,21464784430.623928,3.2611564956605434
70,15375137731.425682,20.25630253553391
71,5547223233.215111,1.4885233230888844
72,18188571710.3203,0.8925047200173141
73,20175894988.984344,1.6673803590238094
74,10870155675.40151,3.937880149111152
75,27131261177.07629,5.9854385796934375
76,8703399017.072863,1.1768190041184423
77,13333666125.355684,1.238688342273235
78,16760607554.704798,1.8575381990522144
79,30130613413.442307,1.9054508171975613
80,19117950591.013405,3.254794729873538
81,43982121869.93972,6.6307762041687965
82,27571784539.43381,3.5762356407940388
83,25207321132.72534,0.9619751665741204
84,21947141402.6416,2.4651881456375118
85,16271031225.990091,1.6290308386087418
86,21817526035.161167,2.3772595245391135
87,13685185841.799265,0.17780278623104095
88,21341796048.58112,0.0
89,25022294465.99733,3.041492449119687
90,6405042606.48265,0.7654416207224131
91,18740303859.560574,1.7547349520027635
92,37874779365.12694,12.170985976234078
93,25064436796.440872,6.304840920493008
94,36878288260.01222,11.347019117325544
95,14570944533.01861,1.2954232096672058
96,24496015664.01928,2.6071384437382217
97,13570569014.12625,2.0270577166229486
98,41005784217.86221,6.54588383436203
99,14659573832.59494,1.6508768443018198
100,15587599413.46764,1.3742540292441845
101,17042674910.41446,1.917149227112532
102,16394462489.327663,0.4078113175928593
103,12688229971.767756,5.855992682278156
104,10008116999.353477,2.896075135096908
105,15683650650.780859,1.9321166258305311
