2024-11-11 11:03:59,262:INFO: Failed to extract font properties from /usr/share/fonts/google-noto-emoji/NotoColorEmoji.ttf: In FT2Font: Could not set the fontsize (invalid pixel size; error code 0x17)
2024-11-11 11:03:59,399:INFO: generated new fontManager
2024-11-11 12:09:50,978:INFO: Chi^2/DoF: 11867819496767.662, L: 1e-09
2024-11-11 12:09:55,667:INFO: Chi^2/DoF: 11801439773405.688, L: 1e-09
2024-11-11 12:10:00,415:INFO: Chi^2/DoF: 11737227341610.504, L: 1e-09
2024-11-11 12:10:05,226:INFO: Chi^2/DoF: 11674548018323.254, L: 1e-09
2024-11-11 12:10:09,970:INFO: Chi^2/DoF: 11611165063588.621, L: 1e-09
2024-11-11 12:10:14,574:INFO: Chi^2/DoF: 11545434455111.39, L: 1e-09
2024-11-11 12:10:19,780:INFO: Chi^2/DoF: 11480198211747.37, L: 1e-09
2024-11-11 12:10:25,318:INFO: Chi^2/DoF: 11422225930557.828, L: 1e-09
2024-11-11 12:10:30,480:INFO: Chi^2/DoF: 11377270254707.094, L: 1e-09
2024-11-11 12:10:35,452:INFO: Chi^2/DoF: 11346694703655.797, L: 1e-09
2024-11-11 12:10:40,248:INFO: Chi^2/DoF: 11328130905017.236, L: 1e-09
2024-11-11 12:10:45,063:INFO: Chi^2/DoF: 11317859969849.633, L: 1e-09
2024-11-11 12:10:49,696:INFO: Chi^2/DoF: 11312578323149.605, L: 1e-09
2024-11-11 12:10:54,414:INFO: Chi^2/DoF: 11310010228429.63, L: 1e-09
2024-11-11 12:10:59,052:INFO: Chi^2/DoF: 11308812586603.422, L: 1e-09
2024-11-11 12:11:03,704:INFO: Chi^2/DoF: 11308270348646.633, L: 1e-09
2024-11-11 12:11:08,331:INFO: Chi^2/DoF: 11308029515635.875, L: 1e-09
2024-11-11 12:11:12,911:INFO: Chi^2/DoF: 11307923706056.725, L: 1e-09
2024-11-11 12:11:17,505:INFO: Chi^2/DoF: 11307877436041.291, L: 1e-09
2024-11-11 12:11:22,134:INFO: Final Chi^2/DoF: 11307857221072.125, L: 1e-09. Converged: success
2024-11-11 12:24:01,151:INFO: Chi^2/DoF: 42096799.316413045, L: 1.0
2024-11-11 12:24:04,815:INFO: Chi^2/DoF: 35081788.29438064, L: 0.1111111111111111
2024-11-11 12:24:09,040:INFO: Chi^2/DoF: 33460831.34622697, L: 0.13580246913580246
2024-11-11 12:24:13,840:INFO: Chi^2/DoF: 32539330.1786292, L: 0.0016765736930345982
2024-11-11 12:24:17,948:INFO: Chi^2/DoF: 32242046.605763394, L: 0.0020491456248200642
2024-11-11 12:24:22,241:INFO: Chi^2/DoF: 32227844.031733513, L: 0.00022768284720222937
2024-11-11 12:24:26,504:INFO: Chi^2/DoF: 30891979.5195246, L: 2.529809413358104e-05
2024-11-11 12:24:32,401:INFO: Chi^2/DoF: 30489986.41096426, L: 3.8558290098431705e-09
2024-11-11 12:24:36,135:INFO: Chi^2/DoF: 30262424.498882033, L: 1e-09
2024-11-11 12:24:39,989:INFO: Chi^2/DoF: 30056556.512971748, L: 1e-09
2024-11-11 12:24:43,861:INFO: Chi^2/DoF: 29858974.06323211, L: 1e-09
2024-11-11 12:24:47,644:INFO: Chi^2/DoF: 29668379.046335053, L: 1e-09
2024-11-11 12:24:51,464:INFO: Chi^2/DoF: 29482887.52295527, L: 1e-09
2024-11-11 12:24:55,566:INFO: Chi^2/DoF: 29301528.832731284, L: 1e-09
2024-11-11 12:25:00,196:INFO: Chi^2/DoF: 29135746.985641256, L: 1e-09
2024-11-11 12:25:04,621:INFO: Chi^2/DoF: 29002273.3047815, L: 1e-09
2024-11-11 12:25:08,659:INFO: Chi^2/DoF: 28908636.799291298, L: 1e-09
2024-11-11 12:25:12,603:INFO: Chi^2/DoF: 28850523.204397004, L: 1e-09
2024-11-11 12:25:16,433:INFO: Chi^2/DoF: 28817917.071710877, L: 1e-09
2024-11-11 12:25:20,250:INFO: Chi^2/DoF: 28801027.34023079, L: 1e-09
2024-11-11 12:25:23,991:INFO: Chi^2/DoF: 28792798.566109706, L: 1e-09
2024-11-11 12:25:27,834:INFO: Chi^2/DoF: 28788969.15746813, L: 1e-09
2024-11-11 12:25:31,573:INFO: Chi^2/DoF: 28787244.639412746, L: 1e-09
2024-11-11 12:25:35,290:INFO: Chi^2/DoF: 28786484.558628377, L: 1e-09
2024-11-11 12:25:39,009:INFO: Chi^2/DoF: 28786153.582941584, L: 1e-09
2024-11-11 12:25:42,828:INFO: Chi^2/DoF: 28786010.165717695, L: 1e-09
2024-11-11 12:25:46,572:INFO: Final Chi^2/DoF: 28785948.080290526, L: 1e-09. Converged: success
2024-11-11 12:28:35,198:INFO: Chi^2/DoF: 16418126369268.797, L: 1.0
2024-11-11 12:28:39,483:INFO: Chi^2/DoF: 13707449023829.232, L: 0.1111111111111111
2024-11-11 12:28:44,346:INFO: Chi^2/DoF: 13066301132711.889, L: 0.13580246913580246
2024-11-11 12:28:49,895:INFO: Chi^2/DoF: 12709445681286.611, L: 0.0016765736930345982
2024-11-11 12:28:54,885:INFO: Chi^2/DoF: 12671911976916.447, L: 0.00018628596589273313
2024-11-11 12:28:59,670:INFO: Chi^2/DoF: 12188963246032.129, L: 2.0698440654748124e-05
2024-11-11 12:29:06,384:INFO: Chi^2/DoF: 11946232101640.256, L: 3.1547691898716846e-09
2024-11-11 12:29:10,717:INFO: Chi^2/DoF: 11860941646255.906, L: 1e-09
2024-11-11 12:29:15,384:INFO: Chi^2/DoF: 11785242658827.773, L: 1e-09
2024-11-11 12:29:19,967:INFO: Chi^2/DoF: 11712651722609.666, L: 1e-09
2024-11-11 12:29:24,731:INFO: Chi^2/DoF: 11642761907183.041, L: 1e-09
2024-11-11 12:29:29,311:INFO: Chi^2/DoF: 11574515943462.852, L: 1e-09
2024-11-11 12:29:34,151:INFO: Chi^2/DoF: 11505823108429.47, L: 1e-09
2024-11-11 12:29:39,282:INFO: Chi^2/DoF: 11437477454840.969, L: 1e-09
2024-11-11 12:29:44,827:INFO: Chi^2/DoF: 11375131374293.826, L: 1e-09
2024-11-11 12:29:50,058:INFO: Chi^2/DoF: 11325201143841.105, L: 1e-09
2024-11-11 12:29:54,923:INFO: Chi^2/DoF: 11290244362135.559, L: 1e-09
2024-11-11 12:29:59,049:INFO: Chi^2/DoF: 11268521209831.854, L: 1e-09
2024-11-11 12:30:03,228:INFO: Chi^2/DoF: 11256291221544.707, L: 1e-09
2024-11-11 12:30:07,839:INFO: Chi^2/DoF: 11249924508075.252, L: 1e-09
2024-11-11 12:30:12,480:INFO: Chi^2/DoF: 11246804080468.139, L: 1e-09
2024-11-11 12:30:17,194:INFO: Chi^2/DoF: 11245342402134.9, L: 1e-09
2024-11-11 12:30:21,792:INFO: Chi^2/DoF: 11244679764483.455, L: 1e-09
2024-11-11 12:30:26,369:INFO: Chi^2/DoF: 11244385848219.69, L: 1e-09
2024-11-11 12:30:30,913:INFO: Chi^2/DoF: 11244257132763.035, L: 1e-09
2024-11-11 12:30:35,502:INFO: Chi^2/DoF: 11244201090418.92, L: 1e-09
2024-11-11 12:30:40,067:INFO: Final Chi^2/DoF: 11244176736715.031, L: 1e-09. Converged: success
2024-11-11 12:33:13,224:INFO: Chi^2/DoF: 16418126369268.797, L: 1.0
2024-11-11 12:33:17,503:INFO: Chi^2/DoF: 13707449023829.232, L: 0.1111111111111111
2024-11-11 12:33:22,451:INFO: Chi^2/DoF: 13066301132711.889, L: 0.13580246913580246
2024-11-11 12:33:27,925:INFO: Chi^2/DoF: 12709445681286.611, L: 0.0016765736930345982
2024-11-11 12:33:32,898:INFO: Chi^2/DoF: 12671911976916.447, L: 0.00018628596589273313
2024-11-11 12:33:37,952:INFO: Chi^2/DoF: 12188963246032.129, L: 2.0698440654748124e-05
2024-11-11 12:33:44,715:INFO: Chi^2/DoF: 11946232101640.256, L: 3.1547691898716846e-09
2024-11-11 12:33:49,147:INFO: Chi^2/DoF: 11860941646255.906, L: 1e-09
2024-11-11 12:33:53,717:INFO: Chi^2/DoF: 11785242658827.773, L: 1e-09
2024-11-11 12:33:58,234:INFO: Chi^2/DoF: 11712651722609.666, L: 1e-09
2024-11-11 12:34:03,056:INFO: Chi^2/DoF: 11642761907183.041, L: 1e-09
2024-11-11 12:34:07,733:INFO: Chi^2/DoF: 11574515943462.852, L: 1e-09
2024-11-11 12:34:12,457:INFO: Chi^2/DoF: 11505823108429.47, L: 1e-09
2024-11-11 12:34:17,504:INFO: Chi^2/DoF: 11437477454840.969, L: 1e-09
2024-11-11 12:34:23,026:INFO: Chi^2/DoF: 11375131374293.826, L: 1e-09
2024-11-11 12:34:28,112:INFO: Chi^2/DoF: 11325201143841.105, L: 1e-09
2024-11-11 12:34:32,993:INFO: Chi^2/DoF: 11290244362135.559, L: 1e-09
2024-11-11 12:34:37,841:INFO: Chi^2/DoF: 11268521209831.854, L: 1e-09
2024-11-11 12:34:42,727:INFO: Chi^2/DoF: 11256291221544.707, L: 1e-09
2024-11-11 12:34:47,394:INFO: Chi^2/DoF: 11249924508075.252, L: 1e-09
2024-11-11 12:34:52,427:INFO: Chi^2/DoF: 11246804080468.139, L: 1e-09
2024-11-11 12:34:57,190:INFO: Chi^2/DoF: 11245342402134.9, L: 1e-09
2024-11-11 12:35:01,803:INFO: Chi^2/DoF: 11244679764483.455, L: 1e-09
2024-11-11 12:35:06,546:INFO: Chi^2/DoF: 11244385848219.69, L: 1e-09
