galaxyID,host,ParticleSelection,A,B,C,Rmax,R50,RotationMatrix
222,host,YS,0.6904535786407541,0.5794477205080003,0.1229433693409767,8.807071304498272,2.6635742888614904,"[[-0.35267026, 0.7530326 , 0.5554868 ], [-0.83590187, 0.01329009,-0.54871799], [-0.420585  ,-0.65784898, 0.62477434]]"
224,host,YS,1.109389276425047,0.8396299550345754,0.1910339358202265,6.825976617868723,3.6687450216401327,"[[ 0.93870395, 0.22317265,-0.26273345], [ 0.32628248,-0.32925578, 0.88607583], [-0.11124138, 0.9174882 , 0.38189102]]"
225,host,YS,1.3572915357288575,0.7017991533089911,0.2015103547444702,5.582023201150866,4.0095527144096055,"[[-0.97297151,-0.04789234, 0.22590433], [-0.22265328, 0.4540439 ,-0.86271064], [-0.06125326,-0.88969121,-0.45243517]]"
226,host,YS,1.98686967407708,1.4748468079209922,0.5859621154153494,4.237962022555985,4.892912459834526,"[[ 0.40075327, 0.79182467,-0.46088015], [ 0.22744744, 0.40130985, 0.8872531 ], [ 0.88750463,-0.4603956 ,-0.01927226]]"
228,host,YS,0.4437003016251828,0.348333963426456,0.2332417165056252,4.74720000817156,1.234018998240337,"[[ 0.06857167, 0.46539453, 0.88244312], [-0.32780783, 0.84592321,-0.42066134], [ 0.9422526 , 0.26042631,-0.21056634]]"
229,host,YS,2.0223095136904656,1.0920853711694614,0.4748348018238282,4.591315710477288,5.399886652962618,"[[ 0.04408412,-0.75281372, 0.65675574], [-0.49001488,-0.58917786,-0.64246001], [ 0.87059865,-0.2934978 ,-0.39486331]]"
230,host,YS,1.0720017137071531,0.6824478290007698,0.2242706806664493,6.645497032112301,3.6134806690378807,"[[ 0.25704306,-0.32102687,-0.91152104], [ 0.58402922,-0.69988432, 0.41118342], [ 0.76996021, 0.63804677,-0.00758866]]"
232,host,YS,1.1076680954539244,0.8980538804525613,0.251633406738489,6.055614378038191,3.283760375148296,"[[ 0.28561293,-0.129895  ,-0.94950121], [-0.61623003,-0.78367883,-0.07815398], [-0.73395219, 0.60743294,-0.303874  ]]"
233,host,YS,1.1996099011993149,1.0335188073932708,0.1779511784943519,4.997457992565435,3.2672003298007635,"[[ 0.89376401,-0.20762014,-0.39759247], [ 0.00285766, 0.88903745,-0.45782557], [-0.4485284 ,-0.40805183,-0.79518298]]"
234,host,YS,1.2316185448516248,0.9195494845127428,0.213354093254586,6.413552993707831,3.7243789490873582,"[[-0.58702754, 0.75509159,-0.29195095], [-0.597728  ,-0.16103541, 0.78535905], [-0.54600357,-0.63553465,-0.5458716 ]]"
235,host,YS,1.2929625575703367,1.1165220180302378,0.2176660276487901,5.820727027724729,4.060196732378303,"[[-0.45956662,-0.48757865,-0.74233791], [-0.27795689,-0.71488372, 0.64162391], [-0.84352741, 0.50120687, 0.19301085]]"
236,host,YS,1.4700334603787777,1.1744868038574707,0.2525828496406546,3.859293651852956,2.9871499233913377,"[[ 0.43929956, 0.70292971,-0.55937976], [-0.69592707,-0.12746444,-0.70670951], [ 0.56806814,-0.69974469,-0.43319275]]"
238,host,YS,1.8738605627675256,1.2914377628281817,0.3898829889839621,4.584230208718727,5.171878322619065,"[[-0.32493737,-0.87328306,-0.36303223], [ 0.82798551,-0.07719305,-0.55541087], [ 0.45700734,-0.48105917, 0.74814863]]"
239,host,YS,1.4340815719192983,1.2332687094474528,0.2508474521910532,4.761972427847951,3.4120960105872022,"[[ 8.05305494e-01, 1.60777815e-01, 5.70643107e-01], [-1.96429659e-01, 9.80517461e-01, 9.47051537e-04], [ 5.59373265e-01, 1.12853897e-01,-8.21197630e-01]]"
240,host,YS,1.619767374025293,1.532242655652025,0.3540749694931482,4.785692954315472,4.129188950313799,"[[ 0.77216022, 0.04543917, 0.63380114], [-0.49878175,-0.57462506, 0.6488627 ], [ 0.3936818 ,-0.8171544 ,-0.42103839]]"
