galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat
18,35,1750,projection_xy,mockmass,0.841213117471094,0.2132066651837107,1.1309459325126914,3.2061828560288053,6.45789525179709,173493000000.0
18,35,1750,projection_yz,mockmass,0.69067287079977,1.7429978901801282,1.0734521418289256,3.087126030659372,6.567242052457872,173493000000.0
18,35,1750,projection_zx,mockmass,0.4676734557813877,2.543018213016286,1.312367096352276,3.2881164586809155,6.653139676717929,173493000000.0
23,33,1650,projection_xy,mockmass,0.884299999546674,2.71155015670318,1.2928868603835717,1.7996716304716216,6.465778114225468,71723700000.0
23,33,1650,projection_yz,mockmass,0.509836073055603,1.2447886104943944,1.2688132868083797,1.9986656547213983,6.64586168528779,71723700000.0
23,33,1650,projection_zx,mockmass,0.6734732191553466,0.1919562834473668,1.3025663240227754,1.7438434495916926,6.628323755761181,71723700000.0
26,35,1750,projection_xy,mockmass,0.3625285448723752,2.4420519643602265,1.259694146116748,2.584645065520105,6.795187479915824,121371000000.0
26,35,1750,projection_yz,mockmass,0.7336054267859691,2.767167142934374,1.3003810168444674,2.64161933925467,6.473854443745688,121371000000.0
26,35,1750,projection_zx,mockmass,0.6809917454704539,1.2691271188668003,1.2654973195866228,2.596973862784022,6.524661165411433,121371000000.0
31,29,1450,projection_xy,mockmass,0.9000904771927232,2.1311364147219,1.5578593207883586,2.4345322033009205,6.400701372564518,112101000000.0
31,29,1450,projection_yz,mockmass,0.7799420221103354,0.3214387306593291,1.6223011927252875,2.87983035653073,6.313736312994121,112101000000.0
31,29,1450,projection_zx,mockmass,0.394149807864317,0.895438077332458,1.377287204661673,3.275992350350194,6.546297758782223,112101000000.0
65,12,600,projection_xy,mockmass,0.5127885364079843,2.58141137239506,0.98705055074365,1.822950160242296,6.771844653065142,64949500000.0
65,12,600,projection_yz,mockmass,0.8574524521358956,0.961991713235752,0.964076183179562,1.7189140677986257,6.62900409534558,64949500000.0
65,12,600,projection_zx,mockmass,0.825374512311763,1.2709405810040608,0.9250939279142796,1.5196642766918942,6.737912938154187,64949500000.0
81,26,1300,projection_xy,mockmass,0.3326866834222476,2.752164229043548,1.5309174952963884,2.927324340037871,6.2668890941943785,36845800000.0
81,26,1300,projection_yz,mockmass,0.744413342081879,0.462588728220709,1.483163826711562,3.01426326234465,5.86969233629898,36845800000.0
81,26,1300,projection_zx,mockmass,0.4992591279171609,1.5706048178391026,1.3484866405911355,2.800446082369025,6.133326866385928,36845800000.0
86,24,1200,projection_xy,mockmass,0.4885008718894895,0.5517918212829892,1.423654083676325,4.188956038138388,5.533233634763888,17575700000.0
86,24,1200,projection_yz,mockmass,0.6111495545611204,2.12288762605222,1.461433055254484,4.14518057561249,5.437969673812964,17575700000.0
86,24,1200,projection_zx,mockmass,0.8357992176843705,1.0044991119313311,1.482516451363232,3.193551421974165,5.526368893405336,17575700000.0
89,35,1750,projection_xy,mockmass,0.7975657305810024,0.942022108328198,1.6326654750293597,4.3716265156626335,5.304038086872897,20654700000.0
89,35,1750,projection_yz,mockmass,0.5589037764318926,2.313833463987475,1.4974797976508163,4.369900414739834,5.464587320674736,20654700000.0
89,35,1750,projection_zx,mockmass,0.6847527673514994,0.6314765111017365,1.5901236702959491,4.438435316242966,5.358157763162965,20654700000.0
92,21,1050,projection_xy,mockmass,0.4246881924437614,2.3758717594211163,1.5409086620257422,3.0074982298025765,6.113933139138642,32614200000.0
92,21,1050,projection_yz,mockmass,0.7719696570724576,0.3705730565153589,1.8221383494503172,3.048790225174057,5.802661172540923,32614200000.0
92,21,1050,projection_zx,mockmass,0.6257248851208363,2.1379620687358174,1.737098966824571,3.235693922830421,5.8557503054777,32614200000.0
