galaxyID,FOV,pixel,view,band,b_a,b_a_e,PA,PA_e,n,n_e,Re,Re_e,Ie,Ie_e,Mstar_ahf_cat
0,29,1450,projection_xy,band_r,0.8590591381465843,7.268470671142647e-10,2.518014059134849,2.977694689507867e-09,0.3600000000877987,7.919183468326771e-10,19.544937444771666,1.3654266081537936e-08,6.273746004256148,4.336681456900216e-10,601228000000.0
0,29,1450,projection_xy,band_u,0.9101129245191322,2.1016779783078964e-09,2.7307613941466498,1.2302485788255988e-08,0.3600000037104733,2.1657134791674172e-09,21.23936973266149,4.4133066635512366e-08,5.854741206191306,1.2132508433919854e-09,601228000000.0
0,29,1450,projection_yz,band_r,0.9435718314902772,7.962893359615922e-10,0.4518782841431855,7.434325597953324e-09,0.3600000002561749,7.766806602402882e-10,19.048138830580616,1.3032341955520236e-08,6.282421836825968,4.2632391128198315e-10,601228000000.0
0,29,1450,projection_yz,band_u,0.9797421724497892,2.2059772924655636e-09,0.3647497617027357,5.396643326159927e-08,0.3600000024282768,2.0959588363575342e-09,20.605949488580062,4.0006306262287206e-08,5.870059606760804,1.1754256011580355e-09,601228000000.0
0,29,1450,projection_zx,band_r,0.8843455613296625,7.583834366953403e-10,1.1247684225667696,3.532758677885856e-09,0.360000001166988,7.804039877378672e-10,19.505719826226237,1.3790081521465528e-08,6.280079760132181,4.282062575247507e-10,601228000000.0
0,29,1450,projection_zx,band_u,0.9240709635056112,2.1601403981309933e-09,1.2685711830100883,1.3875751838134384e-08,0.3600000020061724,2.1192121020919563e-09,21.096227245766155,4.33190214604543e-08,5.863920206796618,1.1873211505919426e-09,601228000000.0
1,40,2000,projection_xy,band_r,0.9999999218401098,2.3008340823989447e-10,0.1860628319702151,0.0013876353469864,1.4372007197248382,6.741530293277351e-10,69.51202965657525,5.2552187309068885e-08,6.350094010873615,4.057698425872558e-10,547181000000.0
1,40,2000,projection_xy,band_u,0.9999999752427484,1.9249533981053007e-10,2.1944903243506992,0.004223138087092,1.1977238162440238,4.963521780605831e-10,74.79638489936121,4.436516860235408e-08,6.521425491400892,3.146754146562606e-10,547181000000.0
1,40,2000,projection_yz,band_r,0.2811657055711354,2.6461006357492003e-11,0.5510877432792102,2.8334842922514607e-11,0.3600000003411803,7.530991590459979e-11,14.701452809598354,1.0038161489589154e-09,7.570772820592749,4.1112343032574155e-11,547181000000.0
1,40,2000,projection_yz,band_u,0.4808713343838479,2.221314198819044e-11,0.5532876341131486,2.8881117907723845e-11,3.5733219606434994,2.0495728355551767e-10,22.095901755776364,3.251582771108903e-09,7.118221338506743,9.444746316773267e-11,547181000000.0
1,40,2000,projection_zx,band_r,0.9999999901592144,2.3232186260867523e-10,0.7241424434193036,0.0124462339213138,4.790116635825688,3.0812430424841163e-09,1142.356389120803,3.746525356641974e-06,4.610836936662012,1.7741485234465034e-09,547181000000.0
1,40,2000,projection_zx,band_u,0.4339181823544726,3.9164452333188766e-11,2.1779595570228247,4.8431338415391755e-11,7.999999999353093,1.2340162468550344e-09,1518.657011559889,1.4953553562983593e-06,4.418606881642764,5.962706780070812e-10,547181000000.0
2,126,6300,projection_xy,band_r,0.9999999994573286,3.766041536246397e-10,1.9519860006494056,0.3469784196943811,0.6349190694085327,4.0213828158820126e-10,42.93637422981663,1.3434931496081294e-08,6.20434039916485,2.0478552023551026e-10,643670000000.0
2,126,6300,projection_xy,band_u,0.2974765923241456,2.452394257006405e-10,1.632266805606723,2.6627303441202366e-10,7.0897174369036,9.128904184526496e-09,2230.686872438738,1.601578728338382e-05,3.478438753747023,4.369904499636621e-09,643670000000.0
2,126,6300,projection_yz,band_r,0.5811695067164895,2.2981967994230951e-10,0.4040237353471849,3.4612108408030473e-10,0.5957830131931454,4.11868965419803e-10,57.84751475488002,1.8892484867674548e-08,6.177811267521448,2.114980962825293e-10,643670000000.0
2,126,6300,projection_yz,band_u,0.6126494443014702,4.970087198339274e-10,0.3779761409457212,7.88218961893546e-10,0.5604570424762585,8.319122849816176e-10,67.07843321828774,4.57091060377585e-08,5.800525257904248,4.3195218851451274e-10,643670000000.0
2,126,6300,projection_zx,band_r,0.9999999984752131,3.7711590433007407e-10,2.906343637167975,0.1226584613866199,1.0099175082950085,5.899372105617541e-10,57.42513039359868,2.4888908682267932e-08,6.037551242102068,2.9176559679552713e-10,643670000000.0
2,126,6300,projection_zx,band_u,0.3634632826602773,2.3502773068415595e-10,0.1442132959161708,2.6831215704086107e-10,4.717797142715661,4.3042031257261825e-09,400.729853757324,1.3246622411060514e-06,4.618610745751719,2.0459267734245816e-09,643670000000.0
3,83,4150,projection_xy,band_r,0.9999999954400198,6.000628951970832e-10,2.1064261998020832,0.0657970760250243,0.5137513267039019,5.654815466777586e-10,25.1014309221727,1.1546463094243521e-08,6.245632011343402,2.9521913378257673e-10,419125000000.0
3,83,4150,projection_xy,band_u,0.9999999872575854,1.1510666056069348e-09,0.3482286932498795,0.0451544228887612,0.4762497402681369,1.0498749287933834e-09,33.05360012685999,2.857342148154668e-08,5.845881641333575,5.527186559549478e-10,419125000000.0
3,83,4150,projection_yz,band_r,0.9999999731740818,4.2595389445510557e-10,1.9281071947618609,0.0079392225276018,0.3600000065212973,3.3680569551799875e-10,28.023575336743352,8.352512532493261e-09,6.348845781651622,1.8411684365286683e-10,419125000000.0
3,83,4150,projection_yz,band_u,0.9735619384611166,8.782703555345754e-10,0.2569131659664618,1.6821428969895516e-08,0.3993104613389517,7.522268691525955e-10,35.1232954621854,2.2700460097055913e-08,5.932568426155084,4.0484990444096714e-10,419125000000.0
