galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat,flag
18,35,1750,projection_xy,band_g,0.9999999880335732,2.5238384843403274,0.9877970162779928,26.782120268606395,5.819517240725156,173493000000.0,fit
18,35,1750,projection_yz,band_g,0.9488172937980572,2.4672378523185485,0.3600000000285032,18.88366124103851,6.162819136147291,173493000000.0,fit
18,35,1750,projection_zx,band_g,0.8889013679491946,1.6882084251649316,0.3600000008960266,19.24811065932723,6.151412681917597,173493000000.0,fit
18,35,1750,projection_xy,band_r,0.9999999728776466,0.1644770444486596,0.6025664730157704,18.131993342931832,6.225794605679283,173493000000.0,fit
18,35,1750,projection_yz,band_r,0.9462719242606202,2.3600406108241145,0.3644884657389032,17.48899397358783,6.335380578210085,173493000000.0,fit
18,35,1750,projection_zx,band_r,0.8882360679667087,1.7920311850983943,0.3600000024732858,17.805603227510613,6.324819424830519,173493000000.0,fit
18,35,1750,projection_xy,band_u,0.9107424028449344,2.9725590954726244,0.3600000009795173,19.9066324954994,5.980886448292646,173493000000.0,fit
18,35,1750,projection_yz,band_u,0.9468771276864896,2.547487667288828,0.3600000010546711,20.3196069987174,5.971532540443104,173493000000.0,fit
18,35,1750,projection_zx,band_u,0.8882454294845292,1.5776557436340497,0.3600000016648803,20.72947148839319,5.960816467979443,173493000000.0,fit
18,35,1750,projection_xy,mockmass,0.841213117471094,0.2132066651837107,1.1309459325126914,3.2061828560288053,6.45789525179709,173493000000.0,none
18,35,1750,projection_yz,mockmass,0.69067287079977,1.7429978901801282,1.0734521418289256,3.087126030659372,6.567242052457872,173493000000.0,none
18,35,1750,projection_zx,mockmass,0.4676734557813877,2.543018213016286,1.312367096352276,3.2881164586809155,6.653139676717929,173493000000.0,none
23,33,1650,projection_xy,band_g,0.8828455090956112,2.8696790899439395,0.3600000000044878,16.924455149622524,6.622426434858152,71723700000.0,fit
23,33,1650,projection_yz,band_g,0.2325601285169898,1.3209814561049056,0.3601179246602179,19.04021339017114,6.7490853875077095,71723700000.0,fit
23,33,1650,projection_zx,band_g,0.1470431797610953,0.2380483725739383,2.07138424920259,38.430804238027015,6.283209055586472,71723700000.0,none
23,33,1650,projection_xy,band_r,0.8980146731944807,2.772074142801387,0.3600000006642413,15.816772213723883,6.654714664811739,71723700000.0,fit
23,33,1650,projection_yz,band_r,0.3092502729132668,1.3020834725042822,0.3600000017571819,18.13942805271751,6.730123057741274,71723700000.0,fit
23,33,1650,projection_zx,band_r,0.224929013318911,0.2316868787632002,3.4104555178072284,100.38526465405316,5.518152467029187,71723700000.0,fit
23,33,1650,projection_xy,band_u,0.642146601409949,0.8197001939587626,7.998852514918837,148.34333891678932,4.755155974261542,71723700000.0,fit
23,33,1650,projection_yz,band_u,0.5287209458366446,1.7456196844586849,3.5729263445648334,11.3219887222855,6.452238467017455,71723700000.0,none
23,33,1650,projection_zx,band_u,0.9999999957819328,1.564167860898948,2.0185159116530493,13.816410850877924,6.396087974809251,71723700000.0,fit
23,33,1650,projection_xy,mockmass,0.884299999546674,2.71155015670318,1.2928868603835717,1.7996716304716216,6.465778114225468,71723700000.0,none
23,33,1650,projection_yz,mockmass,0.509836073055603,1.2447886104943944,1.2688132868083797,1.9986656547213983,6.64586168528779,71723700000.0,none
23,33,1650,projection_zx,mockmass,0.6734732191553466,0.1919562834473668,1.3025663240227754,1.7438434495916926,6.628323755761181,71723700000.0,none
26,35,1750,projection_xy,band_g,0.900706203191355,1.8229795994189988,0.3600000027388987,18.280309834198924,6.032494881761371,121371000000.0,fit
26,35,1750,projection_yz,band_g,0.9493246754974854,3.026086288589041,0.3600000002164221,17.347044286905803,6.0535616175244975,121371000000.0,fit
26,35,1750,projection_zx,band_g,0.9560238308538944,2.9651558358408985,0.3600000036151121,17.87770127049095,6.048692709829631,121371000000.0,fit
26,35,1750,projection_xy,band_r,0.8866338646808454,1.917891076520449,0.3600000034979834,17.047648677727633,6.221154924391867,121371000000.0,fit
26,35,1750,projection_yz,band_r,0.9999999615647748,1.7581918606705391,0.5167194562094358,15.175172125093903,6.205381962457114,121371000000.0,fit
26,35,1750,projection_zx,band_r,0.9666602280319204,2.7852632250661657,0.3600000016071362,16.50381595063644,6.238256158688749,121371000000.0,fit
26,35,1750,projection_xy,band_u,0.912075046624491,1.7373240227538838,0.3600000037528127,19.410886743367943,5.808684794959058,121371000000.0,fit
26,35,1750,projection_yz,band_u,0.9640686290986756,3.094542070155288,0.3600000058901135,18.363007760214472,5.826286152460909,121371000000.0,fit
26,35,1750,projection_zx,band_u,0.9467821071408226,3.0575343929082246,0.3600000009332409,19.10844904627795,5.825002312274904,121371000000.0,fit
26,35,1750,projection_xy,mockmass,0.3625285448723752,2.4420519643602265,1.259694146116748,2.584645065520105,6.795187479915824,121371000000.0,none
26,35,1750,projection_yz,mockmass,0.7336054267859691,2.767167142934374,1.3003810168444674,2.64161933925467,6.473854443745688,121371000000.0,none
26,35,1750,projection_zx,mockmass,0.6809917454704539,1.2691271188668003,1.2654973195866228,2.596973862784022,6.524661165411433,121371000000.0,none
31,29,1450,projection_xy,band_g,0.7929017173479069,1.0048223030894246,0.360000000616319,18.32964807734684,6.624733606556656,112101000000.0,fit
31,29,1450,projection_yz,band_g,0.2399033346364221,0.917454589005918,4.863638239701634,245.46715952769253,5.006795916278275,112101000000.0,fit
31,29,1450,projection_zx,band_g,0.413718870736146,2.525319976729623,0.3606474607591458,20.576267081852738,6.70119905467405,112101000000.0,fit
