galaxyID,FOV,pixel,view,band,level,ncontour,cx,cy,a,b,theta,flag,lum_sum,b_a,b_a_std,lim,nrange,Mstar_ahf_cat
939,14,700,projection_xy,band_g,2814773.241193809,2,-0.6828479772383916,1.3311574189488389,1.3812471306957987,1.1942585079244965,0.5462554587211161,none,34876136.0,0.8175973481009516,0.060669340861171,0.5,12,40078200.0
939,14,700,projection_xy,band_g,294810.1029287885,1,-0.4689971404708211,0.9791053118324998,3.5107782513771317,3.279579263989528,2.05570234830433,none,66461276.0,0.9338571076707368,0.0009999755380499,0.9,12,40078200.0
939,14,700,projection_yz,band_g,2281524.3500090525,2,1.455014845711615,-2.517779332800228,1.7241830834727785,1.0865572415273212,1.756949543498115,none,32418676.0,0.5184965283357056,0.0964344621435143,0.5,12,40078200.0
939,14,700,projection_yz,band_g,238959.36575531532,1,1.0134164479857255,-1.342741071980568,5.1849419689356,3.244227576512847,1.8013878500406344,none,66734896.0,0.6261734128893113,0.0062475161661241,0.9,12,40078200.0
939,14,700,projection_zx,band_g,2129272.732345198,2,-1.9595625208746612,-0.608545770103757,2.6019644393480035,1.1047313094165176,0.1364698361475895,none,36817480.0,0.4339887274276436,0.0267732204569569,0.5,10,40078200.0
939,14,700,projection_zx,band_g,207834.67003186364,1,-1.374858483093362,-0.3786914148423396,5.302329494926631,3.258512447262952,3.006943731343421,none,66758670.0,0.6148941581746789,0.0054415998498452,0.9,12,40078200.0
1094,15,750,projection_xy,band_g,268747.5198655063,1,-0.779572614104933,-0.7761080745361577,2.6660382282359,2.191030998999998,2.9640967357421046,none,8204965.0,0.8162259224444187,0.0255487434433205,0.5,12,34281500.0
1094,15,750,projection_xy,band_g,25622.82952918013,1,-0.8381159574352582,-0.7571914682128189,6.03376826682834,4.92466007547447,2.9566820678193086,none,14994720.0,0.8147510392237799,0.0068515504660798,0.9,12,34281500.0
1094,15,750,projection_yz,band_g,301818.9083923873,1,-0.7074383004180085,0.4963349419828821,2.554458595043824,2.0398482720807083,2.206898799675529,none,8194324.0,0.7998859686770196,0.0034941554186956,0.5,12,34281500.0
1094,15,750,projection_yz,band_g,30877.44174803276,1,-0.7899073319711278,0.6592684524767277,5.500679602709305,4.693968241491213,2.1014968695391625,none,15011858.0,0.8529279127058574,0.0023877102254317,0.9,12,34281500.0
1094,15,750,projection_zx,band_g,281276.9855866333,1,0.4326187746694098,-0.746367384424683,3.1637414074813788,1.823052786035947,2.243969328121721,none,8308593.5,0.5769257134263672,0.0007710232342085,0.5,12,34281500.0
1094,15,750,projection_zx,band_g,24481.462191235416,1,0.7738614315313279,-0.9328030987568152,6.740635225679175,4.49492177071506,2.204132510019096,none,15018232.0,0.666602548382201,0.0006531133603392,0.9,12,34281500.0
1114,20,1000,projection_xy,band_g,5789989.796582805,1,0.865703943113321,-0.0484267419041931,1.933798967391436,0.977069999536062,3.112851818724379,none,75779810.0,0.5176445193251796,0.0243029282993736,0.5,12,49428800.0
1114,20,1000,projection_xy,band_g,212775.72448140007,1,1.0730503916827965,2.0202230034982374,8.96722051331306,3.594129946264295,2.2137862512270523,none,137220530.0,0.4050118679040743,0.011002460680839,0.9,12,49428800.0
1114,20,1000,projection_yz,band_g,8996666.725006053,1,-0.0583976792576059,0.201646396718013,1.041534078558407,1.0243661189475184,2.8428484055190237,none,75227360.0,0.9797577817926576,0.0072584941596112,0.5,12,49428800.0
1114,20,1000,projection_yz,band_g,301818.9083923873,1,1.7742216524565348,0.2800246669700903,7.34773694941906,2.732896712190285,0.1054059040200305,none,136114020.0,0.3730559485785596,0.0051604102452191,0.9,12,49428800.0
1114,20,1000,projection_zx,band_g,9429524.558091262,1,0.2272390972566579,0.6987651507417394,1.9692715941711596,0.7538321091881883,1.2773034862350203,none,75640910.0,0.3828868537987284,0.0098380693752442,0.5,12,49428800.0
1114,20,1000,projection_zx,band_g,308994.34096115787,1,0.3018035778223335,1.1386537601685862,6.433335474164485,2.7613158096657067,1.7277134249673076,none,136966660.0,0.4296147838167276,0.0027537291786641,0.9,12,49428800.0
1204,14,700,projection_xy,band_g,539976.3862712817,1,-0.538088260575239,-0.2764640077572661,1.847471819175092,1.3823295084251193,2.805358218139104,none,8888198.0,0.7499803773302699,0.0061079708815926,0.5,12,32406300.0
1204,14,700,projection_xy,band_g,34677.141456057456,1,-0.3871925531397168,-0.1158347662295051,4.9972902981243,3.749617261688577,2.836695903980255,none,16133935.0,0.749623237746824,0.0041938438599704,0.9,12,32406300.0
1204,14,700,projection_yz,band_g,437679.7589511391,1,-0.2943791397100122,0.6157019831739489,2.2062119996127723,1.4539831467430206,1.502134055287641,none,8947460.0,0.6597579702580677,0.0070032297631643,0.5,12,32406300.0
1204,14,700,projection_yz,band_g,31611.52100880301,1,-0.0864466193588359,0.7632163593650009,5.815242516064919,3.7686497758370927,1.3616144687213614,none,16159194.0,0.6481946359536584,0.0005191925870414,0.9,12,32406300.0
1204,14,700,projection_zx,band_g,389721.6060450708,1,0.6389723740606624,-0.5192660970694996,2.3116124283982,1.5829554245561703,0.5207434262040449,none,8885446.0,0.6891972123549541,0.0082950527566134,0.5,12,32406300.0
1204,14,700,projection_zx,band_g,27494.08886863753,1,0.8104171142825252,-0.3948642082650315,6.227592906566444,4.093070410515142,0.54759758959724,none,16146807.0,0.6573398084203583,0.000624107122602,0.9,12,32406300.0
1241,19,950,projection_xy,band_g,921711.336064181,1,-0.7625118658462655,1.2551625310589245,3.056628840986211,1.8954995009459796,2.156054247005858,none,31644568.0,0.6219544512125273,0.0078199183874013,0.5,12,40643300.0
