Name,RAh,RAm,RAs,DE,DEd,DEm,DEs,a26,b_a,AB,l_FUVmag,FUVmag,Bmag,l_Hamag,Hamag,Kmag,f_Kmag,l_21mag,21mag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis
NGC2500,8,1,53.2,+,50,44,14,3.31,0.84,0.17,,13.8,12.23,,15.36,9.28,,,13.93,102.0,7.0,,,514.0,12.4,mem
LV J0812+4836,8,12,39.5,+,48,36,45,0.52,0.31,0.22,,19.0,17.1,,,14.55,*,,,,9.0,BCD,N,521.0,12.42,mem
NGC2537,8,13,14.7,+,45,59,26,2.57,0.88,0.23,,14.32,12.27,,15.41,9.13,,,14.42,100.0,8.0,,,449.0,12.2,mem
IC2233,8,13,58.9,+,45,44,32,4.9,0.11,0.22,,14.85,13.07,,16.54,10.76,,,13.46,178.0,7.0,,,557.0,12.2,TF
NGC2541,8,14,40.1,+,49,3,42,7.08,0.53,0.22,,13.16,12.26,,15.57,10.09,,,12.49,192.0,7.0,,,559.0,12.4,TF
HolmII,8,19,4.0,+,70,42,51,8.91,0.86,0.14,,12.55,11.1,,14.47,8.0,,,11.95,64.0,9.0,Im,N,157.0,3.39,TRGB
NGC2552,8,19,20.5,+,50,0,35,3.72,0.74,0.2,,14.65,12.69,,16.41,10.0,,,14.11,130.0,8.0,,,524.0,12.4,mem
ESO006-001,8,19,23.3,-,85,8,44,1.1,0.91,0.83,,,15.13,,,12.97,,>,18.2,,9.0,BCD,N,738.0,6.7,h
ESO495-008,8,21,0.7,-,23,46,53,0.69,0.28,0.49,,,16.06,,19.66,13.21,*,,16.36,99.0,10.0,Ir,N,789.0,17.3,TF
KDG052,8,23,56.0,+,71,1,46,1.26,0.92,0.09,,17.45,16.35,,24.61,13.63,,,15.94,21.0,10.0,Ir,L,116.0,3.55,TRGB
KUG 0821+321,8,25,5.0,+,32,1,3,0.68,0.63,0.2,,,16.8,,,14.27,*,,,,10.0,Ir,N,642.0,8.15,h
CGMW2-3473,8,25,12.9,-,28,8,25,0.78,0.58,1.03,,,15.22,,,11.93,*,,15.72,62.0,9.0,BCD,N,837.0,7.4,TF
DDO052,8,28,28.5,+,41,51,24,1.74,0.5,0.16,,17.01,15.27,,19.93,12.37,,,15.09,83.0,10.0,Ir,N,396.0,10.28,TRGB
DDO053,8,34,6.5,+,66,10,45,2.0,0.87,0.16,,15.58,14.55,,17.05,12.77,,,14.55,30.0,10.0,Ir,N,19.0,3.56,TRGB
ESO495-021,8,36,15.2,-,26,24,34,2.09,0.77,0.48,,,12.45,,14.19,9.0,,,14.71,117.0,9.0,BCD,H,868.0,7.96,h
UGC04483,8,37,3.0,+,69,46,31,1.32,0.58,0.15,,16.0,14.95,,17.61,13.33,,,14.57,33.0,10.0,Ir,N,156.0,3.21,TRGB
ESO496-010,8,49,6.0,-,26,19,12,1.05,0.66,0.43,,17.76,14.83,,,11.9,,,16.1,61.0,9.0,BCD,N,814.0,7.8,TF
AGC182595,8,51,12.1,+,27,52,48,0.36,0.58,0.19,,19.26,17.2,,,14.68,*,,18.1,20.0,9.0,BCD,N,398.0,6.1,h'
UMa II,8,51,30.0,+,63,7,48,25.3,0.5,0.38,,22.28,14.8,,,10.35,*,>,16.33,,-2.0,Sph,X,-116.0,0.03,TRGB
NGC2683,8,52,40.9,+,33,25,2,13.49,0.24,0.14,,14.4,10.34,,14.71,6.33,,,12.93,428.0,3.0,,,411.0,7.73,SBF
KK69,8,52,50.7,+,33,47,52,1.38,0.76,0.13,,20.84,17.4,,22.62,14.93,*,,16.5,13.0,10.0,Ir,L,462.0,7.7,mem
KK70,8,55,22.0,+,33,33,33,0.5,0.97,0.13,>,23.0,17.7,,24.53,13.48,*,>,18.2,,-3.0,Sph,L,,7.7,mem
UGC04704,8,59,0.3,+,39,12,36,4.37,0.11,0.13,,16.11,15.0,,18.56,11.91,*,,14.27,132.0,8.0,,,599.0,15.2,TF
LSBC D564-08,9,2,54.0,+,20,4,31,0.72,0.71,0.12,,18.99,17.9,>,24.61,15.44,*,,16.72,49.0,10.0,Ir,L,483.0,8.67,TRGB
ESO497-004,9,3,3.1,-,23,48,30,1.12,0.23,1.01,,19.16,16.36,,20.76,12.79,*,,15.49,95.0,8.0,,,806.0,19.0,TF
HIPASS J0905-36,9,6,0.0,-,36,3,36,0.5,0.75,1.82,>,23.0,17.4,,,13.38,*,,15.42,70.0,10.0,Ir,N,886.0,7.93,h
UGC04787,9,7,34.9,+,33,16,36,2.45,0.28,0.1,,16.19,14.6,,18.41,11.69,*,,15.29,130.0,8.0,,,553.0,20.3,TF
KKH46,9,8,36.6,+,5,17,32,0.6,0.86,0.2,,18.14,17.05,,19.55,14.52,*,,16.36,25.0,10.0,Ir,N,598.0,5.6,h
LSBC D634-03,9,8,53.5,+,14,34,55,0.47,0.88,0.16,,21.1,17.5,>,24.86,15.0,*,,18.99,47.0,10.0,Ir,N,335.0,9.55,TRGB
KK71,9,9,10.9,-,23,22,4,0.4,0.78,0.77,,21.14,17.7,,,12.9,*,>,18.2,,-3.0,Sph,N,,9.8,mem
DDO056,9,9,46.6,-,23,0,33,1.29,0.7,0.72,,,15.63,,19.46,12.6,*,,16.13,79.0,10.0,Ir,N,724.0,9.8,mem
KK72,9,11,42.3,-,23,58,56,0.45,0.83,0.8,,23.74,18.0,,,13.17,*,>,18.2,,-3.0,Sph,L,,9.8,mem
NGC2784 dw01,9,12,18.5,-,24,12,40,0.89,0.89,0.89,>,23.0,17.27,,,12.36,*,>,18.2,,-3.0,Sph,L,,9.8,mem
NGC2784,9,12,19.4,-,24,10,18,5.5,0.4,0.93,,16.73,11.24,,16.91,6.33,,,,,-2.0,,,687.0,9.82,SBF
KK73,9,12,29.3,-,24,14,28,0.62,0.62,0.85,,20.67,16.35,,,10.62,,>,18.2,,-3.0,Sph,N,,9.8,mem
UGCA153,9,13,12.1,-,19,24,31,2.24,0.6,0.38,,17.07,15.4,,19.31,12.36,*,,14.89,111.0,8.0,,,766.0,21.9,TF
LV J0913+1937,9,13,39.0,+,19,37,8,0.54,0.45,0.19,,18.94,17.4,,,14.88,*,,17.9,25.0,10.0,Ir,N,445.0,4.43,h
AGC198507,9,15,25.8,+,25,25,10,0.2,0.75,0.14,,19.96,18.6,,,16.12,*,,17.82,37.0,9.0,BCD,N,502.0,21.7,TF
UGC04879,9,16,2.2,+,52,50,24,3.24,0.56,0.07,,15.97,13.8,,20.61,11.5,,,16.54,14.0,9.0,BCD,N,-25.0,1.36,TRGB
HIPASS J0916-23b,9,16,58.0,-,23,16,47,0.66,0.37,0.47,,18.32,15.84,,20.77,13.06,*,,17.12,40.0,10.0,Ir,N,837.0,10.3,mem
NGC2835,9,17,52.9,-,22,21,19,8.91,0.67,0.44,,13.2,11.01,,13.66,7.92,,,12.54,194.0,5.0,,,885.0,10.3,TF
NGC2787,9,19,18.6,+,69,12,12,3.31,0.63,0.56,,18.94,11.82,,19.21,7.26,,,14.12,358.0,1.0,,,700.0,7.48,SBF
LSBC D565-06,9,19,29.4,+,21,36,12,0.6,0.86,0.17,,20.58,17.3,>,25.61,14.79,*,,18.77,14.0,10.0,Ir,N,498.0,9.08,TRGB
UGC04932,9,19,34.1,+,51,6,33,1.86,0.32,0.07,,17.06,15.17,,,13.15,,,15.59,110.0,8.0,,,549.0,20.6,TF
DDO062,9,21,27.5,-,22,30,2,2.51,0.24,0.29,,16.68,14.8,,18.28,11.72,*,,13.85,124.0,8.0,,,846.0,18.6,TF
AGC198508,9,22,57.0,+,24,56,48,0.38,0.57,0.16,,18.34,17.8,,,15.3,*,,18.48,29.0,10.0,Ir,N,519.0,10.4,TF
ESO565-003,9,23,9.9,-,20,10,3,0.72,0.67,0.27,,17.49,15.53,,19.39,12.93,*,,16.9,31.0,10.0,Ir,N,829.0,7.52,h
MCG +09-16-010,9,23,17.0,+,51,58,23,0.92,0.78,0.07,,17.46,16.2,,,13.54,*,,,,8.0,,,484.0,7.35,h
UGC04998,9,25,12.1,+,68,22,59,1.78,0.62,0.25,,18.44,15.0,,19.54,11.11,,,17.81,89.0,9.0,BCD,N,632.0,8.24,TRGB
LV J0926+3343,9,26,9.4,+,33,43,4,0.85,0.24,0.08,,18.14,17.8,,,15.13,*,,16.39,47.0,8.0,,,540.0,19.7,TF
NGC2915,9,26,11.5,-,76,37,35,2.0,0.53,1.19,,15.65,13.2,,15.99,9.7,,,12.38,153.0,9.0,BCD,H,467.0,3.78,TRGB
[CKT2009]d0926+70,9,26,27.9,+,70,30,24,0.4,0.75,0.99,,22.27,19.0,,,15.74,*,>,19.69,,10.0,Tr,L,,3.93,TRGB
UGC05047,9,28,49.6,+,51,33,38,1.62,0.28,0.06,,,16.0,,,13.0,*,,17.01,104.0,7.0,,,502.0,19.68,TF
KDG056,9,30,12.9,+,19,59,30,0.68,0.8,0.19,,19.56,17.02,,24.7,14.5,*,,17.64,25.0,10.0,Ir,L,561.0,8.9,mem
NGC2903-HI-1,9,30,39.9,+,21,43,25,0.27,0.75,0.13,,20.81,18.2,,,15.73,*,,19.53,24.0,10.0,Ir,N,582.0,8.9,mem
NGC2903,9,32,9.6,+,21,30,2,12.59,0.48,0.13,,12.61,9.53,,13.21,6.04,,,11.96,366.0,4.0,,,556.0,8.87,BS
ESO373-007,9,32,45.4,-,33,14,44,1.29,0.54,0.58,,19.48,16.4,,,13.52,*,,16.21,44.0,10.0,Ir,L,862.0,8.3,TF
UGC05086,9,32,48.9,+,21,27,54,0.98,0.9,0.14,>,23.0,16.36,,25.1,12.13,*,,,,-3.0,Sph,N,491.0,8.9,mem
[CKT2009]d0934+70,9,34,3.7,+,70,12,57,0.59,0.86,1.11,,22.3,19.3,,,14.18,*,,,,-3.0,Sph,X,,3.66,TRGB
CGCG 035-007,9,34,44.9,+,6,25,32,1.07,0.63,0.18,,17.49,15.22,,19.43,12.68,*,,15.98,89.0,9.0,BCD,N,552.0,13.0,TF
LeoT,9,34,53.4,+,17,3,5,2.09,0.71,0.13,,19.53,16.5,>,21.79,14.03,*,,14.85,15.0,10.0,Ir,L,39.0,0.42,TRGB
LV J0935-1348,9,35,21.6,-,13,48,52,0.42,0.75,0.19,,18.56,16.6,,,14.08,*,>,17.4,,9.0,BCD,N,796.0,7.3,h
[CKT2009]d0939+71,9,39,15.9,+,71,18,42,0.35,0.85,0.17,,24.56,19.6,,,17.09,*,,,,10.0,Tr,L,,3.63,TRGB
LV J0939-2507,9,39,35.0,-,25,7,35,0.63,0.57,0.25,,,15.5,,19.03,12.92,*,,17.3,56.0,10.0,Ir,N,741.0,6.15,h
KISSB023,9,40,12.7,+,29,35,29,0.83,0.34,0.08,,17.01,16.32,,,13.9,*,,16.62,77.0,10.0,Ir,N,544.0,19.8,TF
KUG 0937+480,9,40,19.6,+,47,46,38,0.85,0.36,0.07,,18.34,17.0,,,14.59,*,,,,9.0,Im,N,546.0,7.88,h
KDG058,9,40,27.0,+,0,2,33,0.66,0.78,0.25,,20.04,17.2,,,14.62,*,,,,10.0,Ir,L,,10.0,txt
HolmI,9,40,32.3,+,71,11,11,4.57,0.81,0.21,,15.0,13.64,,17.48,11.2,,,13.72,29.0,10.0,Ir,N,139.0,3.84,TRGB
UGC05186,9,42,59.8,+,33,15,52,1.38,0.23,0.06,,18.39,16.27,,23.47,13.87,*,,16.97,34.0,10.0,Ir,N,546.0,8.3,TF
LV J0944-2254,9,44,20.1,-,22,54,58,0.32,0.76,0.33,,,16.83,,,14.18,*,>,17.4,,9.0,BCD,N,729.0,6.05,h
[CKT2009]d0944+69,9,44,22.5,+,69,12,40,0.2,0.99,0.41,>,23.0,21.0,,,16.52,*,,,,-3.0,Sph,X,,3.98,TRGB
[CKT2009]d0944+71,9,44,34.4,+,71,28,57,0.89,0.62,0.14,,24.21,16.7,,,12.47,*,>,19.76,,-1.0,Tr,L,,3.39,TRGB
IC0559,9,44,43.9,+,9,36,55,1.32,0.74,0.12,,16.68,14.98,,19.04,12.52,*,,15.69,67.0,9.0,BCD,N,541.0,9.4,TF
F8D1,9,44,50.0,+,67,28,32,2.19,0.91,0.41,>,23.0,15.7,,22.91,11.22,*,>,18.2,,-3.0,Sph,L,-125.0,3.77,TRGB
UGC05209,9,45,4.2,+,32,14,18,0.83,0.96,0.08,,18.23,16.06,,21.29,13.64,*,,17.05,32.0,10.0,Ir,N,535.0,6.56,h
