galaxyID,FOV,pixel,view,band,level,ncontour,cx,cy,a,b,theta,flag,lum_sum,b_a,b_a_std,lim,nrange,Mstar_ahf_cat
0,29,1450,projection_xy,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,601228000000.0
0,29,1450,projection_yz,band_g,1501090.6727362182,1537,2.473118948328727,-1.7104568991869007,17.926340934708257,17.61137525262396,0.9655748725468788,none,1558428500.0,0.965549181504994,0.0178736228765361,0.5,10,601228000000.0
0,29,1450,projection_yz,band_g,900307.4568888278,271,0.7650989024838155,0.6161824547586457,26.434628834444336,25.06193136459993,1.036338700063725,none,2932733400.0,0.948737176346179,0.0084916170049364,0.9,12,601228000000.0
0,29,1450,projection_zx,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,601228000000.0
1,40,2000,projection_xy,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,547181000000.0
1,40,2000,projection_yz,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,547181000000.0
1,40,2000,projection_zx,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,547181000000.0
2,126,6300,projection_xy,band_g,1109151.1237770643,1621,-0.872808941392698,-0.8512923470667183,54.17802523857802,38.34501914688063,2.935768578601313,none,11386913000.0,0.7099046748131675,0.0131202847795489,0.5,12,643670000000.0
2,126,6300,projection_xy,band_g,228314.9357614111,473,-3.3942855329980093,-2.0362661725440567,100.0,72.33643821977354,2.942788099635964,none,20294089000.0,0.7255316001711155,0.0209375384522386,0.9,12,643670000000.0
2,126,6300,projection_yz,band_g,1035134.7965666752,1568,0.6023827566017221,-4.357013442309087,60.45622215028656,37.01839063727978,1.1351925814934951,none,10857309000.0,0.6088861968338724,0.013995052522299,0.5,12,643670000000.0
2,126,6300,projection_yz,band_g,347018.40126745566,603,-2.4243755648803407,-7.209241332058426,100.0,58.70053628321601,1.272762810438531,none,18011652000.0,0.5908014326538974,0.0212634402475662,0.9,12,643670000000.0
2,126,6300,projection_zx,band_g,1109151.1237770643,1521,-1.993956136797027,1.7564322878053242,53.67018739286501,42.374042246484834,0.8689334325464371,none,14404037000.0,0.7904558679043735,0.0316542993808823,0.5,12,643670000000.0
2,126,6300,projection_zx,band_g,287964.05517406954,864,-8.455124693670651,-0.2751567921835518,100.0,85.28748056408197,0.6720718485181603,none,25665081000.0,0.8564466503035778,0.0351092887558568,0.9,12,643670000000.0
3,83,4150,projection_xy,band_g,1035134.7965666752,285,-1.8091501972842257,6.363030331516618,44.0682038790174,22.705650078875568,1.6849676402968512,none,4719746600.0,0.5252884245487421,0.0159542388814897,0.5,12,419125000000.0
3,83,4150,projection_xy,band_g,198576.6876612306,217,-0.4420776861466552,-1.294371891510203,66.7456828687406,56.34680063166455,2.2690144515128785,none,8545178000.0,0.842649306364396,0.006437363717997,0.9,12,419125000000.0
3,83,4150,projection_yz,band_g,2129272.732345198,894,5.279806330152933,5.691461571961341,35.85115715319124,24.542893029232268,0.9180156411133034,none,4906958000.0,0.8112993087673028,0.0772706792522532,0.5,6,419125000000.0
3,83,4150,projection_yz,band_g,244640.37767331098,292,0.0014411441510192,2.4778341273588915,64.36927422533836,58.4323409545525,1.495178986992883,none,10911455000.0,0.9092578223957348,0.0074153121857615,0.9,12,419125000000.0
3,83,4150,projection_zx,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,419125000000.0
4,36,1800,projection_xy,band_g,1723433.6084974648,209,-0.3804145287853144,0.9898330599099832,22.486107915658952,13.796948672254707,2.1692789886868185,none,1980078200.0,0.6256529143189797,0.0411701619255731,0.5,12,278360000000.0
4,36,1800,projection_xy,band_g,539208.0147516499,10,-0.8484208466729861,0.8265153847352689,33.06924622954349,25.443724003661565,2.155541915205312,none,3711395000.0,0.7721676700064091,0.0124872465560827,0.9,12,278360000000.0
4,36,1800,projection_yz,band_g,1808927.454836444,395,2.289569903640614,0.2923614671265703,21.564999424152106,17.404587089486398,1.640635351025152,none,2558016000.0,0.8195212167050098,0.0089832099466424,0.5,12,278360000000.0
4,36,1800,projection_yz,band_g,747096.3650407288,14,1.3199875702715105,0.486533657223393,32.33781382371048,27.883528248500657,1.6001190173719952,none,4662093000.0,0.864595813395706,0.0092533416428206,0.9,12,278360000000.0
4,36,1800,projection_zx,band_g,1766920.7406241298,338,0.0645175871403246,1.1564176126582075,23.251455998373828,15.10499758834477,3.1394384240146014,none,2322141400.0,0.6759659647678694,0.0355898167962844,0.5,12,278360000000.0
4,36,1800,projection_zx,band_g,649786.3183535454,19,-0.1185699580390957,-0.952117752146567,34.008433768416886,25.52520842260432,0.1433715828190744,none,4195694300.0,0.7525609392957741,0.0147214037983574,0.9,12,278360000000.0
5,25,1250,projection_xy,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,234994000000.0
5,25,1250,projection_yz,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,234994000000.0
5,25,1250,projection_zx,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,234994000000.0
6,20,1000,projection_xy,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,299638000000.0
6,20,1000,projection_yz,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,299638000000.0
6,20,1000,projection_zx,band_g,2129272.732345198,455,0.3982841623325802,-0.6316985607874662,14.527187853296493,12.163909946600016,1.295737754132267,none,1176203100.0,0.8348439649911695,0.0113849135705434,0.5,9,299638000000.0
6,20,1000,projection_zx,band_g,1573312.8496519227,18,0.0746300202144021,-0.4444605244370349,19.370434387741888,16.830030931902535,1.4864056157989871,none,2108776200.0,0.8707552938428601,0.0106435950618291,0.9,12,299638000000.0
7,39,1950,projection_xy,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,217648000000.0
7,39,1950,projection_yz,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,217648000000.0
7,39,1950,projection_zx,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,217648000000.0
8,28,1400,projection_xy,band_g,2391295.637138219,231,0.7345936304056478,-0.8484022149954624,14.729372206187245,13.281915858750684,2.046079333382054,none,1859781100.0,0.9014895908387914,0.0190034544717658,0.5,12,182877000000.0
8,28,1400,projection_xy,band_g,839032.1498533543,14,0.8212017231310784,0.7466403455785491,24.2579710732899,22.06511488463329,2.860646650929592,none,3463946000.0,0.908412378854516,0.009198550793311,0.9,12,182877000000.0
8,28,1400,projection_yz,band_g,2228543.0427249903,220,-0.408839189243468,-0.4803556773728487,14.703255678378849,14.075625059313897,1.068484876197796,none,1824049500.0,0.90552815633865,0.0391443267221579,0.5,12,182877000000.0
8,28,1400,projection_yz,band_g,879400.6162393427,26,0.7736434178429089,0.4564154978967044,24.111190982364025,21.85012305552074,1.1974380186395477,none,3360305200.0,0.9081601635292588,0.0179413689571191,0.9,12,182877000000.0
8,28,1400,projection_zx,band_g,2228543.0427249903,262,-1.2854986269308817,0.94405441789127,16.48365874292822,12.735078326689266,2.554933575887977,none,1874131000.0,0.7876222768581721,0.02359410952723,0.5,12,182877000000.0
8,28,1400,projection_zx,band_g,879400.6162393427,17,0.3818075164608716,0.6374954003441383,25.33062720418868,21.66740353200709,2.277646293798364,none,3436077800.0,0.8620491614695219,0.0096064099812131,0.9,12,182877000000.0
9,74,3700,projection_xy,band_g,4925905.606521889,130,-1.3768726623938754,2.812405725183058,25.811036024404203,20.67623400164745,0.7094953829545869,none,4657738000.0,0.814270319638767,0.0131394597018896,0.5,12,205162000000.0
9,74,3700,projection_xy,band_g,281276.9855866333,85,0.5464369266242141,4.201183773539719,57.72585061635383,47.523175196881134,0.8305840103499686,none,10184454000.0,0.8317931014831078,0.0175486436332682,0.9,12,205162000000.0
9,74,3700,projection_yz,band_g,1759388.6301953602,193,0.6909720857052155,-0.7487784632418549,31.654970289599547,17.65286044952095,2.470458266077663,none,4875483000.0,0.5657246453894068,0.0077139133197674,0.5,6,205162000000.0
9,74,3700,projection_yz,band_g,268365.0995495694,52,2.8527242575335867,-0.646974418924582,58.07797555318727,46.91614631926527,2.747111704083971,none,8887329000.0,0.8000960595915392,0.0252964685479877,0.9,12,205162000000.0
9,74,3700,projection_zx,band_g,1801216.2762678745,195,0.1623467928290304,-1.3334851992467345,31.14038904174565,18.46433906733158,0.9767771750595164,none,5105438000.0,0.595272082636067,0.004737834261097,0.5,6,205162000000.0
9,74,3700,projection_zx,band_g,268365.0995495694,53,-0.9091959772098028,-0.8314173285048027,57.82428760863851,44.05041810013866,0.954376487076253,none,9244356000.0,0.7612825546102672,0.0014108755456442,0.9,12,205162000000.0
10,64,3200,projection_xy,band_g,1987181.2320086726,262,1.4263347640672592,0.2856417124638033,25.217129424480014,19.93163641633712,1.4461130189737168,none,4024029400.0,0.8477008804240964,0.0353967175429527,0.5,8,152778000000.0
