galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie
1229,20,1000,projection_xy,band_u,0.5390538242230455,2.62316009110389,1.8614964634530664,4.781361329061779,5.839753524290891
1229,20,1000,projection_xy,band_r,0.6129028865657677,2.644143888747096,0.772264083257637,3.579716394971165,5.994862606965023
1229,20,1000,projection_yz,band_u,0.5457297161426562,2.1515474154315113,1.7573719078233152,4.521138236585702,5.8934050331348455
1229,20,1000,projection_yz,band_r,0.5117770273426783,2.1870405507091815,0.8156728247688119,3.88263549563536,6.001912334854739
1229,20,1000,projection_zx,band_u,0.8833627229837231,0.7816489331051741,1.8549956258186677,3.36602186347694,5.920017359705314
1229,20,1000,projection_zx,band_r,0.9317557834273552,1.0274492199872165,0.9129731771636097,2.814536983306719,6.003623800764189
584,25,1250,projection_xy,band_u,0.6142606391198949,2.3027043269847387,2.338042646267574,2.859665255102021,7.268382351014124
584,25,1250,projection_xy,band_r,0.4637527659826391,2.6446722614633424,0.36000000000460286,5.5341379350817945,6.825440923764788
584,25,1250,projection_yz,band_u,0.6246241032063347,1.3693652094188196,2.077007971311776,2.0731801742273666,7.545987090991923
584,25,1250,projection_yz,band_r,0.30070862113971236,1.4610208757714815,1.7223907628248614,7.909970269846233,6.537691288576347
584,25,1250,projection_zx,band_u,0.463232167177618,2.9455025421407655,2.1453609052797855,3.180264987156111,7.412292635165219
584,25,1250,projection_zx,band_r,0.4456348548118019,3.0893574227808043,0.6054762630741203,3.7528831872364496,7.093851109621555
675,19,950,projection_xy,band_u,0.36431445917590405,2.555206052519669,0.5453156976670246,3.3897099308008336,7.050063455265572
675,19,950,projection_xy,band_r,0.4151522046929146,2.530663218345846,0.5572925780620586,3.742481240159778,6.737014254965051
675,19,950,projection_yz,band_u,0.6303524694003579,1.5527796135061718,1.7039679734185276,3.3111117001682113,6.730431082100293
675,19,950,projection_yz,band_r,0.5423901207789077,1.3766586900947078,0.5324049679670338,3.2054199678992026,6.760004677804144
675,19,950,projection_zx,band_u,0.6749316253270824,0.35942297535186896,1.3810609197413637,2.582000057950061,6.920935488831473
675,19,950,projection_zx,band_r,0.7469514048123482,3.086954023543747,0.8998446219844125,2.662354645389843,6.716234362863535
195,28,1400,projection_xy,band_u,0.7462931879863722,2.864058794914518,5.315661550995867,18.00747385201293,6.100458941940078
195,28,1400,projection_xy,band_r,0.6990153352277687,1.3646457307382331,0.4698486520167775,5.1052765880069595,7.176406351269361
195,28,1400,projection_yz,band_u,0.4959820554562062,1.4316159232468182,4.857506100750656,18.273227164647757,6.178433971457647
195,28,1400,projection_yz,band_r,0.37042048645275166,1.4720109326239104,0.5849720003976735,4.579733438089184,7.337023116827705
195,28,1400,projection_zx,band_u,0.6049728630227083,0.8022793854722716,0.7661444245675374,0.3724503365499476,8.84364616985895
195,28,1400,projection_zx,band_r,0.3629900145833073,0.006005989133849976,2.2772754445064316,9.211075619534352,6.721951984307191
678,22,1100,projection_xy,band_u,0.999999932604685,2.8151976362210895,3.4594689157652465,2.6739798870987297,6.635576547547711
678,22,1100,projection_xy,band_r,0.846054715058475,1.0678127198946614,3.135351029364343,3.633039639077641,5.826811883560504
678,22,1100,projection_yz,band_u,0.885867697099371,2.614542231978924,0.5384817275650382,0.42407521836352474,8.09145544149708
678,22,1100,projection_yz,band_r,0.4811139566391708,1.6428183151115572,2.158563328975299,3.6804854229065866,6.217489597490821
678,22,1100,projection_zx,band_u,0.8534237145986434,0.6174957881473948,0.5964167282626212,0.4553202277970426,8.028261609862616
678,22,1100,projection_zx,band_r,0.4590118420589365,3.111144875711853,2.384216178089908,4.221634785729638,6.1099878336962306
663,19,950,projection_xy,band_u,0.6510561675113804,1.3915199605667703,0.3601108736676341,2.2682711967479547,7.406595343442361
663,19,950,projection_xy,band_r,0.7090131696564147,1.4068778495282095,0.5483769764398344,2.4762154094330997,6.873852773827569
663,19,950,projection_yz,band_u,0.44580251640966695,1.638729511951503,0.3609267131114735,1.4967418953015987,7.826765849595499
663,19,950,projection_yz,band_r,0.5107860913959387,1.5965576771562198,0.6099079815303182,1.84393756844839,7.213912953740401
663,19,950,projection_zx,band_u,0.291961013244128,3.0278449193926886,1.1468182031845129,2.6794115250598134,7.436950295028682
663,19,950,projection_zx,band_r,0.354657794065418,3.0288058826671076,0.9835186291075521,2.9622691578164977,6.953213682981251
1357,25,1250,projection_xy,band_u,0.9515098247885801,2.869839466427336,0.4871040154950237,0.4515138950229512,8.342715077997346
1357,25,1250,projection_xy,band_r,0.9540407401718234,2.1318889852508467,0.6511087199810517,0.5146533205823504,7.2541387216342565
1357,25,1250,projection_yz,band_u,0.8650339010447061,1.8229997000424545,0.5562560122947242,0.4997385896208191,8.331508526059006
1357,25,1250,projection_yz,band_r,0.8139868230616499,1.9162468961254462,0.7151941157997488,0.5931502067453921,7.295778801296629
1357,25,1250,projection_zx,band_u,0.9736634363241764,3.102282090100988,0.48217816113115447,0.43166503638321785,8.373801060227136
1357,25,1250,projection_zx,band_r,0.8866583597173527,3.1068720034903192,0.687949869665301,0.5277782666825088,7.269717930897301
812,20,1000,projection_xy,band_u,0.9007742149328071,0.13157437238816494,0.6438377514439546,0.3261307182951271,7.952836031981048
812,20,1000,projection_xy,band_r,0.4965734262717979,1.5237937106800732,0.763300186112905,3.303136623572202,6.370913259659764
812,20,1000,projection_yz,band_u,0.7398203994827097,1.73352433606047,1.5737329199005932,1.043918841188394,7.277369818595152
812,20,1000,projection_yz,band_r,0.6421316657945835,1.5420869617710995,1.3657532630910105,2.102191986870392,6.589069658131957
812,20,1000,projection_zx,band_u,0.9674964048484207,2.0132897868403097,0.6464525861318462,0.3209574723455821,7.9551190103459914
812,20,1000,projection_zx,band_r,0.3095033103344479,0.051228558291792486,0.8395705890389711,3.52309052958236,6.504251532898162
9,74,3700,projection_xy,band_u,0.8831274100154557,1.7172637303613698,0.3600000000342865,29.93732460847462,6.256173323222163
9,74,3700,projection_xy,band_r,0.9633238475446434,2.221894959128438,0.36000000112556346,25.39234319262615,6.430792296778578
9,74,3700,projection_yz,band_u,0.09188105871523942,1.6560659895462824,6.689799608717741,1573.1956877831526,3.911316829084532
9,74,3700,projection_yz,band_r,0.5298363935299774,1.629780744270006,0.5957452171267215,30.59413359891203,6.3200160520092545
