groupID,galaxyID1,galaxyID2,dist,MassRatioID2overID1,MassRatioSmalloverLarge,NearestNeighbor
0.0,18.0,125.0,175.32629548,0.1690558120500539,0.1690558120500539,0
0.0,18.0,227.0,557.15457252,0.030277014058204082,0.030277014058204082,0
0.0,18.0,237.0,518.7315779,0.04956678367426928,0.04956678367426928,0
0.0,18.0,258.0,493.89631782,0.024927230493449304,0.024927230493449304,0
0.0,18.0,279.0,233.70577994,0.035349091894197465,0.035349091894197465,0
0.0,18.0,305.0,343.16894745,0.03291003095225744,0.03291003095225744,0
0.0,18.0,381.0,222.26934001,0.032333062429031716,0.032333062429031716,0
0.0,18.0,383.0,242.56706332,0.025353011360688904,0.025353011360688904,0
0.0,18.0,413.0,217.22486543,0.03410079945588583,0.03410079945588583,0
0.0,18.0,462.0,339.68636569999995,0.0073109001515911315,0.0073109001515911315,0
0.0,18.0,500.0,322.96965391,0.005621120160467568,0.005621120160467568,0
0.0,18.0,501.0,629.02504272,0.017124494936395132,0.017124494936395132,0
0.0,18.0,636.0,584.0455602000001,0.012837059708460859,0.012837059708460859,0
0.0,18.0,893.0,503.1231312,0.002391433660147672,0.002391433660147672,0
0.0,18.0,929.0,438.72016082,0.0011164657940089802,0.0011164657940089802,0
0.0,18.0,984.0,21642.95757899,0.004112223547924124,0.004112223547924124,0
0.0,18.0,1009.0,86.51292826,0.004420991048630204,0.004420991048630204,1
0.0,18.0,1162.0,551.03952933,0.0026191258436939822,0.0026191258436939822,0
0.0,18.0,1456.0,133.03922091,0.004967894958298029,0.004967894958298029,0
0.0,18.0,1492.0,362.00136575,0.002518562708581902,0.002518562708581902,0
0.0,18.0,1511.0,602.52821982,0.001247566184226453,0.001247566184226453,0
0.0,18.0,1530.0,543.73337856,0.0005778100557371191,0.0005778100557371191,0
0.0,18.0,1621.0,465.56514555,0.0003406431383398754,0.0003406431383398754,0
0.0,18.0,1648.0,21657.46988657,0.0005537053368147418,0.0005537053368147418,0
0.0,18.0,1655.0,584.65411233,0.00287738410195224,0.00287738410195224,0
