galaxyID,groupID,Rvir,Redge,r80_stars,Mgas,Mstar,Mvir,DistToHost,GaltoHostGasMassRatio,GaltoHostStellarMassRatio,GaltoHostDMMassRatio,DistToHostRvirRatio,DistToHostr80_starsRatio,DistNearestSate,NearestSategalaxyID,NearestSateRvir,NearestSateRedge,NearestSater80_stars,GaltoNearestSateGasMassRatio,GaltoNearestSateStellarMassRatio,GaltoNearestSateDMMassRatio
492.0,53.0,90.25686448184231,89.4335150379877,8.496183928608833,2210380000.0,1232740000.0,27359000000.0,207.38078945949547,0.15441005937827454,0.0424270792104765,0.07700838510103497,0.9775224186198752,36.75548922936165,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
493.0,-1.0,93.97697077059344,90.80205938106664,6.8101544535799965,1824140000.0,803808000.0,30889500000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
494.0,-1.0,88.30823737821079,85.47870896534708,8.120477351707972,3299440000.0,546980000.0,25624000000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
495.0,63.0,9.565987599645704,8.172171545772551,4.453833492446041,2789440000.0,3615060000.0,14388000000.0,19.134527048957924,0.1933097249461188,0.2432058233877369,0.042804994511035935,0.09187502568021048,2.572833976892313,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
496.0,-1.0,89.06111603188661,81.6405251917562,11.021470900887088,3138180000.0,517935000.0,26278600000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
497.0,4.0,90.7144966046649,85.75193087356121,9.003952741723921,2257550000.0,943575000.0,27773000000.0,266.44230770010483,0.009538124189330213,0.003389765052450065,0.006674677657746428,0.5530335189240441,21.669812281388612,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
498.0,-1.0,93.1945674638323,90.3480173930288,6.7761013044771605,1766340000.0,844627000.0,30121000000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
499.0,5.0,88.88396811337465,87.37569630509891,8.300691148984397,699729000.0,2290730000.0,26125700000.0,473.6627629687657,0.0035725248131356453,0.00974803612007115,0.005923859191655802,0.9642649305335595,46.135012432780655,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
500.0,0.0,89.17921464422794,85.82062988554394,9.869372436837553,2366590000.0,975225000.0,26383900000.0,449.6209579290848,0.0024877797003214595,0.0016220551937035535,0.0022059379284973747,0.6563654007309057,39.80582199453784,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
501.0,0.0,81.25184529081783,76.91077067768217,11.152061748263916,1294150000.0,2970980000.0,19960500000.0,665.9742346191605,0.0013604215766867167,0.004941519689701744,0.0016688823116283735,0.9722021130767826,58.96000034851587,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
503.0,-1.0,93.68172423974018,92.60045668221292,6.945034251165969,1596530000.0,763998000.0,30588300000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
505.0,-1.0,89.90256864481842,88.22168118476021,6.616626088857014,2618420000.0,563964000.0,27042600000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
506.0,-1.0,88.81015648066133,84.17123221149848,7.996267060092357,2962870000.0,434241000.0,26062300000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
507.0,-1.0,88.52967227635077,85.96489463044128,8.166664989891922,2709240000.0,722823000.0,25816600000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
508.0,-1.0,93.26837909654564,92.15446065243069,5.990039942407996,1285730000.0,1083620000.0,30185700000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
509.0,-1.0,87.62917035724831,85.44743183996103,8.117506024796297,2624650000.0,947364000.0,25040800000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
510.0,-1.0,91.61499852376735,90.26086388196345,7.67217342996689,1601400000.0,1102040000.0,28612900000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
512.0,103.0,52.71626808385002,51.50203054104989,8.497835039273232,2548970000.0,1397870000.0,22808100000.0,105.44850219900722,0.16964745658930722,0.11746708010857053,0.14980099306431274,0.6592599482197279,11.124687215952708,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
513.0,-1.0,88.61824623560673,82.8942347880017,8.703894652740178,2747810000.0,581046000.0,25897800000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
514.0,-1.0,90.0649542367877,88.07642809317667,9.24802494978355,2338920000.0,656658000.0,27184800000.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4762326542663124,-1.0,-1.4762326542663124,-1.0,-1.0,-1.0,-1.0,-1.0
