galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat,flag
18,35,1750,projection_xy,band_g,0.9999999880335732,2.5238384843403274,0.9877970162779928,26.782120268606395,5.819517240725156,173493000000.0,fit
18,35,1750,projection_yz,band_g,0.9488172937980572,2.4672378523185485,0.3600000000285032,18.88366124103851,6.162819136147291,173493000000.0,fit
18,35,1750,projection_zx,band_g,0.8889013679491946,1.6882084251649316,0.3600000008960266,19.24811065932723,6.151412681917597,173493000000.0,fit
23,33,1650,projection_xy,band_g,0.8828455090956112,2.8696790899439395,0.3600000000044878,16.924455149622524,6.622426434858152,71723700000.0,fit
23,33,1650,projection_yz,band_g,0.2325601285169898,1.3209814561049056,0.3601179246602179,19.04021339017114,6.7490853875077095,71723700000.0,fit
23,33,1650,projection_zx,band_g,0.1470431797610953,0.2380483725739383,2.07138424920259,38.430804238027015,6.283209055586472,71723700000.0,none
26,35,1750,projection_xy,band_g,0.900706203191355,1.8229795994189988,0.3600000027388987,18.280309834198924,6.032494881761371,121371000000.0,fit
26,35,1750,projection_yz,band_g,0.9493246754974854,3.026086288589041,0.3600000002164221,17.347044286905803,6.0535616175244975,121371000000.0,fit
26,35,1750,projection_zx,band_g,0.9560238308538944,2.9651558358408985,0.3600000036151121,17.87770127049095,6.048692709829631,121371000000.0,fit
31,29,1450,projection_xy,band_g,0.7929017173479069,1.0048223030894246,0.360000000616319,18.32964807734684,6.624733606556656,112101000000.0,fit
31,29,1450,projection_yz,band_g,0.2399033346364221,0.917454589005918,4.863638239701634,245.46715952769253,5.006795916278275,112101000000.0,fit
31,29,1450,projection_zx,band_g,0.413718870736146,2.525319976729623,0.3606474607591458,20.576267081852738,6.70119905467405,112101000000.0,fit
65,12,600,projection_xy,band_g,0.9431205681524912,1.6502254988574336,0.3600000003865765,9.029881143136542,6.238417634856995,64949500000.0,fit
65,12,600,projection_yz,band_g,0.9999999933167636,0.612047431439386,1.6331930670376016,35.72066234331786,5.4253500653459295,64949500000.0,fit
65,12,600,projection_zx,band_g,0.9196743671341034,0.1847799112949199,0.3600000015031837,8.975642206140895,6.249212512441936,64949500000.0,fit
81,26,1300,projection_xy,band_g,0.2865109062777944,2.709542711170057,0.4471293701866438,14.94187124848079,6.451108617534847,36845800000.0,none
81,26,1300,projection_yz,band_g,0.8853260527439434,0.4966864916406379,0.3600000016873049,11.73338773758995,6.500542537043313,36845800000.0,fit
81,26,1300,projection_zx,band_g,0.9999999458239528,1.7434626920936935,0.652154974031661,11.622064725309295,6.228642776015009,36845800000.0,fit
