galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie
1229,20,1000,projection_xy,mockmass,0.7175444756715084,2.712847168636759,0.723873401525317,3.9614187046368183,3.457048921402036
1229,20,1000,projection_yz,mockmass,0.5321260567091534,2.237707471718449,0.7018398980926279,4.437772651692084,3.4912256251993083
1229,20,1000,projection_zx,mockmass,0.9204410026303044,1.534528233831657,0.6777277938990602,3.2418304606649655,3.523639744153221
584,25,1250,projection_xy,mockmass,0.6231321992501722,2.5918728406543123,0.5690030168314049,5.713564872150748,3.6944399464970274
584,25,1250,projection_yz,mockmass,0.43121896363444356,1.3274350859917359,0.5340617814170346,5.281752513364948,3.925873106698217
584,25,1250,projection_zx,mockmass,0.5861934653978143,3.109685247998266,0.6589768233435764,4.340704485225368,3.928200257049486
675,19,950,projection_xy,mockmass,0.4489188317336586,2.4947273721298284,0.48653945823864764,4.319090632689231,4.022060149083169
675,19,950,projection_yz,mockmass,0.5560934516894712,1.219940418208508,0.5153591898097738,3.8604064297844434,4.019344340255693
675,19,950,projection_zx,mockmass,0.7215690298476461,2.819763308931334,0.7128020031009465,3.2753985363518416,4.010007587928742
195,28,1400,projection_xy,mockmass,0.6669880048670067,1.2674703361355122,0.9966971759891612,5.075817029181486,4.53148443869829
195,28,1400,projection_yz,mockmass,0.5532919564934774,1.5227072806705935,0.983748893620814,3.4041133646892034,4.938114567934158
195,28,1400,projection_zx,mockmass,0.3986410163881414,0.0021469800691544805,0.8352386825094514,4.743883070396848,4.840884744390657
678,22,1100,projection_xy,mockmass,0.6845498372144627,1.5994710810218182,0.6666538670586803,4.162811782894442,3.2351960356500182
678,22,1100,projection_yz,mockmass,0.5844125092886227,1.568923625060503,0.7812141341496381,2.9532910566928847,3.5792754924794234
678,22,1100,projection_zx,mockmass,0.4003416028882797,3.1363897789950603,0.6657047993151299,4.194981061047655,3.4656121924493384
663,19,950,projection_xy,mockmass,0.7393534482001085,1.2644256440973776,0.8761565657000796,3.7201505866814912,3.7418377207431175
663,19,950,projection_yz,mockmass,0.6014699301512513,1.5549405390447186,0.843081628905025,2.816037522387918,4.071992486557562
663,19,950,projection_zx,mockmass,0.45247638733844064,3.002196607644854,0.8451674687927981,3.699538813011874,3.9715701021506478
1357,25,1250,projection_xy,mockmass,0.910198886264295,2.6175676243871497,0.9974229013868297,2.944961975757477,3.1100499412744886
1357,25,1250,projection_yz,mockmass,0.8116130927337167,1.3003606497372098,0.9285912524589333,2.800970625481549,3.2159108906875074
1357,25,1250,projection_zx,mockmass,0.8666341011390236,0.22183144225679052,0.9581348548421919,2.7616318046494355,3.1888322800551294
812,20,1000,projection_xy,mockmass,0.5258159119630864,1.4330906508632115,0.7075737137604801,4.747140049464385,3.5214686863382623
812,20,1000,projection_yz,mockmass,0.6443112467238183,1.3914310466499993,0.7612634102369913,2.6502583836902347,3.9175818866773358
812,20,1000,projection_zx,mockmass,0.3606476848626612,3.1222673285458358,0.8127632327904739,4.885421021275614,3.6366908305599206
9,74,3700,projection_xy,mockmass,0.8516806377718514,2.395608941178359,0.995799055485775,2.117109723955648,6.629224681558648
9,74,3700,projection_yz,mockmass,0.46979876217149474,1.5394737993246854,1.1782276408051504,2.3669283850446075,6.821411036471179
9,74,3700,projection_zx,mockmass,0.4769744703689126,3.1224625513815263,1.184627302189167,2.3390939162143707,6.822962315500213
301,27,1350,projection_xy,mockmass,0.38067601475360274,2.691676203046472,0.5959214066451114,4.207109884411502,4.342141444582537
301,27,1350,projection_yz,mockmass,0.5222612549658694,2.000137813111325,0.8415042309050086,4.393673359591324,4.124944565082844
301,27,1350,projection_zx,mockmass,0.7005338596782273,0.9601040281558436,0.7940435642228348,3.0184769430096856,4.323356201659808
864,16,800,projection_xy,mockmass,0.5695226727306206,1.5898628341182306,0.7269451135612105,3.924043994870499,3.4185921566578212
864,16,800,projection_yz,mockmass,0.7328942372250558,1.597978660089748,0.6817640218281862,2.1968811403249133,3.8118542454161086
864,16,800,projection_zx,mockmass,0.4162674997548366,3.100885671829642,0.7323138965170956,3.86591136861943,3.5628367378254597
460,25,1250,projection_xy,mockmass,0.865650241990708,1.739369843809824,0.8242676833523923,4.918138060005588,3.980435282748987
460,25,1250,projection_yz,mockmass,0.45784657968228515,1.1799922734019095,0.7754648276403268,4.487439656744625,4.33560321613043
460,25,1250,projection_zx,mockmass,0.5478014364601723,3.136219214919157,0.7063267934650471,4.794981557665997,4.219506255146397
583,24,1200,projection_xy,mockmass,0.6395062372379884,1.570346355592775,0.8657406833480681,4.421646464673152,3.5226997350131635
583,24,1200,projection_yz,mockmass,0.6252746243591899,1.5848228861448195,0.6718919598091361,2.679120733783599,3.9940767099449728
583,24,1200,projection_zx,mockmass,0.3825794758597935,3.0590798382905957,0.8618456738634444,4.599774524245357,3.723005482679847
1036,16,800,projection_xy,mockmass,0.6704126590117243,1.485078191470582,0.6166158372497612,3.3927348728459483,3.0533920931980267
1036,16,800,projection_yz,mockmass,0.5651185949288708,1.7142042661213368,0.826148619495377,2.4122654353955233,3.3805110200656103
1036,16,800,projection_zx,mockmass,0.39385591108951806,3.1182465923412344,0.6806063500218359,3.437257688773784,3.261370605754705
174,25,1250,projection_xy,mockmass,0.9515042857858034,1.456962887760415,0.7502393739816764,4.86202503901685,4.783748157532452
174,25,1250,projection_yz,mockmass,0.3404583118452466,1.5454575582080594,0.8477769522065667,4.751363040561868,5.224928644750618
174,25,1250,projection_zx,mockmass,0.324895860044762,0.006398650055802868,0.7214860244979504,4.821438500961271,5.253469544105509
