galaxyID,groupID,DistToHost,QuenchWilliam,Mstar_r80,<V-J>,<U-V>,sSFR
128.0,7.0,254.23041486318616,0.0,19552377743.815086,1.9345861946705345,2.3546369720574947,6.635773970724517e-11
131.0,7.0,160.65802037222994,0.0,22712540564.93429,1.8050281327013085,2.2549034577939238,5.396679763846832e-10
315.0,7.0,71.53562916374673,0.0,7173361786.5573015,1.6873542786573263,1.8777865823151707,1.0570772820691888e-10
570.0,7.0,231.48104684939912,1.0,2650233943.449525,1.1604692750642986,1.8116718009880675,5.576945384419725e-11
1105.0,7.0,199.61738065601207,0.0,352434995.4356525,0.5867805061434576,1.2591794355905528,7.495838370470782e-11
1291.0,7.0,297.01715364495493,1.0,44338171.14846876,0.6189183377184744,1.521936992691856,0.0
1343.0,7.0,256.61655234591075,1.0,199419290.99137223,0.8057466169422209,1.721245181758946,0.0
2368.0,7.0,200.70253900033185,1.0,66836480.04786557,0.5987328776712643,1.5096826110057524,0.0
4739.0,7.0,183.4924596006801,1.0,196580323.32854745,0.8755702402683152,1.8119291855945718,0.0
6635.0,7.0,150.61243485872043,1.0,12530264.811462102,0.5416364616324625,1.459120746933399,0.0
7368.0,7.0,192.9121822297939,1.0,7680983.695970744,0.502475791479652,1.4211925921489812,0.0
11010.0,7.0,200.7120488290449,1.0,4784605.593210188,0.49994504142930235,1.413590728772622,0.0
15000.0,7.0,239.35862549422933,1.0,6259396.03206124,0.5366314051633143,1.444521974448536,0.0
23.0,8.0,495.9302906365191,0.0,85988573327.22064,1.5640663578770944,1.5961342995079495,7.465045399435226e-11
168.0,8.0,474.24768024870224,0.0,13386472702.516987,1.6805118043223193,2.1661743294966427,2.2494775944073066e-10
270.0,8.0,254.21818815257103,1.0,3828154786.781639,1.5476214442379697,2.1473608357262886,1.9428056265964956e-11
332.0,8.0,255.1240164463784,0.0,5142022139.187632,1.6043576982357923,2.1931207809583206,1.633447230537673e-10
333.0,8.0,81.25248143694915,0.0,8709812127.893341,1.6611684348830877,2.1959275691613667,1.0179742589080037e-10
786.0,8.0,162.6506069205024,0.0,903271858.3248756,0.7415132349233637,1.3424695173089056,1.388755399506249e-10
3243.0,8.0,114.55426927999528,1.0,5068487.796366512,0.6015869551004981,1.4684262439567242,0.0
3299.0,8.0,299.92536079975645,1.0,24916981.277453884,0.586321944156729,1.4990535935203255,0.0
3468.0,8.0,213.8787220034473,1.0,38241259.875985056,0.5769369670828967,1.4829494319220118,0.0
6466.0,8.0,191.47167235483371,1.0,76397550.27323169,0.6983125751846266,1.5917030916372905,0.0
6815.0,8.0,131.13606691725994,1.0,18610529.38048322,1.0135283293876445,1.8026025632203346,0.0
9244.0,8.0,97.90577476391337,1.0,58259804.48757641,0.6370225350985516,1.551445096367279,0.0
14240.0,8.0,112.88676421893759,1.0,13786757.342478415,0.5677729036358657,1.4861893699101423,0.0
89.0,9.0,316.27289508448484,0.0,25022294465.99733,1.5373448586171357,1.7749299355799362,1.2155130111080563e-10
259.0,9.0,202.35767705277317,0.0,9856243758.202707,1.7323985409816534,2.079245405826924,6.774403490535852e-11
1117.0,9.0,382.9828755912584,1.0,412086906.7137977,0.7978922164454367,1.6877341834599224,0.0
1528.0,9.0,395.47426263520543,1.0,29115891.26073767,0.5330747547692164,1.4484077972300249,0.0
3117.0,9.0,240.1595475405645,1.0,179425966.98069283,0.8206927796638492,1.737668857345615,0.0
3274.0,9.0,231.34214053536485,1.0,9485443.831028538,0.49348816310755755,1.4082998114073189,0.0
4661.0,9.0,234.21429888655342,1.0,145005390.91432247,0.8294935246670327,1.7509217779002413,0.0
6107.0,9.0,72.32788439714548,1.0,694334456.3868395,1.461285396676038,2.2925257764935565,0.0
397.0,10.0,360.94830633858993,0.0,1141517886.004506,0.43251360212945283,0.8344312679835207,1.2525388758452804e-10
482.0,10.0,393.13644735487287,0.0,2008512065.2615266,1.2984897505034105,1.7828113725335921,0.0
10928.0,10.0,36.2357363156242,1.0,262251697.68934733,1.276658303052167,2.1215222995915113,0.0
338.0,11.0,367.04101777272797,0.0,3055657582.5565968,1.4986443071650797,1.9063904652359185,3.714160377382356e-11
707.0,11.0,344.0716741344445,0.0,1255146156.6677835,0.9623992313261063,1.5262010651066735,2.8477174996506024e-11
890.0,11.0,168.28796191571269,1.0,961375499.9338976,0.8995486482790819,1.7712218143620497,0.0
1094.0,11.0,221.83900906153985,1.0,42235369.12334752,0.6388056399831447,1.547753364340532,0.0
1446.0,11.0,316.30312781636525,1.0,512842809.4296878,0.8956095755361577,1.8185649332010414,0.0
1917.0,11.0,382.15899805416655,1.0,46247394.07035256,0.5539927816849595,1.4750007286191,0.0
3934.0,11.0,395.70010593093764,1.0,5456831.259451686,0.4807349160938313,1.3810772457046738,0.0
5701.0,11.0,112.8927792771922,1.0,5484025.825704149,0.5282841869892962,1.4152646152448831,0.0
6438.0,11.0,163.5048519725511,1.0,5721583.515708079,0.5118768897735523,1.4218488149277142,0.0
190.0,12.0,144.69889762001645,0.0,12042514824.175028,1.5791946839956605,1.793953869833313,9.01141669019216e-11
242.0,12.0,190.318956867098,0.0,7723961007.4094095,1.7181724172903994,2.198681202643872,7.632967942286957e-11
469.0,12.0,948.4685312040756,0.0,1860892390.2278225,0.8995789889588023,1.409089087814947,3.3299850336472634e-11
3307.0,12.0,165.18413756500877,1.0,149765885.11355034,0.8275200102642847,1.7419291679101552,0.0
4045.0,12.0,120.71756419480243,1.0,19716494.12060489,0.5240412972180071,1.4521965194689586,0.0
