bins,sdss,gama
0.025,0,0
0.075,0,0.013513513513513153
0.125,0.04729729729729737,0.14864864864864824
0.175,0.31756756756756754,0.5000000000000004
0.225,0.6689189189189189,0.7770270270270268
0.275,0.9121621621621623,1.060810810810811
0.325,1.1689189189189193,1.054054054054054
0.375,1.1756756756756754,1.1418918918918917
0.425,1.1554054054054053,1.0675675675675675
0.475,1.2162162162162158,1.2432432432432434
0.525,1.310810810810811,1.304054054054054
0.575,1.358108108108108,1.2297297297297298
0.625,1.445945945945946,1.493243243243243
0.675,1.560810810810811,1.5202702702702702
0.725,1.5675675675675675,1.5472972972972974
0.775,1.5675675675675675,1.5337837837837838
0.825,1.493243243243243,1.3716216216216215
0.875,1.3175675675675675,1.2364864864864868
0.925,1.054054054054054,1.1554054054054053
