galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat,flag
1229,20,1000,projection_xy,band_g,0.5450556127569488,2.6233211998237604,0.9319914203078532,3.679690273835281,6.041047647485272,148031000.0,none
1229,20,1000,projection_yz,band_g,0.5156640086568065,2.164520652703141,1.2416180611021908,4.174485997703697,5.945282340566075,148031000.0,none
1229,20,1000,projection_zx,band_g,0.9053478526877684,0.8012263142557735,1.406359095968051,3.089801054210392,5.939782207614253,148031000.0,none
584,25,1250,projection_xy,band_g,0.4633439321360471,2.480689016488553,2.7761690858715697,10.84322288895432,6.227437237969401,419207000.0,none
584,25,1250,projection_yz,band_g,0.3859043784364269,1.460143817706972,2.428759734530808,7.420373230784352,6.614950018823102,419207000.0,none
584,25,1250,projection_zx,band_g,0.3979115255854396,3.072992485413645,0.685171926681636,3.729598160003152,7.301766687131312,419207000.0,none
675,19,950,projection_xy,band_g,0.39901163197141,2.543022909603841,0.6132875667696864,3.6115924347984594,6.8476700757534,366016000.0,none
675,19,950,projection_yz,band_g,0.5301236164669361,1.442229473572399,0.6612188178723535,3.096554199531728,6.855272750033946,366016000.0,none
675,19,950,projection_zx,band_g,0.7367041210587446,0.1394165602308494,1.075925762572494,2.588480054624936,6.8022065745014295,366016000.0,none
195,28,1400,projection_xy,band_g,0.9999999892547372,1.6986075691551186,2.4623507594911542,7.662493604628146,6.532665387202405,3262370000.0,fit
195,28,1400,projection_yz,band_g,0.3158742348896204,1.4526198199105311,0.531972681454805,4.455658515630459,7.468288040762187,3262370000.0,none
195,28,1400,projection_zx,band_g,0.4680502902653277,0.0303228079775168,3.885006512399044,11.86670987781294,6.405842327694495,3262370000.0,none
678,22,1100,projection_xy,band_g,0.9047702352472214,1.9404122208243493,0.5400202509704057,0.4138264671827075,7.589354809171062,97864000.0,fit
678,22,1100,projection_yz,band_g,0.6460344335345811,1.6952831175835503,2.1686838994608744,2.065978827351165,6.664444237732459,97864000.0,none
678,22,1100,projection_zx,band_g,0.6096204177446135,0.0067567306268325,2.226531018205256,2.208662473980664,6.618497593701249,97864000.0,none
663,19,950,projection_xy,band_g,0.6998174554439545,1.4203746052737891,0.4838529474159483,2.3378132857311056,7.091456683474656,287609000.0,none
663,19,950,projection_yz,band_g,0.4817231051311365,1.6056732578624788,0.496609353214516,1.6677085868773676,7.466032710973347,287609000.0,none
663,19,950,projection_zx,band_g,0.3296115938197635,3.0358793389977787,1.0090853609499053,2.7883796719912834,7.163181730723494,287609000.0,none
1357,25,1250,projection_xy,band_g,0.954125905008798,2.748459083397106,0.5234240344548984,0.465838600549678,7.71678025274911,54841600.0,fit
1357,25,1250,projection_yz,band_g,0.8431682961682134,1.8615388803815816,0.6044994803408315,0.529502128574739,7.722250763694459,54841600.0,fit
1357,25,1250,projection_zx,band_g,0.9545418737618954,3.0976855066979025,0.5182523347235172,0.4484893295614957,7.753128236063065,54841600.0,fit
812,20,1000,projection_xy,band_g,0.7063096776313031,1.3289474643996904,3.1625128043308743,4.603151393715231,5.891162529950681,176346000.0,none
812,20,1000,projection_yz,band_g,0.6613620966842929,1.6196521026115518,1.5499521526020397,1.7724912504896204,6.774993806017779,176346000.0,none
812,20,1000,projection_zx,band_g,0.4937107201624874,0.044610071734248,2.782986778927311,4.221800724970795,6.125601250545705,176346000.0,none
9,74,3700,projection_xy,band_g,0.9514248494578836,1.995963047248632,0.360000000441389,27.65105172964226,6.305728355692828,205162000000.0,fit
9,74,3700,projection_yz,band_g,0.4844602558379264,1.6422310699799625,0.7957940829243249,36.17971123349104,6.116179048121924,205162000000.0,none
9,74,3700,projection_zx,band_g,0.4904879929752355,3.1113773473663806,0.7315568425723353,36.175159138512825,6.128344315432839,205162000000.0,none
301,27,1350,projection_xy,band_g,0.3479451788363247,2.586657167604448,0.3600000020904665,3.43197761062401,7.970462865843905,745914000.0,fit
301,27,1350,projection_yz,band_g,0.7306052402835459,1.0978258128767728,0.6942524653755371,2.469542107377497,7.862944284832609,745914000.0,none
301,27,1350,projection_zx,band_g,0.742192808764883,2.8356672107099232,0.3604916288808087,2.0885961382821665,8.084736996130648,745914000.0,fit
864,16,800,projection_xy,band_g,0.5508744356009694,1.6544369312044411,1.2727071019205525,3.3474902326789078,6.1404071726359,105092000.0,none
864,16,800,projection_yz,band_g,0.6232023080836945,1.538814751583682,1.1093601071648442,1.8356289572547744,6.597652560542104,105092000.0,none
864,16,800,projection_zx,band_g,0.3400622067198817,0.0211183749719948,0.5828356779960231,2.604356206280989,6.615061604238512,105092000.0,none
460,25,1250,projection_xy,band_g,0.6514988352817631,1.6409773117683368,0.91534331033753,5.702408721114036,6.63063064563085,932780000.0,none
460,25,1250,projection_yz,band_g,0.3308388040129101,1.1853430477193625,0.8709717008738052,4.588473847791666,7.035029445870035,932780000.0,none
460,25,1250,projection_zx,band_g,0.3804157910232684,0.0022390942884927,0.5919258361152464,5.557912266452809,6.9199699665415455,932780000.0,none
583,24,1200,projection_xy,band_g,0.59490170918552,1.9333812485293465,2.602432695505374,4.240559160656606,6.287754351543152,209937000.0,none
583,24,1200,projection_yz,band_g,0.6381460787407769,1.5058370866061734,2.042954592461351,2.535661139755543,6.76267221283184,209937000.0,none
583,24,1200,projection_zx,band_g,0.3996688477284298,0.0703581920595402,2.1480860313292647,4.312079069335426,6.527038256414608,209937000.0,none
1036,16,800,projection_xy,band_g,0.558442468603749,1.5428938490519892,0.5034639508532445,2.927014484448887,6.01257386420957,39099900.0,none
