galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat
590,10,500,projection_xy,band_u,0.8703706827849275,2.8433203857343656,0.6146874064480357,0.7592579152654,7.515280008003655,29554100.0
590,10,500,projection_xy,band_r,0.4238653195408934,3.089434587419346,0.391386513871887,1.9596844307080743,6.48054628043958,29554100.0
590,10,500,projection_xy,mockmass,0.6011017172169211,0.2197572436712704,0.683925202217389,1.894718446908933,3.3167716747203486,29554100.0
590,10,500,projection_yz,band_u,0.9077372072054248,1.2052607560335045,0.5911142494589889,0.7234402540396642,7.534830609463666,29554100.0
590,10,500,projection_yz,band_r,0.4473391740676931,1.4873682479590085,0.3616060810691552,1.926352565229697,6.493550253599774,29554100.0
590,10,500,projection_yz,mockmass,0.6748962351435774,1.7102582928383412,0.7763859209523355,1.9476533802855585,3.237525815893055,29554100.0
590,10,500,projection_zx,band_u,0.9039651051772556,2.0397835992452182,0.5453707523186413,0.721493238684609,7.620099765578966,29554100.0
590,10,500,projection_zx,band_r,0.8434656739211163,2.101621838625681,0.6860030270723751,0.980233099899851,6.704973539743804,29554100.0
590,10,500,projection_zx,mockmass,0.9122925026059604,1.923127605794203,0.6664330229897789,1.308038770608535,3.468276116692151,29554100.0
701,24,1200,projection_xy,band_u,0.6532252227841767,1.2523816116592157,1.082859763192088,2.1566315697934497,6.767087990650776,33556800.0
701,24,1200,projection_xy,band_r,0.5817386000209404,1.284092573169327,0.7782507766547934,2.1117773443223977,6.367969807290167,33556800.0
701,24,1200,projection_xy,mockmass,0.4862386346229269,1.217647836665271,0.6470181115826765,2.936287312313993,3.198669031892358,33556800.0
701,24,1200,projection_yz,band_u,0.780219983831482,0.3774489059779415,1.4555384327235097,2.117160896359565,6.673346901724202,33556800.0
701,24,1200,projection_yz,band_r,0.6324040148540089,0.3526818417358733,1.17850985255033,2.158747390176432,6.264312503374201,33556800.0
701,24,1200,projection_yz,mockmass,0.4839629815776513,0.3064418916947422,0.7642977412167751,3.1165200805860493,3.131218318455058,33556800.0
701,24,1200,projection_zx,band_u,0.7283604368542009,0.1710528874197946,0.6112985105382336,1.8978147406707984,6.893724908213997,33556800.0
701,24,1200,projection_zx,band_r,0.7272951380212695,0.447152143510494,0.7084874074547794,2.133918351141984,6.273383058159187,33556800.0
701,24,1200,projection_zx,mockmass,0.618953701342604,0.822684064608519,0.6661049695030988,3.4998954161655944,2.946436345494813,33556800.0
802,20,1000,projection_xy,band_u,0.6634994699870215,1.6884323916591568,0.707971635748764,3.2123412553302773,6.583612525563908,44503800.0
