sim
348.0
20747.0
413.0
471.0
92.0
1251.0
484.0
12682.0
660.0
381.0
787.0
98.0
25513.0
1004.0
162.0
231.0
500.0
15000.0
499.0
893.0
328.0
564.0
399.0
748.0
372.0
359.0
30409.0
26.0
2739.0
23.0
96.0
18.0
1162.0
89.0
11010.0
315.0
125.0
433.0
404.0
1105.0
29309.0
929.0
445.0
280.0
46322.0
23231.0
975.0
479.0
781.0
65.0
22246.0
2731.0
153.0
868.0
406.0
181.0
159.0
296.0
676.0
565.0
462.0
786.0
905.0
2174.0
1077.0
665.0
2908.0
573.0
955.0
931.0
974.0
819.0
0.0
1.0
3.0
4.0
5.0
6.0
7.0
8.0
12.0
13.0
14.0
15.0
16.0
17.0
19.0
21.0
22.0
24.0
25.0
27.0
32.0
33.0
38.0
40.0
43.0
47.0
48.0
51.0
53.0
57.0
61.0
63.0
66.0
68.0
69.0
74.0
76.0
78.0
79.0
80.0
83.0
85.0
88.0
99.0
105.0
106.0
107.0
111.0
112.0
113.0
121.0
122.0
123.0
124.0
126.0
129.0
132.0
133.0
135.0
136.0
140.0
141.0
142.0
145.0
146.0
154.0
157.0
158.0
160.0
167.0
172.0
179.0
184.0
185.0
186.0
192.0
198.0
199.0
204.0
212.0
216.0
222.0
224.0
229.0
230.0
234.0
239.0
243.0
244.0
245.0
247.0
249.0
255.0
263.0
266.0
267.0
268.0
275.0
277.0
283.0
284.0
287.0
290.0
294.0
297.0
298.0
306.0
307.0
309.0
312.0
318.0
320.0
321.0
331.0
334.0
335.0
337.0
339.0
341.0
342.0
345.0
351.0
356.0
358.0
363.0
364.0
385.0
390.0
394.0
395.0
402.0
409.0
410.0
415.0
419.0
422.0
423.0
429.0
435.0
442.0
455.0
456.0
463.0
468.0
470.0
472.0
474.0
485.0
486.0
494.0
507.0
510.0
515.0
518.0
520.0
522.0
524.0
547.0
548.0
555.0
561.0
572.0
577.0
578.0
579.0
584.0
586.0
593.0
594.0
599.0
603.0
604.0
606.0
610.0
621.0
622.0
629.0
641.0
644.0
645.0
656.0
667.0
669.0
673.0
680.0
689.0
690.0
692.0
694.0
718.0
719.0
721.0
728.0
745.0
750.0
758.0
759.0
761.0
763.0
770.0
771.0
774.0
776.0
782.0
792.0
798.0
818.0
820.0
826.0
835.0
845.0
857.0
861.0
1155.0
1317.0
