n_1D,reff_2D,Ie_1D,reff_1D,theta_2D,pixel,y0_2D,sim,view,ellip_2D,FOV,x0_2D,n_2D,Ie_2D
0.46427643942429425,0.6900050428738763,10054714.045793056,0.712577528696153,0.2648088952733558,950,-0.011876345819320778,804,projection_xy,0.4312823547297598,19,-0.9650149629749476,0.5488099911796074,8596567.76325194
0.9651413256555049,1.7053264779333182,7095762.277299481,0.8745465463337181,0.3240120921104616,950,-0.24053180613321867,804,projection_yz,0.07741096037513577,19,-0.06526770368460917,1.8610622016595308,2089964.4997926482
0.7965016255015367,3.5734578707065077,4489288.782846963,2.1609958791247292,1.4818598416100552,950,0.5783055420141432,804,projection_zx,0.7377287106719183,19,0.39296744975943776,1.480030572798868,1853531.4751410307
0.7804049582711222,0.9416034891897722,984842.0700796276,0.8407971504384691,0.5390867458566575,400,-0.34597370093910496,2414,projection_xy,0.15160295338947014,8,-0.44635960315386236,0.9783352964862019,741748.1785880355
0.699222838300819,0.929255859842337,1063772.9470516187,0.79317633989822,1.8348214303748058,400,-0.12065509997029097,2414,projection_yz,0.14900260435831447,8,0.2780246674536973,0.9703907632785473,736890.1043222352
0.538890877544691,0.9781458971882009,1142715.6197022456,0.8231392232017328,0.803649668275316,400,0.45427310812273425,2414,projection_zx,0.22886772959207202,8,0.1604936007655664,0.8513080051785462,767574.7662836012
0.5775074460982172,0.3445768600261001,20130279.27244642,0.2824866911013785,2.2051069713625804,400,-0.9922495884219724,1120,projection_xy,0.14080127328504013,8,-0.09196323084309059,0.9842213099142376,11279439.829196585
0.6547547960299447,0.3483064180610605,20524855.83886194,0.3069791607773973,3.045721814002452,400,0.24336422383605955,1120,projection_yz,0.24110024272468716,8,0.9938049958461582,0.9541641399947933,13186903.48418201
0.6484362866565493,0.3326225399842507,19959662.269175205,0.3509733428183254,1.630537856519818,400,0.1559336944898307,1120,projection_zx,0.3168939006521333,8,-0.2468963027880891,0.618601292625731,18649676.5445693
0.4335281878341388,0.16093199363188374,291355335.3841448,0.20723151352796798,0.37362806047078695,850,0.6337792163976566,668,projection_xy,0.0754048734716704,17,0.11944827610349451,0.536703755014056,249905925.847392
0.46723592061122066,0.16276933156680048,239148207.0556621,0.2112047576465513,1.980738181927043,850,-0.6410970330577275,668,projection_yz,0.06418083662832962,17,-0.6513405687272823,0.5180960162814916,214656036.36108193
0.563447492308128,0.1798484877538803,227461889.78868896,0.22255927348225935,1.1987080900108973,850,-0.12465725790745016,668,projection_zx,0.17271840985222434,17,0.6700681270039089,0.617314122002716,189490181.08482817
0.6453791946254084,1.1507747670958708,1262553.1050877692,1.0442007689768076,2.4575661140979506,500,-0.03996688097327183,1230,projection_xy,0.2905378169241081,10,0.5203083353704704,0.837983451355885,969786.1063897839
0.6031812695529873,1.0895866337323643,1558993.2902462033,0.9776456634963087,0.6882055908042837,500,-0.4013249702322956,1230,projection_yz,0.358960193952051,10,0.04889912149442288,0.8210489780866783,1165170.3757361798
0.7271158144118617,1.0210803020249961,1217258.4903612912,0.9781715567754659,1.4010960634385583,500,-0.4860344044391688,1230,projection_zx,0.11832096884439809,10,0.40848857425182,0.8285956522461839,1030211.4488130038
0.813236380415692,2.610878730621023,132462.61700727424,2.532855946520073,2.267382128343524,900,-0.04207246033425707,4302,projection_xy,0.10426869012948338,18,-0.5634598096838095,0.8462055681258642,120571.76535193295
0.5392775788082432,2.505105594811552,199225.92636469268,2.141404440609347,2.4975958615015763,900,0.05490324194096063,4302,projection_yz,0.17814258412838296,18,0.044863145736579395,0.7532740028850432,145784.36566734416
0.6695063774642975,2.5708161366936175,166641.50424157802,2.3226902332656154,2.2258085086560406,900,0.5663503461358173,4302,projection_zx,0.17000452369475824,18,0.01286074272862614,0.802388121133642,134494.49868648784
0.5562873814176915,0.4591404369179061,4720554.018403259,0.4441995285745751,0.0034017506623875704,400,0.32632397530399765,1091,projection_xy,0.32369778457514853,8,-0.3543535148798375,0.6819916234366536,3824830.562910328
0.5818855300804576,0.3855971728231454,5593982.573053048,0.37193606279439545,1.3621970775851047,400,-0.10874225395485287,1091,projection_yz,0.1603704371077895,8,-0.323906535456822,0.7511736263142071,4338357.016129891
0.6448338802865683,0.5162036832794318,3607011.806714576,0.5001029405670081,1.1622177916561682,400,0.36834974394374287,1091,projection_zx,0.2905656104079905,8,0.12903727995450062,0.7543522893580455,2978603.769861243
0.9656847328813495,1.4593519118406888,347719.4327720863,0.8598387937049623,1.2697137906956044,600,0.12758313474398286,2214,projection_xy,0.19571687580725092,12,0.40145705798838527,1.6393920709127592,136640.7871879544
1.1469522459772261,1.4365127811832372,296456.2308646306,0.9784066084233982,0.10081097780140169,600,0.16956819468931478,2214,projection_yz,0.20900888343444854,12,-0.13357081398856702,1.601407807340117,149096.70897827775
0.98962613100857,1.1872250371685356,369236.24407101475,0.8669969582107198,2.1965383921869694,600,-0.3931100424859279,2214,projection_zx,0.1047225206251422,12,-0.13929575400429628,1.416659408674943,199239.98857370112
0.39772391807224267,1.2300207743514024,668850.3299292667,1.1610291906155115,0.3812899704106556,400,-0.26898262217856056,1238,projection_xy,0.460753497091135,8,0.30086748758695087,0.5037643651287496,571296.230814925
0.5417288591276872,0.9038703038768565,800430.3278671734,0.8109544784408613,0.6418759307599942,400,0.18612626243491096,1238,projection_yz,0.18732426844598782,8,0.2555166815438269,0.7616513457612292,600401.2769032868
