galaxyID,FOV,view,band,pixel,Ie_1D,reff_1D,n_1D,Ie_2D,reff_2D,n_2D,x0_2D,y0_2D,ellip_2D,theta_2D
49,19,projection_yz,band_g,950,2480721.8690434285,8.996835514325218,0.22881446368661426,2264727.612389324,9.838608197125756,0.29194741791133605,0.00037699107858311416,0.0545621750492432,0.3487483265735447,0.8686406796965401
49,19,projection_yz,mockmass,950,4505693.225697514,1.7481448983014818,0.8399510376754874,3113757.067524237,2.038017698347402,1.1007045688525272,0.11321998074223705,0.14548597864520024,0.6066897450621717,0.8909396674359317
49,19,projection_zx,band_g,950,2396059.775493954,9.160715314181079,0.30724162086922074,2254481.462501592,9.540458109690864,0.3237941864876631,0.13631201933764284,0.021341534441035304,0.16627006130624916,1.8032201024666712
49,19,projection_zx,mockmass,950,2505532.8981091958,1.4541634241146508,0.9594907520425376,1523802.1849931702,1.817937075036796,1.3024047720060925,-0.14377888391809635,-0.003724048006525029,0.0320680663116058,0.9733090663018232
50,16,projection_xy,band_g,800,16969.801063735384,99.9999999996174,7.299634015514723,451458.0914973453,22.03976778829723,2.3021341547368017,5.25872817902503,-0.059550701030772826,0.5128822623093832,2.6269283806194816
50,16,projection_xy,mockmass,800,2412730.2754996163,1.677071715042146,0.7914710318204383,1628282.7651651425,1.9780137512558236,1.0729053330974738,0.1390642984966037,-0.28979688735710746,0.3628224812923553,2.368368123651731
50,16,projection_yz,band_g,800,3117029.022040612,6.388421268073598,0.17006002886509464,3481052.5662440574,8.435585360339648,0.13653381803282424,0.5775643550676175,1.0475875876337124,0.4374162469956681,1.0355118351845078
50,16,projection_yz,mockmass,800,2354775.5797607745,1.8814995743982368,0.7333359632717706,1614722.6845692704,2.206468289166915,1.0132771741349824,0.2995065647444782,0.7106111740205154,0.4677905676753425,0.9239566419143764
50,16,projection_zx,band_g,800,3292791.3369539105,3.706929392493113,0.1638141556683765,3429879.9788501943,7.946657032669921,0.12255061589347968,-1.0027306048026765,-0.35656655892878425,0.19326936844383447,2.4349617540838158
50,16,projection_zx,mockmass,800,1907825.9816294096,1.49428669599174,0.7969979082669689,1232162.746225333,1.795740988750398,1.112339446084022,-0.7138476566953219,-0.1452214062861774,1.4467708081053892e-23,1.6830828768276902
51,18,projection_xy,band_g,900,1761586.4189791617,9.151395418635492,0.5197463257696411,1965434.4204868225,8.750252754055014,0.3873531631173405,0.10517494418128982,-0.3634648491739029,0.044976289925343214,0.41396106302388347
51,18,projection_xy,mockmass,900,2846825.453159914,1.4290608020983941,0.9080501335194804,1696536.6464150844,1.8052129414141764,1.2721170428502773,-0.11497669434620288,-0.22331446677880812,0.2868506794008149,0.6158889313369399
51,18,projection_yz,band_g,900,2161292.1982179517,8.55556859894824,0.21355796249542744,1975724.601216304,9.533899428603293,0.27558807844172833,-0.023236992609076416,0.053996577597606205,0.3750141743100065,0.3769464358204502
51,18,projection_yz,mockmass,900,5043406.625902459,1.3662593891877135,0.9551258710180413,3321791.6393453265,1.620629559650085,1.220547980699804,0.2252163128601616,0.15704443736377624,0.5335546849371353,0.4337960374149163
51,18,projection_zx,band_g,900,2194089.191618852,8.750832302492741,0.2876831689261585,2042025.5878801781,9.196432529616525,0.31468595495128426,0.21018222195069536,-0.07246380058009902,0.3127103524136053,1.4414091207324304
51,18,projection_zx,mockmass,900,4026620.656121602,1.3471952752986658,0.8968462824434951,2470621.4221980227,1.6636850473834788,1.233965583237609,-0.1588034673960706,0.12660886884678946,0.4050668068530967,1.6536079805901198
52,22,projection_xy,band_g,1100,7724693.2740910435,6.839035412867969,0.34798109532502863,7153087.250631427,7.086378936003617,0.38841654642305584,1.5019016942799852,2.4700431450141944,0.4695468316992494,0.3350431568715564
52,22,projection_xy,mockmass,1100,343387.4676925584,2.6372358715472006,1.0586668360743443,246483.0087201405,3.1187756129938284,1.269893884746412,0.5999719935656639,1.553067586892175,0.31525456279812136,0.2325332227018144
52,22,projection_yz,band_g,1100,586056.2843595394,27.120937290893416,4.173400921016567,880497.6261644863,22.176040670226026,3.4037297388192718,-1.7936444732074668,0.4551088214669742,0.6516023633979952,1.1355094782265986
52,22,projection_yz,mockmass,1100,422901.8662155575,2.789100226232607,0.8851907747510941,288328.07093013177,3.3873596239037957,1.1612290012400903,-1.5718559384798638,-2.6798273584292702,0.4934807377824319,1.137117058066174
52,22,projection_zx,band_g,1100,38516.57465434658,99.99999995273924,7.854989510924742,65899.60081309303,99.9999998911129,5.769439464839256,-0.3943521749503751,-5.806650914480474,0.4521709261955349,0.7829492381680924
52,22,projection_zx,mockmass,1100,248979.42659790665,2.8601062529144485,1.005112286782397,171079.89630740735,3.5151741772214264,1.2528609014541243,2.6836611300253206,-0.5730365875688488,0.2061977475548853,0.6589858458298751
53,16,projection_xy,band_g,800,2033985.524685829,7.918633682336072,0.430648963000928,2069363.052461503,7.892650167026946,0.376962123743508,-0.6597529484739968,0.9925078767215084,0.21200212731091245,1.0337203987596943
53,16,projection_xy,mockmass,800,2588927.0841723727,1.7010280136464415,0.8068339894925388,1707239.1836872397,2.03303313033182,1.112139239707906,-0.22354741143236892,0.6168055179731562,0.3804525024823249,1.5787662493335797
53,16,projection_yz,band_g,800,2046807.67168542,7.809872293750094,0.380754634320421,1974669.0041927889,7.967808314574072,0.3769626270369254,-0.3683653157184024,1.2305723706097544,0.2343515214909734,2.6568318469760825
53,16,projection_yz,mockmass,800,2664377.056904558,2.0414667558654416,0.8008143329601378,1482637.0331435348,2.6986824887695002,1.2414053368968252,-0.6205666717667514,0.7177977661670903,0.5688997894900474,2.5140762277354973
53,16,projection_zx,band_g,800,2200835.209985804,7.492915665095247,0.308167114131257,2074519.39345132,7.7895644375591875,0.3185361350121416,-1.0070180100845092,-0.013853942315809656,0.2639386383028067,2.3034250735447444
53,16,projection_zx,mockmass,800,3261251.604148928,1.5008474664075222,0.8633343125519386,2258804.590250914,1.7342426708206664,1.1089617152347668,-0.7233315161973299,0.22066401242177816,0.3600721336048835,2.6997824255463807
54,29,projection_xy,band_g,1450,6350988.922801978,5.125471255165649,0.16421203351279715,6391195.885465072,9.794946110659492,0.17690152510612642,1.8239435417887184,1.3182882053361191,0.28080701315094125,3.067580607015831
