lum_V,mag_U,lum_U,pixel,mag_V,sim,lum_J,mag_J,FOV,view
6076108.3904,-10.725032016602267,6699043.6352,900,-12.149063781365921,7019,7687326.1056,-12.644438261883064,18,projection_xy
6076020.326400001,-10.725008117656607,6698896.1792,900,-12.149048045147953,7019,7687295.7952000005,-12.644433980919427,18,projection_yz
6076073.984,-10.725024382274029,6698996.5312,900,-12.149057633289303,7019,7687313.817600001,-12.644436526359296,18,projection_zx
30907472.281600002,-12.617282139888008,38274793.472,700,-13.915158721082598,1447,37325976.3712,-14.360027942002603,14,projection_xy
30872131.9936,-12.615119118334121,38198617.7024,700,-13.913916555976375,1447,37314160.2304,-14.359684180253005,14,projection_yz
30881680.588800002,-12.61579183147208,38222292.5824,700,-13.914252316803513,1447,37316922.5728,-14.359764553605295,14,projection_zx
284922111.59040004,-14.443494002139754,205777364.58240002,1750,-16.32681538572651,1219,570495808.3072001,-17.320631144515993,35,projection_xy
285093422.6944,-14.443137438851881,205709796.9664,1750,-16.327467994865387,1219,570688746.2912,-17.320998271385445,35,projection_yz
285535292.6208,-14.447231105077982,206486870.42560002,1750,-16.329149488487776,1219,570858877.7472,-17.32132189850152,35,projection_zx
771367108.608,-16.316226614815903,1154757112.6272001,1250,-17.408152791100168,643,922917902.7456,-17.84290767626381,25,projection_xy
777996887.6544,-16.335787490317824,1175750023.5776,1250,-17.417444649038412,643,924778600.8576001,-17.845094429321254,25,projection_yz
774925398.8352001,-16.330027517545215,1169529031.8848,1250,-17.413149738737822,643,923532787.712,-17.843630796461827,25,projection_zx
728688859.5456,-16.045825111378566,900181419.6224,900,-17.346355324817694,640,1466232523.9808002,-18.34550712200089,18,projection_xy
593115427.6352,-15.65245712272436,626589119.2832,900,-17.122848051736078,640,1362797631.8976002,-18.26607842558217,18,projection_yz
655837940.9408001,-15.868998056256263,764890421.6576,900,-17.231991343674924,640,1398442714.7264001,-18.2941117019963,18,projection_zx
866571255.8080001,-15.358104907083856,477795398.4512,1000,-17.53451069844388,279,3247659863.2448,-19.208926345102682,20,projection_xy
916020789.248,-15.39148832579724,492714485.35040003,1000,-17.59476332541754,279,3446113147.2896004,-19.27332383167498,20,projection_yz
725427630.8992001,-15.143290147517455,392027072.1024,1000,-17.34148523363391,279,2687661558.9888,-19.003436449349586,20,projection_zx
2348504.0640000002,-9.630818966000732,2445274.3168,1150,-11.116978290126408,9293,3369059.1232000003,-11.748771581069757,23,projection_xy
2348559.7696,-9.630859249051666,2445365.0432,1150,-11.117004043060103,9293,3369084.5184,-11.748779765071028,23,projection_yz
2348597.4528,-9.630896984639719,2445450.0352000003,1150,-11.117021463815941,9293,3369090.2528000004,-11.748781613062778,23,projection_zx
2021078.8352,-9.519483346174205,2206954.2912000003,600,-10.95395813537731,20512,2594609.9712,-11.46518020691941,12,projection_xy
2021064.0896,-9.519470248116312,2206927.6672,600,-10.953950213919764,20512,2594604.2368,-11.465177807309203,12,projection_yz
2021059.9936000002,-9.519464706582712,2206916.4032,600,-10.953948013504636,20512,2594603.6224,-11.465177550207795,12,projection_zx
515236534.68160003,-15.631026098336736,614342328.32,1550,-16.97001662660172,786,819051626.496,-17.713278192727344,31,projection_xy
526665960.6528,-15.686946945742982,646813057.024,1550,-16.993838125121083,786,823587504.128,-17.719274371669787,31,projection_yz
507580724.0192,-15.572235957934144,581961672.2944,1550,-16.95376280221777,786,816285116.0064,-17.709604694313537,31,projection_zx
30944067.584000003,-12.230158494296582,26795594.5472,1150,-13.916443502333394,2629,50711399.628800005,-14.692763992977657,23,projection_xy
30936534.2208,-12.229740775432994,26785287.3728,1150,-13.91617914662347,2629,50707677.184,-14.69268429213205,23,projection_yz
30951768.064000003,-12.230630334567216,26807241.932800002,1150,-13.916713655886877,2629,50714850.0992,-14.692837865385407,23,projection_zx
965379149.0048001,-16.422501179837813,1273504464.8960001,1050,-17.65174478590124,462,1659636600.0128,-18.480032509427538,21,projection_xy
930444476.416,-16.382147141386714,1227040384.6144001,1050,-17.611726155097344,462,1637788470.4768,-18.4656445237244,21,projection_yz
929252245.5040001,-16.36011664507477,1202393605.7344,1050,-17.610334048064335,462,1639997610.3936,-18.46710803811676,21,projection_zx
1053373025.4848001,-16.50172495153415,1369903516.8768,1000,-17.74645548214617,565,1992175910.9120002,-18.678319210928688,20,projection_xy
945675357.3888,-16.266470188369553,1103031907.1232,1000,-17.62935518061255,565,1908510241.5872002,-18.631736237085434,20,projection_yz
1248538604.3392,-16.743178615868224,1711084457.1648002,1000,-17.93100493778829,565,2119993550.4384,-18.74583634924019,20,projection_zx
153476530.176,-14.387268944056611,195392359.6288,1000,-15.655104930080835,988,195270829.67040002,-16.156593428760218,20,projection_xy
153114601.0624,-14.383980450393135,194801447.7312,1000,-15.652541517870294,988,195127227.1872,-16.155794682867935,20,projection_yz
153261454.13120002,-14.385255364839207,195030325.65760002,1000,-15.653582354470178,988,195182565.7856,-16.15610255687616,20,projection_zx
1527695015.936,-16.315913052821433,1154423665.4592001,1100,-18.15009165438776,183,5734464592.2816,-19.826232188778764,22,projection_xy
1634381647.0528002,-16.417714780144433,1267902657.3312001,1100,-18.223383692081587,183,6002953735.3728,-19.87591249067782,22,projection_yz
1211467667.8656,-15.962213344307553,833461105.4592,1100,-17.898279570007727,183,4678996511.9488,-19.605381803597062,22,projection_zx
2072526.2336000002,-9.565943069052313,2303441.7152,550,-10.981250091162671,5701,2702907.392,-11.509577914993784,11,projection_xy
2072696.4224,-9.566094712238453,2303763.4560000002,550,-10.981339244463829,5701,2702968.2176,-11.509602347874178,11,projection_yz
2072699.6992000001,-9.566098669542804,2303771.8528,550,-10.981340960941722,5701,2702968.832,-11.509602594668149,11,projection_zx
17750078.2592,-11.892769047091488,19638468.608000003,750,-13.313000680444514,2920,22466024.2432,-13.808815557993636,15,projection_xy
17734256.2304,-11.89112266912321,19608711.9872,750,-13.312032447510944,2920,22460412.7232,-13.808544331033705,15,projection_yz
17737765.6832,-11.891514592412094,19615791.5136,750,-13.312247283867638,2920,22461521.92,-13.808597948275875,15,projection_zx
1180587209.5232,-15.586669723125585,589749918.1056,1000,-17.870245184415243,173,5575596939.6736,-19.79572842760896,20,projection_xy
1046518169.6,-15.47109131516438,530196096.6144,1000,-17.73936693235212,173,4833281468.0064,-19.640605217954068,20,projection_yz
1403908941.4144,-15.77672689662986,702571872.256,1000,-18.058347350104608,173,6565823040.716801,-19.973222934075043,20,projection_zx
430060155.69920003,-14.855590929641938,300771285.4016,800,-16.773823019535964,482,1302382352.7936,-18.216846257299,16,projection_xy
656750149.6320001,-15.559756546923559,575310921.728,800,-17.233500451016205,482,1576689939.2512,-18.424365741071455,16,projection_yz
589125228.9536,-15.359060930258305,478216296.85760003,800,-17.115519053872408,482,1509523613.2864,-18.37709977756436,16,projection_zx
7095706.4192,-10.885000480049268,7762474.5984000005,700,-12.31748909627316,2676,9017739.673600001,-12.817744234570178,14,projection_xy
7094780.7232,-10.884761207751893,7760764.1088000005,700,-12.317347443396393,2676,9017410.3552,-12.817704583898099,14,projection_yz
7095270.604800001,-10.8848877261108,7761668.505600001,700,-12.317422408902448,2676,9017587.3024,-12.817725888916822,14,projection_zx
16886194.176,-11.76911774800259,17524559.0528,900,-13.258829447401702,5404,23053656.064,-13.836849524152484,18,projection_xy
16888312.6272,-11.76934652129179,17528252.0064,900,-13.258965649489404,5404,23054468.7104,-13.83688779591576,18,projection_yz
16889554.5344,-11.769485446582273,17530494.976,900,-13.259045487781393,5404,23054929.1008,-13.836909477505603,18,projection_zx
304233394.99520004,-15.261848773122775,437259757.1584,600,-16.398017209582676,720,380848334.43840003,-16.881880151590646,12,projection_xy
300368291.4304,-15.246196000799149,431001121.58720005,600,-16.384135210447127,720,379273268.42880005,-16.87738058564588,12,projection_yz
305214442.7008,-15.279398577460217,444385040.7936,600,-16.40151270129406,720,380867103.9488,-16.88193365907117,12,projection_zx
81634695.5776,-13.940617944308922,129493263.9744,850,-14.969686943924998,1553,104368806.2976,-15.476426790795895,17,projection_xy
82072069.7344,-13.949819339599223,130595356.672,850,-14.975488464540653,1553,104527364.096,-15.47807499693587,17,projection_yz
81831965.4912,-13.943300627526828,129813617.0496,850,-14.972307456142953,1553,104452639.9488,-15.477298552167255,17,projection_zx
196807819.264,-14.052273624377587,143519016.55040002,1100,-15.925105872887535,1188,378812497.92,-16.876060747423608,22,projection_xy
194663874.56,-14.03357538097718,141068533.76000002,1100,-15.913213408140905,1188,377554626.15040004,-16.872449490041312,22,projection_yz
193445442.35520002,-14.022630326295367,139653598.4128,1100,-15.90639625510563,1188,376847309.20960003,-16.870413546600822,22,projection_zx
156736461.2096,-13.990656781703908,135600943.9232,1300,-15.677925092642013,1117,261947392.0,-16.47553519720951,26,projection_xy
156480765.95200002,-13.98699940482123,135144931.328,1300,-15.676152408152415,1117,261840437.24800003,-16.475091793824983,26,projection_yz
156834738.9952,-13.991824427664167,135746853.2736,1300,-15.67860566377465,1117,261995075.9936,-16.475732822870896,26,projection_zx
1196455834.4192,-16.36229664211859,1204810258.8416,800,-17.884741679600875,414,3234515543.6544003,-19.2045231062729,16,projection_xy
763599467.3152001,-15.622354240744809,609455072.8704001,800,-17.397164041897874,414,2519353366.9376,-18.933222715835385,16,projection_yz
916051512.5248001,-15.903583464975263,789647720.4480001,800,-17.5947997403275,414,2806509889.1264,-19.050416442137898,16,projection_zx
34783612.1088,-12.44658107954421,32706376.4992,2050,-14.043436698441113,2739,53064862.9248,-14.742017616784132,41,projection_xy
34797892.4032,-12.447332911573156,32729032.294400003,2050,-14.043882352296148,2739,53071042.9696,-14.742144056528296,41,projection_yz
34798646.067200005,-12.447370196024224,32730156.2368,2050,-14.04390586726712,2739,53071367.3728,-14.742150693202518,41,projection_zx
1224972592.7424002,-15.922150158100195,803267254.6816001,800,-17.91031593000874,328,4186289943.3472004,-19.484573260935363,16,projection_xy
956075553.5872,-15.561161045658697,576055620.4032,800,-17.641230534062313,328,3350057923.3792,-19.24263079041785,16,projection_yz
894562939.6992,-15.443593956946792,516936957.952,800,-17.569027255222252,328,3150328102.912,-19.175889468492787,16,projection_zx
13190805.913600001,-11.51363982792417,13850196.377600001,800,-12.990678325700092,1368,18139781.529600002,-13.576580130589058,16,projection_xy
13197775.667200001,-11.514651564131828,13863108.608000001,800,-12.99125185512414,1368,18142371.84,-13.57673515963372,16,projection_yz
13202193.6128,-11.515222936937928,13870406.0416,800,-12.99161524369346,1368,18144229.7856,-13.5768463433057,16,projection_zx
35010956.492800005,-12.42308972313143,32006330.7776,1200,-14.050509939428341,2728,54766334.7712,-14.776284192019485,24,projection_xy
34996174.848000005,-12.42232958514088,31983930.572800003,1200,-14.050051444219168,2728,54759728.742400005,-14.77615322036915,24,projection_yz
34980577.28,-12.421556336129925,31961160.0896,1200,-14.049567430770438,2728,54752457.523200005,-14.776009042333463,24,projection_zx
189388868.81280002,-14.146836272293964,156579358.3104,2100,-15.883386125220952,1307,326944240.43520004,-16.716184227704346,42,projection_xy
188464404.8896,-14.138605823054345,155396892.2624,2100,-15.878073343651891,1307,326478489.1904,-16.714636430079302,42,projection_yz
190484014.6944,-14.15879797622474,158313952.0512,2100,-15.889646339513302,1307,327432955.4944,-16.717805970440914,42,projection_zx
2509568.0,-9.775472160450644,2793758.5152000003,1150,-11.1889974198745,13299,3160120.9344,-11.679259257287793,23,projection_xy
2509567.1808,-9.775471921676822,2793757.9008,1150,-11.188997065456832,13299,3160120.1152000003,-11.679258975831726,23,projection_yz
2509555.9168000002,-9.775464121703106,2793737.8304000003,1150,-11.188992192202132,13299,3160117.4528,-11.679258061098999,23,projection_zx
2031063.2448,-9.569778600246526,2311593.3696000003,500,-10.95930861752236,6110,2535170.048,-11.440017738001007,10,projection_xy
2031091.5072,-9.569799570087248,2311638.0160000003,500,-10.959323725519365,6110,2535181.1072,-11.440022474309586,10,projection_yz
2030997.7088000001,-9.569721171591008,2311471.1040000003,500,-10.959273583676865,6110,2535145.6768,-11.440007300507315,10,projection_zx
426201763.0208,-15.920847225103675,802303875.4816,950,-16.764038104697345,564,484046379.41760004,-17.142217440062105,19,projection_xy
435345345.7408,-15.972107959486255,841091383.296,950,-16.787084764489727,564,486641395.30240005,-17.148022621673828,19,projection_yz
419810954.4448,-15.906630870667886,791867188.8384,950,-16.747634416921688,564,481712511.38560003,-17.136969815677944,19,projection_zx
431126400.2048,-14.78158971492249,280954431.0784,1150,-16.776511544679447,868,1103207333.888,-18.03664285068712,23,projection_xy
450136689.86880004,-14.900387126354467,313440311.7056,1150,-16.82336103244706,868,1119568370.0736,-18.052626550814935,23,projection_yz
467505093.0176,-14.949331031089532,327893201.7152,1150,-16.86446586613574,868,1138085593.088,-18.07043731421603,23,projection_zx
383642815.69280005,-14.484766186622277,213750172.8768,650,-16.64981767443658,372,1468834984.7552001,-18.347432520047995,13,projection_xy
356707965.3376,-14.367185855322202,191811367.7312,650,-16.57078201825437,372,1374565800.3456001,-18.275413835790676,13,projection_yz
390696796.16,-14.498621931978587,216495449.7024,650,-16.669599624710685,372,1492909136.2816,-18.365083439586563,13,projection_zx
3782588.0064000003,-10.188749504205674,4087895.6544000003,600,-11.634472602973531,4749,4905947.955200001,-12.15680734169317,12,projection_xy
3782696.1408,-10.188804332411824,4088102.0928,600,-11.63450364091759,4749,4905985.228800001,-12.156815590688804,12,projection_yz
3782754.7136000004,-10.188829025957496,4088195.072,600,-11.634520452766822,4749,4906008.576,-12.156820757610191,12,projection_zx
2386115.9936,-9.725223029448486,2667406.5408,850,-11.13422887930393,25513,3004349.6448000004,-11.62437618565296,17,projection_xy
2386002.944,-9.725135913278418,2667192.5248000002,850,-11.134177437986025,25513,3004309.2992000002,-11.624361605135402,17,projection_yz
2386091.8272,-9.725204189605993,2667360.256,850,-11.134217882995134,25513,3004341.0432,-11.624373077132645,17,projection_zx
47729036.492800005,-13.06233926323516,57668108.288,650,-14.38695666835413,1340,62337325.46560001,-14.916870413185041,13,projection_xy
47730943.5904,-13.063119897310724,57709586.0224,650,-14.387000049987119,1340,62333301.5552,-14.916800326023182,13,projection_yz
47772712.96,-13.06503721462386,57811586.2528,650,-14.387949762728063,1340,62347660.492800005,-14.917050404595358,13,projection_zx
678244961.4848,-15.52735936834182,558397862.7072,1500,-17.268466440446502,747,1240514271.6416001,-18.164004412571643,30,projection_xy
697689335.3984001,-15.576408001998391,584202217.0624,1500,-17.299155211443043,747,1251231662.0800002,-18.173344313899104,30,projection_yz
708650205.184,-15.61465597128851,605149095.5264,1500,-17.316079793017156,747,1255731625.984,-18.177242080572615,30,projection_zx
890606243.0208,-15.846039820456117,748886373.1712,400,-17.564214337868265,495,2930673451.0080004,-19.097418575159523,8,projection_xy
1112293559.5008001,-16.05241600739357,905662536.0896001,400,-17.805548556347805,495,3538768678.0928,-19.302130436608437,8,projection_yz
819871770.2144,-15.679325283556064,642288451.584,400,-17.474364832657297,495,2809678476.0832,-19.051641561282143,8,projection_zx
904972992.5120001,-15.869099561641587,764961934.5408001,850,-17.58158904641625,1273,1592886139.2896001,-18.43546183302838,17,projection_xy
938303868.1088,-15.931182262881734,809977407.0784,850,-17.620858766714523,1273,1610248355.8400002,-18.447232160968753,17,projection_yz
941142048.768,-15.93740629794426,814633975.8080001,850,-17.62413794363798,1273,1611421712.384,-18.448023027637447,17,projection_zx
4068061.5936000003,-10.315393708209793,4593645.568,450,-11.713468799637397,1571,4998033.817600001,-12.176997975788296,9,projection_xy
4068282.3680000002,-10.315475704422926,4593992.4992,450,-11.71352772112851,1571,4998141.542400001,-12.177021376881473,9,projection_yz
4067468.0832,-10.315091614421007,4592367.616,450,-11.713310384449713,1571,4997868.3392,-12.176962027879405,9,projection_zx
24587816.140800003,-12.157173650836093,25053560.832000002,1150,-13.666799892391925,2368,34212596.9408,-14.26546510246451,23,projection_xy
24584454.144,-12.156940026854706,25048170.496,1150,-13.666651424906874,2368,34211142.041600004,-14.265418930280429,23,projection_yz
24584544.256,-12.15694521115407,25048290.099200003,1150,-13.666655404563326,2368,34211217.408,-14.26542132213098,23,projection_zx
10031697.1008,-10.90380349022288,7898077.5936,1050,-12.693436026261185,15840,18550208.9216,-13.600872013043038,21,projection_xy
10032764.5184,-10.904133737221585,7900480.307200001,1050,-12.693551547320961,15840,18550435.020800002,-13.600885246456865,21,projection_yz
10031197.3888,-10.903796395509815,7898025.984,1050,-12.693381940804002,15840,18549784.576,-13.600847175983088,21,projection_zx
2344597061.632,-16.651373705911045,1572350931.7632,1250,-18.615170540926282,153,8466550751.232,-20.249266290052386,25,projection_xy
1475833705.2672,-16.006097822338116,867838931.7632,1250,-18.11259356147917,153,5508899956.3264,-19.782662213738753,25,projection_yz
